mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55285.777419	17.215	15.617	10.322	7.471	UCBC	1
55285.909723	17.197	15.798	10.522	7.492	UUBU	1
55286.042027	17.117	14.741	10.277	7.661	UBBU	1
55286.174331	17.139	15.461	10.435	7.731	UCBC	1
55286.240675	16.946	14.995	10.388	7.93	UBBU	1
55286.306636	16.432	15.029	10.489	7.962	BBBC	1
55286.372979	17.048	14.896	10.902	7.998	UBBU	1
55286.43894	16.896	14.943	10.65	7.934	UBBC	1
55286.439067	17.197	15.263	10.697	7.903	UCBC	1
55286.505283	16.534	15.417	10.461	7.916	UCBU	1
55286.637587	16.63		10.672	7.384	UXBU	1
55286.637714	16.879	15.091	10.918	7.263	UBBU	1
55286.703675	17.166	15.048	10.475	7.683	UUBU	1
55286.770018	17.155	15.763	10.151	7.886	UUBU	1
55286.835979	16.566	14.899	10.24	7.664	UUBC	1
55286.902322	13.666	13.488	10.964	7.244	AABU	1
55286.968283	16.611	15.141	10.696	7.725	UUBU	1
55287.034626	17.03	15.58	10.121	7.583	UUBU	1
55287.100587	17.041	15.343	10.501	7.566	UCBC	1
55287.16693	16.582	15.243	10.344	7.412	UBBU	1
55287.299234	16.684	14.946	10.9	7.902	UUBC	1
55287.431538	17.205	14.909	10.559	7.877	UBBU	1
55287.696274	16.726	14.942	10.628	7.289	UBBU	1
55386.15551	16.373	13.963	9.287	7.779	UBAC	1
55386.287814	17.069	13.615	9.28	7.303	UAAB	1
55386.420117	16.944	13.871	9.298	7.791	CBAC	1
55386.552422	16.444	13.926	9.072	7.915	BBAC	1
55386.684725	17.045	14.072	9.261	7.02	UBAB	1
55386.750941	16.897	14.155	9.398	7.496	UBAC	1
55386.817029	16.67	14.178	9.223	7.445	CBAC	1
55386.883245	17.074	14.339	9.379	7.828	CBAC	1
55386.949333	17.021	14.242	9.381	7.909	CBAC	1
55387.015548	16.835	14.482	9.418	7.254	UBAB	1
55387.147852	17.109	14.366	9.465	7.746	UBAC	1
55387.21394	16.516	14.662	9.509	7.684	UBAC	1
55387.280156	16.978	14.456	9.634	7.536	CBAC	1
55387.346244	17.061	15.337	9.89	7.697	UCBC	1
55387.544763	16.763	15.073	9.918	7.745	UBBC	1
55387.677067	17.175	15.507	10.102	7.311	UCBB	1
55387.809371	16.376	15.148	10.358	7.226	UUBU	1
55387.941674	17.12	15.058	10.234	7.227	CBBB	1
