mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55328.110949	15.794	12.753	7.661	5.825	BAAA	1
55328.243253	16.199	12.886	7.633	5.899	BAAA	1
55328.375558	16.067	12.765	7.69	6.15	BAAA	1
55328.441646	16.613	12.743	7.579	5.866	CAAA	1
55328.507862	15.821	12.683	7.653	5.984	BAAA	1
55328.640166	16.356	12.699	7.584	5.965	BAAA	1
55328.706254	16.093	12.741	7.668	6.014	BAAA	1
55328.838558	15.583	12.722	7.579	5.887	BAAA	1
55364.793361	16.87	15.223	9.644	7.057	UUAB	1
55364.925665	17.196	15.065	9.607	7.195	UUAB	1
55364.991753	16.225	14.765	10.095	7.102	BBUB	1
55365.256361	17.165	15.121	9.412	7.565	UUAC	1
55365.322449	16.858	14.508	9.601	7.523	UBAB	1
55365.587056	16.911	15.386	9.638	7.015	UCAB	1
