	Name	Diam	type	PHA	time
0	2016 JC6	0.158	Aten	Potentially	2016
1	2016 CL136	0.158	Aten	Potentially	2016
2	2010 NY65	0.158	Apollo	Potentially	2010
3	2014 VL6	0.157	Apollo	Potentially	2014
4	2019 ND7	0.156	Apollo	Potentially	2019
5	2004 TB10	0.156	Apollo	Potentially	2019
6	2018 CZ2	0.156	Apollo	Potentially	2018
7	2017 BQ6	0.156	Apollo	Potentially	2017
8	2014 WK368	0.156	Apollo	Potentially	2014
9	2010 DG77	0.156	Apollo	Potentially	2010
10	2010 XP69	0.156	Amor	Potentially	2010
11	2010 JN71	0.156	Apollo	Potentially	2010
12	2016 AZ8	0.153	Apollo	Potentially	2016
13	1993 VD	0.149	Aten	Potentially	2018
14	2010 GS7	0.149	Apollo	Potentially	2010
15	2015 TX24	0.144	Apollo	Potentially	2015
16	2019 QD6	0.142	Apollo	Potentially	2019
17	2015 DP155	0.142	Amor	Potentially	2018
18	2017 ER13	0.142	Apollo	Potentially	2017
19	2016 HN3	0.142	Apollo	Potentially	2016
20	2016 UZ25	0.142	Apollo	Potentially	2016
21	2015 LK24	0.142	Amor	Potentially	2015
22	2014 SV141	0.142	Amor	Potentially	2014
23	2013 YP139	0.142	Apollo	Potentially	2013
24	2019 DD2	0.142	Apollo	Potentially	2010
25	2010 FH81	0.142	Apollo	Potentially	2010
26	2010 FR	0.136	Apollo	Potentially	2016
27	2011 BT15	0.136	Apollo	Potentially	2016
28	2015 GY	0.136	Apollo	Potentially	2015
29	2003 MA3	0.136	Apollo	Potentially	2010
30	2010 PW58	0.136	Aten	Potentially	2010
31	2020 UF2	0.13	Apollo	Potentially	2020
32	2018 EB	0.13	Amor	Potentially	2018
33	2018 EE	0.13	Apollo	Potentially	2018
34	2017 WK14	0.13	Apollo	Potentially	2017
35	2014 BX2	0.13	Apollo	Potentially	2014
36	2014 EQ49	0.13	Apollo	Potentially	2014
37	2010 FC81	0.13	Amor	Potentially	2010
38	2013 BZ45	0.127	Apollo	Potentially	2014
39	2020 BJ4	0.124	Apollo	Potentially	2020
40	2020 SP4	0.124	Apollo	Potentially	2020
41	2015 TK238	0.124	Apollo	Potentially	2015
42	2010 CO1	0.124	Apollo	Potentially	2010
43	2010 KX7	0.124	Aten	Potentially	2010
44	2009 DL46	0.118	Amor	Potentially	2016
45	1998 FL3	0.118	Apollo	Potentially	2015
46	2015 BW310	0.118	Apollo	Potentially	2014
47	2010 AG40	0.118	Apollo	Potentially	2010
48	2015 RH2	0.102	Apollo	Potentially	2019
49	2020 HE2	0.156	Apollo	Near	2020
50	2018 AE3	0.156	Amor	Near	2018
51	2015 YB1	0.156	Apollo	Near	2016
52	2010 FB81	0.156	Amor	Near	2010
53	1994 CB	0.156	Apollo	Near	2010
54	2010 DH77	0.156	Apollo	Near	2010
55	2010 OH126	0.156	Apollo	Near	2010
56	2010 HW81	0.156	Apollo	Near	2010
57	2019 WH1	0.149	Amor	Near	2019
58	2008 CM20	0.149	Amor	Near	2017
59	2014 UG176	0.149	Apollo	Near	2014
60	2014 FD7	0.149	Amor	Near	2010
61	2009 UX17	0.149	Amor	Near	2010
62	2007 TE66	0.144	Apollo	Near	2019
63	2020 QU4	0.142	Amor	Near	2020
64	2018 XZ2	0.142	Amor	Near	2019
65	2016 CU30	0.142	Amor	Near	2016
66	2014 BH25	0.142	Apollo	Near	2014
67	2010 DX1	0.142	Apollo	Near	2010
68	2019 NC1	0.137	Aten	Near	2021
69	2017 RN17	0.136	Apollo	Near	2017
70	2008 WL	0.136	Apollo	Near	2017
71	2014 BR8	0.136	Apollo	Near	2014
72	2016 AK8	0.13	Amor	Near	2016
73	2015 XB130	0.13	Amor	Near	2015
74	2015 AK280	0.13	Apollo	Near	2015
75	2014 SU260	0.13	Apollo	Near	2014
76	2018 UQ2	0.124	Apollo	Near	2018
77	2018 NT1	0.124	Amor	Near	2018
78	2018 ML8	0.124	Amor	Near	2018
79	2016 CK246	0.124	Amor	Near	2016
80	2007 YJ	0.124	Apollo	Near	2015
81	2018 TD4	0.118	Apollo	Near	2019
82	2015 NA14	0.118	Aten	Near	2015
83	2015 YX7	0.118	Apollo	Near	2015
84	2016 GP220	0.117	Apollo	Near	2016
85	2002 LT24	0.116	Aten	Near	2010
86	2019 JR7	0.113	Apollo	Near	2019
87	1999 LK1	0.113	Aten	Near	2018
88	2016 FC13	0.113	Apollo	Near	2016
89	2015 DX198	0.113	Amor	Near	2015
90	2015 LM21	0.113	Apollo	Near	2015
91	2010 FD7	0.113	Apollo	Near	2010
92	2010 LH14	0.113	Apollo	Near	2010
93	2010 PP58	0.113	Apollo	Near	2010
94	2000 AA6	0.113	Apollo	Near	2010
95	2017 DC36	0.109	Aten	Near	2017
96	2005 GR33	0.108	Aten	Near	2018
97	2017 PL26	0.108	Apollo	Near	2017
98	2015 FS33	0.108	Apollo	Near	2015
99	2010 CA55	0.108	Apollo	Near	2010
100	2010 BC	0.108	Apollo	Near	2010
101	2010 KU7	0.108	Amor	Near	2010
102	2015 TF	0.108	Apollo	Near	2010
103	2020 WT5	0.104	Apollo	Near	2020
104	2018 QT1	0.103	Aten	Near	2018
105	2016 KD	0.103	Apollo	Near	2016
106	2015 BY516	0.103	Apollo	Near	2015
107	2014 RQ17	0.103	Apollo	Near	2014
108	2010 PU66	0.103	Apollo	Near	2010
109	2010 QA5	0.103	Amor	Near	2010
110	2014 SD224	0.1	Aten	Near	2014
111	2019 KC	0.098	Apollo	Near	2019
112	2018 JW1	0.098	Apollo	Near	2018
113	2017 XO2	0.098	Apollo	Near	2017
114	2016 LD9	0.098	Apollo	Near	2016
115	2016 LF2	0.098	Amor	Near	2016
116	2016 YF8	0.098	Apollo	Near	2016
117	2016 VK6	0.098	Amor	Near	2016
118	2016 PG67	0.098	Amor	Near	2016
119	2004 XK14	0.098	Aten	Near	2015
120	2010 FA81	0.098	Amor	Near	2010
121	2010 CN141	0.098	Apollo	Near	2010
122	2008 PR9	0.096	Aten	Near	2016
123	2020 HV1	0.094	Amor	Near	2020
124	2020 KZ7	0.094	Apollo	Near	2020
125	2015 TE	0.094	Apollo	Near	2015
126	2014 CR	0.094	Apollo	Near	2014
127	2010 CC55	0.094	Apollo	Near	2010
128	2010 LK68	0.094	Apollo	Near	2010
129	2010 GP67	0.094	Apollo	Near	2010
130	2010 HZ104	0.094	Apollo	Near	2010
131	1999 FN19	0.091	Amor	Near	2018
132	2020 BN11	0.09	Apollo	Near	2020
133	2016 EZ26	0.09	Apollo	Near	2016
134	2016 FO12	0.09	Apollo	Near	2016
135	2015 TK237	0.09	Apollo	Near	2015
136	2014 NM64	0.09	Amor	Near	2014
137	2011 BY24	0.09	Apollo	Near	2011
138	2010 LV108	0.09	Amor	Near	2010
139	2017 UC3	0.086	Apollo	Near	2017
140	2017 MB5	0.086	Apollo	Near	2017
141	2002 AO11	0.086	Aten	Near	2016
142	2015 HF1	0.086	Apollo	Near	2015
143	2014 MS5	0.086	Apollo	Near	2014
144	2014 VG2	0.086	Apollo	Near	2014
145	2014 AG16	0.086	Apollo	Near	2013
146	2010 CB55	0.086	Apollo	Near	2010
147	2016 UH101	0.086	Apollo	Near	2010
148	2010 LJ68	0.086	Apollo	Near	2010
149	2010 AJ30	0.084	Aten	Near	2010
150	2016 LB	0.082	Apollo	Near	2016
151	2016 UD41	0.082	Apollo	Near	2016
152	2008 NP3	0.081	Apollo	Near	2010
153	2017 HP49	0.078	Apollo	Near	2017
154	2017 FL127	0.078	Apollo	Near	2017
155	2015 VB65	0.078	Apollo	Near	2015
156	2010 LL68	0.078	Apollo	Near	2010
157	2020 HL7	0.075	Amor	Near	2020
158	2017 BM3	0.075	Aten	Near	2017
159	2014 JL25	0.075	Apollo	Near	2014
160	2017 VT14	0.073	Apollo	Near	2017
161	2016 XA18	0.071	Apollo	Near	2016
162	1996 GQ	0.071	Amor	Near	2010
163	2016 TZ19	0.07	Aten	Near	2016
164	2018 LN2	0.068	Apollo	Near	2018
165	2017 DW34	0.068	Apollo	Near	2017
166	2016 RW	0.068	Apollo	Near	2016
167	2014 BE63	0.068	Apollo	Near	2014
168	2019 CL2	0.065	Apollo	Near	2019
169	2019 FD	0.065	Aten	Near	2019
170	2017 KO31	0.065	Amor	Near	2017
171	2009 UG	0.065	Aten	Near	2016
172	2016 BJ15	0.065	Apollo	Near	2016
173	2014 VP35	0.065	Apollo	Near	2014
174	2010 FG81	0.065	Amor	Near	2010
175	2020 MV	0.062	Apollo	Near	2020
176	2019 WV4	0.062	Apollo	Near	2019
177	2010 KP10	0.062	Apollo	Near	2010
178	2017 ST14	0.059	Apollo	Near	2017
179	2017 KR27	0.059	Apollo	Near	2017
180	2016 TX17	0.059	Apollo	Near	2016
181	2015 FN120	0.059	Apollo	Near	2015
182	2015 VZ145	0.059	Apollo	Near	2015
183	2014 RH12	0.059	Amor	Near	2014
184	2019 ER1	0.057	Amor	Near	2019
185	2017 AP19	0.057	Apollo	Near	2017
186	2016 AD166	0.057	Apollo	Near	2016
187	2010 HX107	0.057	Aten	Near	2010
188	2016 DO2	0.054	Apollo	Near	2016
189	2015 HU171	0.054	Apollo	Near	2015
190	2010 FE7	0.054	Apollo	Near	2010
191	2015 VF1	0.052	Apollo	Near	2015
192	2015 QG	0.052	Apollo	Near	2015
193	2016 EV1	0.049	Apollo	Near	2016
194	2015 HX181	0.049	Apollo	Near	2015
195	2014 KO76	0.049	Apollo	Near	2014
196	2010 MY1	0.049	Apollo	Near	2010
197	2019 JU5	0.047	Apollo	Near	2019
198	2017 UQ4	0.047	Amor	Near	2017
199	2020 OT7	0.045	Amor	Near	2020
200	2018 EC9	0.045	Amor	Near	2018
201	2010 EX11	0.045	Aten	Near	2010
202	2017 EK	0.043	Apollo	Near	2017
203	2020 RK2	0.041	Apollo	Near	2020
204	2015 PK57	0.039	Apollo	Near	2015
205	2016 EE1	0.037	Apollo	Near	2016
