	Name	Diam	type	PHA	time
0	2015 JA2	0.159	Apollo	Potentially	-1
1	2006 KV89	0.157	Apollo	Potentially	-1
2	2005 EE	0.157	Apollo	Potentially	-1
3	2017 QL33	0.157	Apollo	Potentially	-1
4	2011 TN9	0.157	Amor	Potentially	-1
5	2015 JV	0.156	Apollo	Potentially	-1
6	2015 XU378	0.156	Amor	Potentially	-1
7	1999 MN	0.156	Aten	Potentially	-1
8	2002 NV16	0.156	Apollo	Potentially	-1
9	2018 EJ4	0.156	Amor	Potentially	-1
10	2018 QN1	0.156	Amor	Potentially	-1
11	2010 VD72	0.156	Aten	Potentially	-1
12	2011 CG2	0.156	Apollo	Potentially	-1
13	2007 EF	0.156	Aten	Potentially	-1
14	1994 CJ1	0.156	Amor	Potentially	-1
15	2017 PR25	0.155	Apollo	Potentially	-1
16	2008 HS3	0.154	Amor	Potentially	-1
17	2019 AW4	0.152	Apollo	Potentially	-1
18	1998 BY7	0.151	Apollo	Potentially	-1
19	2015 YU7	0.15	Aten	Potentially	-1
20	2001 JV1	0.15	Apollo	Potentially	-1
21	2016 NG33	0.149	Apollo	Potentially	-1
22	2011 AK5	0.149	Apollo	Potentially	-1
23	2000 AC6	0.149	Aten	Potentially	-1
24	2017 NH	0.149	Apollo	Potentially	-1
25	2010 VT11	0.149	Apollo	Potentially	-1
26	2010 JE88	0.149	Apollo	Potentially	-1
27	2004 HC39	0.149	Apollo	Potentially	-1
28	2014 TN17	0.149	Apollo	Potentially	-1
29	2015 BZ310	0.147	Apollo	Potentially	-1
30	2021 HC3	0.143	Apollo	Potentially	-1
31	2020 DM4	0.142	Amor	Potentially	-1
32	2017 GK4	0.142	Apollo	Potentially	-1
33	2009 EP2	0.142	Aten	Potentially	-1
34	2001 SQ3	0.142	Apollo	Potentially	-1
35	2001 GR2	0.142	Apollo	Potentially	-1
36	2000 LF3	0.142	Apollo	Potentially	-1
37	2012 KU12	0.142	Apollo	Potentially	-1
38	2013 QR1	0.142	Apollo	Potentially	-1
39	2020 AD3	0.137	Aten	Potentially	-1
40	2018 BT6	0.137	Apollo	Potentially	-1
41	2016 EF28	0.136	Apollo	Potentially	-1
42	2014 KQ76	0.136	Apollo	Potentially	-1
43	2009 XZ1	0.136	Aten	Potentially	-1
44	2010 CF19	0.136	Apollo	Potentially	-1
45	2000 EH26	0.136	Apollo	Potentially	-1
46	Akhenaten	0.136	Aten	Potentially	-1
47	2018 JK3	0.136	Aten	Potentially	-1
48	2010 DO	0.136	Apollo	Potentially	-1
49	2010 AF30	0.136	Apollo	Potentially	-1
50	2002 UK11	0.136	Apollo	Potentially	-1
51	2000 KA	0.136	Apollo	Potentially	-1
52	2014 OT111	0.136	Apollo	Potentially	-1
53	2014 SS1	0.136	Amor	Potentially	-1
54	2014 YW34	0.136	Apollo	Potentially	-1
55	2011 LT17	0.134	Apollo	Potentially	-1
56	2018 LK	0.133	Apollo	Potentially	-1
57	2010 FF10	0.132	Apollo	Potentially	-1
58	2017 JF3	0.13	Aten	Potentially	-1
59	2019 RC	0.13	Amor	Potentially	-1
60	2015 BY310	0.13	Apollo	Potentially	-1
61	2017 AE3	0.13	Apollo	Potentially	-1
62	2010 PK9	0.13	Aten	Potentially	-1
63	2003 SS84	0.13	Apollo	Potentially	-1
64	1995 CR	0.13	Aten	Potentially	-1
65	2006 AM4	0.13	Aten	Potentially	-1
66	2014 MP5	0.13	Amor	Potentially	-1
67	2012 BM86	0.125	Apollo	Potentially	-1
68	2004 KH17	0.124	Aten	Potentially	-1
69	2011 EM51	0.124	Apollo	Potentially	-1
70	2008 MP1	0.124	Apollo	Potentially	-1
71	2010 LK34	0.124	Apollo	Potentially	-1
72	2000 SL10	0.124	Apollo	Potentially	-1
73	2004 SS	0.124	Amor	Potentially	-1
74	2014 CU13	0.124	Apollo	Potentially	-1
75	2012 KN11	0.124	Apollo	Potentially	-1
76	2014 AY28	0.122	Amor	Potentially	-1
77	2005 WD	0.121	Amor	Potentially	-1
78	2019 UN12	0.12	Apollo	Potentially	-1
79	2021 NY1	0.119	Apollo	Potentially	-1
80	2010 DF1	0.119	Apollo	Potentially	-1
81	2020 ST1	0.118	Amor	Potentially	-1
82	2017 GM4	0.118	Apollo	Potentially	-1
83	2007 GQ3	0.118	Apollo	Potentially	-1
84	2012 FG58	0.118	Apollo	Potentially	-1
85	2018 UQ1	0.116	Apollo	Potentially	-1
86	1998 WB2	0.113	Apollo	Potentially	-1
87	2019 BF5	0.112	Apollo	Potentially	-1
88	2019 CD5	0.112	Apollo	Potentially	-1
89	2012 XS111	0.107	Aten	Potentially	-1
90	2013 NJ	0.104	Apollo	Potentially	-1
91	2011 WF69	0.142	Hungaria	One	-1
92	2012 NP	0.16	Amor	Near	-1
93	2007 CA27	0.157	Aten	Near	-1
94	2015 UJ51	0.156	Apollo	Near	-1
95	2005 BO1	0.156	Aten	Near	-1
96	2012 HM1	0.156	Amor	Near	-1
97	2017 PS25	0.156	Amor	Near	-1
98	2010 BT3	0.156	Amor	Near	-1
99	2010 GT6	0.156	Apollo	Near	-1
100	2010 GC6	0.156	Amor	Near	-1
101	2010 MP1	0.156	Aten	Near	-1
102	2010 KA8	0.156	Apollo	Near	-1
103	2014 OT338	0.156	Amor	Near	-1
104	2012 BR23	0.156	Amor	Near	-1
105	2011 ST232	0.156	Amor	Near	-1
106	2009 JL1	0.153	Apollo	Near	-1
107	2014 VH2	0.151	Amor	Near	-1
108	2008 WJ60	0.15	Amor	Near	-1
109	2019 JX7	0.149	Amor	Near	-1
110	2001 RU17	0.149	Aten	Near	-1
111	2014 OA2	0.149	Amor	Near	-1
112	2009 CP5	0.149	Apollo	Near	-1
113	2018 AO18	0.149	Amor	Near	-1
114	2011 BA45	0.149	Apollo	Near	-1
115	2002 AH29	0.149	Amor	Near	-1
116	2002 TH68	0.149	Amor	Near	-1
117	2007 EK88	0.149	Amor	Near	-1
118	2014 MD6	0.149	Amor	Near	-1
119	2014 BR43	0.149	Amor	Near	-1
120	2013 XA4	0.149	Amor	Near	-1
121	2012 WK4	0.148	Apollo	Near	-1
122	2015 BK	0.148	Amor	Near	-1
123	2016 PU	0.142	Amor	Near	-1
124	2016 OJ1	0.142	Amor	Near	-1
125	2015 OF26	0.142	Apollo	Near	-1
126	2015 TA	0.142	Amor	Near	-1
127	2016 RH18	0.142	Amor	Near	-1
128	2017 HN3	0.142	Apollo	Near	-1
129	2010 EK43	0.142	Apollo	Near	-1
130	2002 VO85	0.142	Amor	Near	-1
131	2006 SF77	0.142	Aten	Near	-1
132	2014 QO33	0.142	Amor	Near	-1
133	2014 QK362	0.142	Apollo	Near	-1
134	2013 VJ2	0.142	Amor	Near	-1
135	2018 VN3	0.138	Amor	Near	-1
136	1996 XB27	0.136	Amor	Near	-1
137	2010 CF55	0.136	Apollo	Near	-1
138	2015 FG37	0.136	Amor	Near	-1
139	2015 FY284	0.136	Amor	Near	-1
140	2012 XQ93	0.136	Apollo	Near	-1
141	2008 QF	0.134	Amor	Near	-1
142	2010 LB64	0.132	Amor	Near	-1
143	2011 HP	0.132	Apollo	Near	-1
144	2015 JJ2	0.13	Amor	Near	-1
145	2019 XN1	0.13	Amor	Near	-1
146	2010 NR1	0.13	Amor	Near	-1
147	2014 NE63	0.13	Amor	Near	-1
148	2014 HM2	0.13	Amor	Near	-1
149	2012 DV32	0.13	Amor	Near	-1
150	2011 PX	0.13	Amor	Near	-1
151	2013 XV8	0.13	Amor	Near	-1
152	2013 TE6	0.13	Amor	Near	-1
153	2013 SO19	0.13	Amor	Near	-1
154	2016 PA8	0.124	Apollo	Near	-1
155	2016 WP	0.124	Apollo	Near	-1
156	2010 VW75	0.124	Amor	Near	-1
157	2010 HV20	0.124	Apollo	Near	-1
158	2010 LK61	0.124	Apollo	Near	-1
159	2002 TP69	0.124	Amor	Near	-1
160	2007 VH184	0.124	Amor	Near	-1
161	2011 OY17	0.124	Amor	Near	-1
162	2011 UL147	0.124	Amor	Near	-1
163	2011 JL	0.123	Amor	Near	-1
164	2012 BJ11	0.123	Amor	Near	-1
165	2009 SC15	0.122	Amor	Near	-1
166	2011 UW114	0.122	Amor	Near	-1
167	2014 XF32	0.119	Amor	Near	-1
168	2016 NA1	0.118	Amor	Near	-1
169	2005 XB1	0.118	Apollo	Near	-1
170	2016 YM	0.118	Amor	Near	-1
171	2010 BK2	0.118	Aten	Near	-1
172	2011 QE2	0.118	Amor	Near	-1
173	2011 SH16	0.118	Amor	Near	-1
174	2013 NQ8	0.118	Apollo	Near	-1
175	2016 PJ66	0.113	Amor	Near	-1
176	2005 UO	0.113	Apollo	Near	-1
177	2013 NX	0.113	Apollo	Near	-1
178	2009 FD	0.113	Apollo	Near	-1
179	2016 YM1	0.113	Amor	Near	-1
180	2017 WX12	0.113	Apollo	Near	-1
181	2018 AQ2	0.113	Apollo	Near	-1
182	2010 GB6	0.113	Aten	Near	-1
183	2007 TQ24	0.113	Aten	Near	-1
184	2004 VB61	0.113	Amor	Near	-1
185	2007 CQ5	0.113	Amor	Near	-1
186	2014 QQ33	0.113	Amor	Near	-1
187	2012 CM29	0.113	Amor	Near	-1
188	2011 UV158	0.113	Apollo	Near	-1
189	2015 TY178	0.11	Amor	Near	-1
190	2016 EK27	0.108	Apollo	Near	-1
191	2015 KQ57	0.108	Apollo	Near	-1
192	2019 FP2	0.108	Amor	Near	-1
193	2020 BZ11	0.108	Apollo	Near	-1
194	2016 TL2	0.108	Amor	Near	-1
195	2010 CE55	0.108	Amor	Near	-1
196	2010 AN2	0.108	Apollo	Near	-1
197	2010 RC130	0.108	Amor	Near	-1
198	2006 KC	0.108	Apollo	Near	-1
199	2015 FL290	0.108	Apollo	Near	-1
200	2014 YD42	0.108	Apollo	Near	-1
201	2014 YC	0.108	Amor	Near	-1
202	2011 QE38	0.108	Amor	Near	-1
203	2011 OJ10	0.108	Amor	Near	-1
204	2013 TL	0.108	Apollo	Near	-1
205	1998 KG3	0.106	Amor	Near	-1
206	2015 ME116	0.103	Apollo	Near	-1
207	2015 JH2	0.103	Amor	Near	-1
208	2015 KL122	0.103	Amor	Near	-1
209	2009 TK	0.103	Amor	Near	-1
210	2017 BT	0.103	Amor	Near	-1
211	2010 CC19	0.103	Apollo	Near	-1
212	2008 UT1	0.103	Apollo	Near	-1
213	2002 CX58	0.103	Apollo	Near	-1
214	2001 EC16	0.103	Apollo	Near	-1
215	2002 LY1	0.103	Aten	Near	-1
216	2000 RE52	0.103	Apollo	Near	-1
217	2006 CT	0.103	Apollo	Near	-1
218	2015 FQ	0.103	Apollo	Near	-1
219	2013 VA10	0.103	Apollo	Near	-1
220	2014 FP47	0.103	Apollo	Near	-1
221	1996 VB3	0.102	Apollo	Near	-1
222	2012 YN6	0.101	Amor	Near	-1
223	2016 EO84	0.1	Aten	Near	-1
224	2016 LG49	0.098	Apollo	Near	-1
225	2016 DK	0.098	Amor	Near	-1
226	2015 MN44	0.098	Amor	Near	-1
227	2015 US51	0.098	Amor	Near	-1
228	2020 RO6	0.098	Apollo	Near	-1
229	2020 TB12	0.098	Apollo	Near	-1
230	2010 NK1	0.098	Apollo	Near	-1
231	2001 UF5	0.098	Apollo	Near	-1
232	2000 WN148	0.098	Amor	Near	-1
233	2007 DA	0.098	Apollo	Near	-1
234	2012 GK	0.098	Apollo	Near	-1
235	2011 SE248	0.098	Amor	Near	-1
236	2014 CG13	0.098	Amor	Near	-1
237	2013 PC7	0.098	Amor	Near	-1
238	2002 BF25	0.097	Apollo	Near	-1
239	2015 KJ19	0.095	Apollo	Near	-1
240	2021 FK3	0.095	Apollo	Near	-1
241	2016 PB8	0.094	Amor	Near	-1
242	2015 OM21	0.094	Amor	Near	-1
243	2020 UZ5	0.094	Apollo	Near	-1
244	2002 FD6	0.094	Apollo	Near	-1
245	2017 FH101	0.094	Apollo	Near	-1
246	2009 WW104	0.094	Apollo	Near	-1
247	2001 WV1	0.094	Apollo	Near	-1
248	2004 BW18	0.094	Amor	Near	-1
249	1995 HM	0.094	Amor	Near	-1
250	2000 WH10	0.094	Apollo	Near	-1
251	2007 KE	0.094	Apollo	Near	-1
252	2005 ML13	0.094	Apollo	Near	-1
253	2014 SX261	0.094	Apollo	Near	-1
254	2014 OZ337	0.094	Apollo	Near	-1
255	2012 GD5	0.094	Amor	Near	-1
256	2013 UG1	0.094	Aten	Near	-1
257	2013 CR35	0.094	Apollo	Near	-1
258	2018 XY2	0.092	Amor	Near	-1
259	2014 QX266	0.091	Amor	Near	-1
260	2018 TS	0.091	Amor	Near	-1
261	2011 QT2	0.091	Amor	Near	-1
262	2015 PQ56	0.09	Amor	Near	-1
263	2015 TD144	0.09	Apollo	Near	-1
264	2015 TJ1	0.09	Apollo	Near	-1
265	2015 VZ2	0.09	Aten	Near	-1
266	2019 OM	0.09	Aten	Near	-1
267	2019 WC5	0.09	Apollo	Near	-1
268	2007 RQ17	0.09	Apollo	Near	-1
269	2017 CR32	0.09	Amor	Near	-1
270	2003 EZ16	0.09	Amor	Near	-1
271	2001 BF10	0.09	Apollo	Near	-1
272	1999 SH10	0.09	Apollo	Near	-1
273	2007 PD8	0.09	Amor	Near	-1
274	2007 LT	0.09	Apollo	Near	-1
275	2007 GY1	0.09	Apollo	Near	-1
276	2007 RH1	0.09	Amor	Near	-1
277	2004 HZ	0.09	Apollo	Near	-1
278	2014 TZ	0.09	Amor	Near	-1
279	2011 KN17	0.09	Apollo	Near	-1
280	2012 BF86	0.09	Aten	Near	-1
281	2011 LS17	0.09	Apollo	Near	-1
282	2017 AG5	0.089	Apollo	Near	-1
283	2014 SF145	0.089	Amor	Near	-1
284	2012 DW30	0.087	Amor	Near	-1
285	2016 JG12	0.086	Apollo	Near	-1
286	2015 PQ	0.086	Amor	Near	-1
287	2016 AU65	0.086	Aten	Near	-1
288	2015 VA106	0.086	Apollo	Near	-1
289	2020 TG3	0.086	Amor	Near	-1
290	2020 UQ6	0.086	Apollo	Near	-1
291	2012 CO46	0.086	Amor	Near	-1
292	2000 SJ344	0.086	Apollo	Near	-1
293	2009 HM82	0.086	Apollo	Near	-1
294	2009 HG60	0.086	Apollo	Near	-1
295	2001 CQ36	0.086	Aten	Near	-1
296	2002 GD10	0.086	Amor	Near	-1
297	2000 WQ148	0.086	Apollo	Near	-1
298	2000 WP19	0.086	Aten	Near	-1
299	2007 DX	0.086	Amor	Near	-1
300	2004 SC56	0.086	Aten	Near	-1
301	2014 TZ17	0.086	Amor	Near	-1
302	2014 UV115	0.086	Apollo	Near	-1
303	2014 WQ201	0.086	Amor	Near	-1
304	2015 EL7	0.086	Amor	Near	-1
305	2015 BK509	0.086	Apollo	Near	-1
306	2012 BK11	0.086	Amor	Near	-1
307	2011 XF	0.086	Amor	Near	-1
308	2013 WS43	0.086	Apollo	Near	-1
309	2018 XU6	0.084	Amor	Near	-1
310	2017 XS	0.084	Aten	Near	-1
311	2019 DN	0.083	Amor	Near	-1
312	2015 KS121	0.082	Amor	Near	-1
313	2015 TG238	0.082	Amor	Near	-1
314	2013 UE3	0.082	Apollo	Near	-1
315	2018 AF3	0.082	Amor	Near	-1
316	2018 QU1	0.082	Apollo	Near	-1
317	2009 DO111	0.082	Apollo	Near	-1
318	2011 GM62	0.082	Apollo	Near	-1
319	2010 GZ5	0.082	Apollo	Near	-1
320	2010 GL23	0.082	Apollo	Near	-1
321	2001 DS8	0.082	Amor	Near	-1
322	2007 RE2	0.082	Amor	Near	-1
323	2007 EO	0.082	Amor	Near	-1
324	2006 CL9	0.082	Amor	Near	-1
325	2014 VP	0.082	Apollo	Near	-1
326	2011 RH1	0.082	Amor	Near	-1
327	2017 VU	0.081	Amor	Near	-1
328	2008 GG2	0.08	Amor	Near	-1
329	2016 NF23	0.078	Aten	Near	-1
330	2015 QA	0.078	Amor	Near	-1
331	2015 RO36	0.078	Apollo	Near	-1
332	2015 KU121	0.078	Apollo	Near	-1
333	2002 XY38	0.078	Aten	Near	-1
334	2018 RQ2	0.078	Apollo	Near	-1
335	2009 EM1	0.078	Amor	Near	-1
336	2008 GU20	0.078	Amor	Near	-1
337	2001 WR5	0.078	Amor	Near	-1
338	2008 CP116	0.078	Amor	Near	-1
339	2007 XO3	0.078	Amor	Near	-1
340	2014 TL17	0.078	Apollo	Near	-1
341	2014 OL339	0.078	Aten	Near	-1
342	2015 FG120	0.078	Apollo	Near	-1
343	2015 CW13	0.078	Apollo	Near	-1
344	2011 YH40	0.078	Apollo	Near	-1
345	2013 XA22	0.078	Apollo	Near	-1
346	2011 GO65	0.077	Amor	Near	-1
347	2021 CC2	0.076	Aten	Near	-1
348	2016 GS2	0.075	Apollo	Near	-1
349	2015 LA2	0.075	Aten	Near	-1
350	2015 LN21	0.075	Amor	Near	-1
351	2006 UP	0.075	Amor	Near	-1
352	2009 UO3	0.075	Amor	Near	-1
353	2010 EC43	0.075	Apollo	Near	-1
354	2008 WA14	0.075	Apollo	Near	-1
355	2010 XE11	0.075	Amor	Near	-1
356	2010 GX23	0.075	Apollo	Near	-1
357	2007 UG6	0.075	Amor	Near	-1
358	2007 UC2	0.075	Amor	Near	-1
359	2015 CW12	0.075	Amor	Near	-1
360	2011 YU74	0.075	Apollo	Near	-1
361	2019 BG1	0.073	Apollo	Near	-1
362	2016 JP17	0.071	Apollo	Near	-1
363	2010 UX6	0.071	Amor	Near	-1
364	2004 BB75	0.071	Amor	Near	-1
365	1999 TY2	0.071	Apollo	Near	-1
366	2004 UR	0.071	Apollo	Near	-1
367	2012 CL29	0.071	Amor	Near	-1
368	2012 FA14	0.071	Amor	Near	-1
369	2011 UT91	0.071	Apollo	Near	-1
370	2014 CP13	0.071	Amor	Near	-1
371	2013 YL2	0.071	Apollo	Near	-1
372	2013 ET	0.071	Apollo	Near	-1
373	2021 GG11	0.07	Apollo	Near	-1
374	2011 AA37	0.07	Amor	Near	-1
375	2019 UD4	0.069	Amor	Near	-1
376	2008 WD14	0.069	Apollo	Near	-1
377	2015 LG14	0.068	Amor	Near	-1
378	2015 TW237	0.068	Amor	Near	-1
379	2015 WF13	0.068	Amor	Near	-1
380	2017 EA3	0.068	Apollo	Near	-1
381	2017 VC	0.068	Apollo	Near	-1
382	2010 VB1	0.068	Apollo	Near	-1
383	1999 NW2	0.068	Apollo	Near	-1
384	1997 UR	0.068	Amor	Near	-1
385	2000 WG63	0.068	Amor	Near	-1
386	2006 YH14	0.068	Amor	Near	-1
387	2011 HO53	0.068	Amor	Near	-1
388	2014 OV3	0.068	Apollo	Near	-1
389	2012 FR52	0.068	Amor	Near	-1
390	2015 DT	0.067	Apollo	Near	-1
391	2017 BY93	0.066	Apollo	Near	-1
392	2015 SY	0.065	Aten	Near	-1
393	2015 TL143	0.065	Amor	Near	-1
394	2017 BL30	0.065	Apollo	Near	-1
395	2015 HW11	0.065	Apollo	Near	-1
396	2010 CD55	0.065	Apollo	Near	-1
397	2010 MG1	0.065	Apollo	Near	-1
398	2007 TS24	0.065	Apollo	Near	-1
399	2007 RS146	0.065	Apollo	Near	-1
400	2014 JR25	0.065	Apollo	Near	-1
401	2014 HS184	0.065	Amor	Near	-1
402	2015 CN13	0.065	Apollo	Near	-1
403	2011 OV17	0.065	Amor	Near	-1
404	2011 OE	0.065	Amor	Near	-1
405	2011 SN26	0.065	Amor	Near	-1
406	2011 RX	0.065	Amor	Near	-1
407	2013 PH10	0.065	Amor	Near	-1
408	2019 NJ5	0.063	Amor	Near	-1
409	2014 EK24	0.063	Apollo	Near	-1
410	2013 WA44	0.063	Amor	Near	-1
411	2016 EV27	0.062	Apollo	Near	-1
412	2015 RF36	0.062	Aten	Near	-1
413	2015 MQ116	0.062	Apollo	Near	-1
414	2015 YE	0.062	Amor	Near	-1
415	2018 JX	0.062	Apollo	Near	-1
416	2009 UY19	0.062	Apollo	Near	-1
417	2008 VU3	0.062	Apollo	Near	-1
418	2002 EC	0.062	Amor	Near	-1
419	2000 WG10	0.062	Apollo	Near	-1
420	2007 RY9	0.062	Amor	Near	-1
421	2005 EQ95	0.062	Apollo	Near	-1
422	2014 UT33	0.062	Apollo	Near	-1
423	2015 HU9	0.062	Apollo	Near	-1
424	2013 PR43	0.062	Apollo	Near	-1
425	2016 HN2	0.059	Apollo	Near	-1
426	2016 EC157	0.059	Aten	Near	-1
427	2015 SZ	0.059	Amor	Near	-1
428	2016 CB30	0.059	Amor	Near	-1
429	2020 DD	0.059	Apollo	Near	-1
430	2019 UD13	0.059	Amor	Near	-1
431	2017 BW	0.059	Apollo	Near	-1
432	2016 RJ18	0.059	Amor	Near	-1
433	2016 RL20	0.059	Apollo	Near	-1
434	2009 XO2	0.059	Apollo	Near	-1
435	2011 AV55	0.059	Apollo	Near	-1
436	2010 WC9	0.059	Apollo	Near	-1
437	2000 TL1	0.059	Apollo	Near	-1
438	2007 LW19	0.059	Apollo	Near	-1
439	2007 HD84	0.059	Amor	Near	-1
440	2007 PS9	0.059	Apollo	Near	-1
441	2014 HN178	0.059	Amor	Near	-1
442	2014 WZ4	0.059	Amor	Near	-1
443	2015 AZ43	0.059	Apollo	Near	-1
444	2015 CF	0.059	Amor	Near	-1
