	Name	Diam	Class	H	time
0	2012 NP	0.16	S*	21.34	-1
1	2015 JA2	0.159	S*	21.36	-1
2	2011 TN9	0.157	S*	21.39	-1
3	2006 KV89	0.157	S*	21.38	-1
4	2007 CA27	0.157	S*	21.39	-1
5	2005 EE	0.157	S*	21.39	-1
6	2017 QL33	0.157	S*	21.38	-1
7	2012 BR23	0.156	S*	21.4	-1
8	2010 GT6	0.156	S*	21.4	-1
9	2015 XU378	0.156	S*	21.4	-1
10	2015 UJ51	0.156	S*	21.4	-1
11	2005 BO1	0.156	S*	21.4	-1
12	2012 HM1	0.156	S*	21.4	-1
13	1999 MN	0.156	S*	21.4	-1
14	2011 ST232	0.156	S*	21.4	-1
15	2002 NV16	0.156	S*	21.4	-1
16	2018 EJ4	0.156	S*	21.4	-1
17	2018 QN1	0.156	S*	21.4	-1
18	1994 CJ1	0.156	S*	21.4	-1
19	2017 PS25	0.156	S*	21.4	-1
20	2010 BT3	0.156	S*	21.4	-1
21	2010 VD72	0.156	S*	21.4	-1
22	2011 CG2	0.156	S*	21.4	-1
23	2015 JV	0.156	S*	21.4	-1
24	2010 GC6	0.156	S*	21.4	-1
25	2007 EF	0.156	S*	21.4	-1
26	2010 MP1	0.156	S*	21.4	-1
27	2010 KA8	0.156	S*	21.4	-1
28	2014 OT338	0.156	S*	21.4	-1
29	2017 PR25	0.155	S*	21.42	-1
30	Derm2g	0.155	S*	21.41	0
31	2008 HS3	0.154	S*	21.43	-1
32	2009 JL1	0.153	S*	21.44	-1
33	2019 AW4	0.152	S*	21.45	-1
34	2014 VH2	0.151	S*	21.47	-1
35	1998 BY7	0.151	S*	21.47	-1
36	2001 JV1	0.15	S*	21.48	-1
37	2008 WJ60	0.15	S*	21.48	-1
38	2015 YU7	0.15	S*	21.49	-1
39	2014 MD6	0.149	S*	21.5	-1
40	2019 JX7	0.149	S*	21.5	-1
41	2013 XA4	0.149	S*	21.5	-1
42	2001 RU17	0.149	S*	21.5	-1
43	2014 BR43	0.149	S*	21.5	-1
44	2014 TN17	0.149	S*	21.5	-1
