,Name,Diam,WiseData_time
0,1991 VA,0.017,-1
1,1994 CJ1,0.156,-1
2,1995 CR,0.13,-1
3,1995 HM,0.094,-1
4,1996 GQ,0.071,2010 02 05.963786
5,1996 VB3,0.102,-1
6,1997 UR,0.068,-1
7,1998 BY7,0.151,-1
8,1998 KY26,0.024,-1
9,1998 WB2,0.113,-1
10,1999 FN19,0.091,2018 04 13.30518
11,1999 NW2,0.068,-1
12,1999 SF10,0.047,-1
13,1999 SH10,0.09,-1
14,1999 TN13,0.057,-1
15,1999 TY2,0.071,-1
16,1I/'Oumuamua,,0
17,2000 AA6,0.113,2010 07 26.87046
18,2000 AG6,0.033,-1
19,2000 DO8,0.037,-1
20,2000 EB14,0.051,-1
21,2000 HB24,0.048,-1
22,2000 KA,0.136,-1
23,2000 LF3,0.142,-1
24,2000 RE52,0.103,-1
25,2000 SL10,0.124,-1
26,2000 SM10,0.045,-1
27,2000 TL1,0.059,-1
28,2000 UK11,0.026,-1
29,2000 UO30,0.041,-1
30,2000 WG10,0.062,-1
31,2000 WG63,0.068,-1
32,2000 WH10,0.094,-1
33,2000 WJ107,0.054,-1
34,2000 WL107,0.038,-1
35,2000 WM10,0.021,-1
36,2000 WN148,0.098,-1
37,2000 WP19,0.086,-1
38,2000 WQ148,0.086,-1
39,2000 WS28,0.057,-1
40,2000 YA,0.054,-1
41,2001 AV43,0.031,-1
42,2001 BF10,0.09,-1
43,2001 CP36,0.054,-1
44,2001 CQ36,0.086,-1
45,2001 DS8,0.082,-1
46,2001 EC16,0.103,-1
47,2001 GR2,0.142,-1
48,2001 JV1,0.15,-1
49,2001 KU66,0.045,-1
50,2001 SQ3,0.142,-1
51,2001 UF5,0.098,-1
52,2001 WJ4,0.01,-1
53,2001 WR5,0.078,-1
54,2001 WV1,0.094,-1
55,2001 XU4,0.054,-1
56,2002 AA29,0.027,-1
57,2002 AH29,0.149,-1
58,2002 AO11,0.086,2016 01 09.90450
59,2002 BF25,0.097,-1
60,2002 CX58,0.103,-1
61,2002 EC,0.062,-1
62,2002 GD10,0.086,-1
63,2002 JR100,0.041,-1
64,2002 LY1,0.103,-1
65,2002 TH68,0.149,-1
66,2002 TP69,0.124,-1
67,2002 TZ66,0.02,-1
68,2002 UK11,0.136,-1
69,2002 VO85,0.142,-1
70,2003 EM1,0.037,-1
71,2003 EZ16,0.09,-1
72,2003 SR84,0.024,-1
73,2003 SS84,0.13,-1
74,2003 WT153,0.007,-1
75,2003 XV,0.014,-1
76,2004 BB75,0.071,-1
77,2004 BV18,0.02,-1
78,2004 BW18,0.094,-1
79,2004 EU22,0.054,-1
80,2004 FH,0.022,-1
81,2004 GD,0.054,-1
82,2004 GD2,0.041,-1
83,2004 HC39,0.149,-1
84,2004 HZ,0.09,-1
85,2004 KF17,0.018,-1
86,2004 SC56,0.086,-1
87,2004 SS,0.124,-1
88,2004 TB10,0.156,2019 03 31.70420
89,2004 TC18,0.047,-1
90,2004 UR,0.071,-1
91,2004 VB61,0.113,-1
92,2004 VJ1,0.045,-1
93,2004 XK14,0.098,2015 12 31.98584
94,2004 XK3,0.039,-1
95,2005 EQ95,0.062,-1
96,2005 GB34,0.025,-1
97,2005 GR33,0.108,2018 03 20.36421
98,2005 ML13,0.094,-1
99,2005 UE1,0.017,-1
100,2005 UW5,0.009,-1
101,2005 WD,0.121,-1
102,2006 AM4,0.13,-1
103,2006 CL9,0.082,-1
104,2006 CT,0.103,-1
105,2006 DD1,0.015,-1
106,2006 DR14,0.018,-1
107,2006 HH56,0.047,-1
108,2006 HU50,0.034,-1
109,2006 HW50,0.039,-1
110,2006 HX30,0.017,-1
111,2006 KB1,0.039,-1
112,2006 KC,0.108,-1
113,2006 KS38,0.049,-1
114,2006 MV1,0.013,-1
115,2006 RH120,0.003,-1
116,2006 SF77,0.142,-1
117,2006 UA216,0.057,-1
118,2006 XY,0.043,-1
119,2006 YH14,0.068,-1
120,2007 BD,0.025,-1
121,2007 CQ5,0.113,-1
122,2007 CX50,0.034,-1
123,2007 DA,0.098,-1
124,2007 DD,0.02,-1
125,2007 DX,0.086,-1
126,2007 EF,0.156,-1
127,2007 EK88,0.149,-1
128,2007 EO,0.082,-1
129,2007 EV,0.03,-1
130,2007 GQ3,0.118,-1
131,2007 GU1,0.03,-1
132,2007 GY1,0.09,-1
133,2007 HD84,0.059,-1
134,2007 HL4,0.045,-1
135,2007 KE,0.094,-1
136,2007 KE4,0.027,-1
137,2007 LT,0.09,-1
138,2007 LW19,0.059,-1
139,2007 PD8,0.09,-1
140,2007 PS9,0.059,-1
141,2007 RE2,0.082,-1
142,2007 RH1,0.09,-1
143,2007 RQ12,0.057,-1
144,2007 RS146,0.065,-1
145,2007 RY9,0.062,-1
146,2007 TE66,0.144,2019 12 23.60270
147,2007 TQ24,0.113,-1
148,2007 TS24,0.065,-1
149,2007 TU18,0.03,-1
150,2007 UC2,0.075,-1
151,2007 UG6,0.075,-1
152,2007 VE191,0.057,-1
153,2007 VH184,0.124,-1
154,2007 VV83,0.034,-1
155,2007 WU3,0.052,-1
156,2007 XN16,0.024,-1
157,2007 XO3,0.078,-1
158,2008 CC71,0.031,-1
159,2008 CP,0.045,-1
160,2008 CP116,0.078,-1
161,2008 DG4,0.052,-1
162,2008 GU20,0.078,-1
163,2008 HA2,0.039,-1
164,2008 HJ,0.021,-1
165,2008 JL24,0.004,-1
166,2008 MP1,0.124,-1
167,2008 NP3,0.081,2010 07 21.08450
168,2008 PR9,0.096,2016 04 29.708862
169,2008 SA,0.03,-1
170,2008 TC3,0.002,-1
171,2008 TT26,0.057,-1
172,2008 TX3,0.031,-1
173,2008 TY9,0.03,-1
174,2008 UP100,0.049,-1
175,2008 UR,0.012,-1
176,2008 UR2,0.012,-1
177,2008 UT1,0.103,-1
178,2008 UT5,0.037,-1
179,2008 UT95,0.01,-1
180,2008 VH14,0.057,-1
181,2008 VU3,0.062,-1
182,2008 WA14,0.075,-1
