cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.542286,21.965870,2.1620178200E+02,4.5991115000E+01,216.2018631,45.9912547,0.5239,0.4962,0.1229,16.163,null,1.9,1.079E+00,14.093,0.134,8.1,1.609E+00,9.273,0.077,14.1,5.865E-01,6.678,0.262,4.1,1.199E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55203.276312,null,null,null,null,null,null,null
3,0.378902,54.446034,2.3695620000E+02,3.6042545000E+01,236.9563059,36.0426062,0.2565,0.2605,0.0862,16.878,0.488,2.2,1.246E+00,13.037,0.060,18.1,1.220E+00,8.345,0.044,24.9,7.583E-01,6.471,0.138,7.9,9.075E-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55227.560587,null,null,null,null,null,null,null
4,0.398889,20.772441,2.3695637200E+02,3.6042565000E+01,236.9564206,36.0426686,0.2228,0.2421,-0.0643,16.601,0.345,3.1,1.246E+00,13.222,0.074,14.7,1.593E+00,8.358,0.033,32.5,1.284E+00,6.578,0.171,6.3,6.596E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55227.560715,null,null,null,null,null,null,null
5,0.275819,76.950046,2.3708976700E+02,3.5950931000E+01,237.0898592,35.9509483,0.2234,0.2528,0.0730,16.658,0.384,2.8,5.882E-01,13.376,0.082,13.3,1.081E+00,8.353,0.037,29.3,1.353E+00,6.363,0.131,8.3,8.108E-01,1,0,0.000,0.000,0.000,0.000,g000,CAAB,1,55227.693019,null,null,null,null,null,null,null
6,0.453107,43.959585,2.3722357300E+02,3.5858609000E+01,237.2236808,35.8586996,0.2055,0.2299,0.0610,16.150,0.226,4.8,1.744E+00,13.163,0.065,16.6,1.265E+00,8.269,0.035,31.3,1.169E+00,6.390,0.130,8.4,1.483E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55227.825323,null,null,null,null,null,null,null
7,0.504994,24.248367,2.3735779500E+02,3.5765587000E+01,237.3578660,35.7657149,0.2326,0.2364,0.0791,16.573,0.358,3.0,9.687E-01,13.013,0.064,17.0,6.873E-01,8.312,0.037,29.5,1.984E+00,6.556,0.151,7.2,1.079E+00,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55227.957628,null,null,null,null,null,null,null
8,0.536504,70.478282,2.3762766800E+02,3.5577442000E+01,237.6278407,35.5774918,0.2159,0.2373,0.0716,16.301,0.285,3.8,1.460E+00,13.131,0.065,16.6,7.284E-01,8.276,0.036,30.2,9.032E-01,6.519,0.149,7.3,1.075E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.222364,null,null,null,null,null,null,null
10,0.261108,71.261684,2.3769544500E+02,3.5529964000E+01,237.6955294,35.5299873,0.2365,0.2533,0.0441,16.227,0.266,4.1,9.505E-01,13.367,0.083,13.1,1.587E+00,8.361,0.037,29.6,1.337E+00,6.544,0.165,6.6,9.162E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.288579,null,null,null,null,null,null,null
11,0.210068,96.494383,2.3776315700E+02,3.5482287000E+01,237.7632282,35.4822804,0.2200,0.2484,0.0864,16.330,null,2.0,1.492E+00,13.247,0.074,14.8,1.270E+00,8.259,0.035,31.3,8.895E-01,6.389,0.138,7.9,1.168E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55228.354668,null,null,null,null,null,null,null
12,0.393787,39.006968,2.3783115100E+02,3.5434446000E+01,237.8312355,35.4345310,0.2040,0.2261,0.0410,15.680,0.166,6.5,7.365E-01,13.127,0.072,15.0,7.280E-01,8.195,0.035,31.4,1.317E+00,6.382,0.129,8.4,1.401E+00,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.420884,null,null,null,null,null,null,null
13,0.534267,35.380669,2.3789907700E+02,3.5386403000E+01,237.8991824,35.3865240,0.2268,0.2462,0.1032,16.141,0.228,4.8,7.338E-01,13.195,0.068,15.9,1.549E+00,8.265,0.037,29.7,1.298E+00,6.507,0.135,8.0,9.367E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55228.486972,null,null,null,null,null,null,null
14,0.518988,52.880227,2.3789925100E+02,3.5386421000E+01,237.8993920,35.3865080,0.2158,0.2397,0.0740,16.664,0.386,2.8,1.387E+00,13.162,0.073,14.8,1.047E+00,8.217,0.036,30.4,6.391E-01,6.192,0.122,8.9,3.862E-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55228.487099,null,null,null,null,null,null,null
