cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.673740,-83.002372,1.0649262900E+02,2.6185305000E+01,106.4924220,26.1853278,0.2241,0.2664,-0.0109,16.857,0.463,2.3,1.313E+00,13.461,0.094,11.6,1.059E+00,8.237,0.037,29.7,7.108E-01,6.578,0.174,6.2,9.203E-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55285.762266,null,null,null,null,null,null,null
2,0.925565,-94.148624,1.0651758800E+02,2.6203976000E+01,106.5173022,26.2039574,0.3433,0.3881,0.0730,16.952,null,0.1,2.162E+00,13.927,0.139,7.8,1.366E+00,8.524,0.051,21.3,8.211E-01,6.486,0.195,5.6,8.013E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55285.894570,null,null,null,null,null,null,null
3,0.711142,-78.524522,1.0654283400E+02,2.6222704000E+01,106.5426182,26.2227433,0.2653,0.3069,0.0753,16.470,null,0.9,6.164E-01,13.377,0.083,13.1,1.435E+00,8.259,0.043,25.4,8.752E-01,6.641,0.217,5.0,8.202E-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55286.026874,null,null,null,null,null,null,null
4,0.878621,-82.536973,1.0656836900E+02,2.6241487000E+01,106.5680992,26.2415187,0.2931,0.3598,0.1131,17.074,null,null,1.507E+00,13.555,0.098,11.1,1.931E+00,8.431,0.047,22.9,8.929E-01,6.773,0.223,4.9,1.083E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55286.159178,null,null,null,null,null,null,null
5,0.468027,-65.409496,1.0656839800E+02,2.6241378000E+01,106.5682662,26.2414321,0.2704,0.3143,0.0613,16.961,0.499,2.2,9.819E-01,13.886,0.127,8.5,8.619E-01,8.280,0.041,26.5,8.244E-01,6.555,0.182,6.0,1.000E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAB,1,55286.159306,null,null,null,null,null,null,null
6,0.769317,-88.578797,1.0658125900E+02,2.6250844000E+01,106.5810208,26.2508493,0.2094,0.2448,0.0343,16.657,0.389,2.8,7.885E-01,13.376,0.080,13.6,5.692E-01,8.171,0.035,31.1,9.443E-01,6.431,0.157,6.9,5.101E-01,2,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55286.225394,null,null,null,null,null,null,null
7,0.436419,-107.671602,1.0659422100E+02,2.6260214000E+01,106.5940922,26.2601772,0.2453,0.2771,0.0535,15.790,null,1.8,6.070E-01,13.386,0.087,12.4,1.424E+00,8.237,0.038,28.5,1.078E+00,6.648,0.185,5.9,1.648E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55286.291610,null,null,null,null,null,null,null
8,0.524246,-77.104216,1.0660722600E+02,2.6269708000E+01,106.6070677,26.2697405,0.3028,0.3459,0.0794,17.032,null,null,1.283E+00,13.582,0.097,11.2,9.993E-01,8.523,0.047,23.3,1.086E+00,7.103,0.335,3.2,9.439E-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55286.357698,null,null,null,null,null,null,null
9,0.850278,-90.557896,1.0662033200E+02,2.6279108000E+01,106.6200686,26.2791057,0.2617,0.2976,0.0665,16.737,null,0.3,1.196E+00,13.719,0.106,10.2,1.424E+00,8.307,0.041,26.3,1.802E+00,6.272,0.134,8.1,1.316E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55286.423914,null,null,null,null,null,null,null
10,0.636912,-84.746208,1.0663348000E+02,2.6288632000E+01,106.6332835,26.2886482,0.2521,0.2964,0.0753,16.839,0.498,2.2,8.941E-01,13.466,0.091,11.9,8.016E-01,8.189,0.040,27.0,9.846E-01,6.362,0.161,6.7,8.244E-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55286.490002,null,null,null,null,null,null,null
11,0.439381,-28.852021,1.0666002400E+02,2.6307613000E+01,106.6599583,26.3077199,0.3120,0.3788,0.1125,16.486,null,1.1,8.472E-01,13.868,0.117,9.3,2.200E+00,8.501,0.047,23.1,1.248E+00,7.446,0.465,2.3,9.598E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55286.622306,null,null,null,null,null,null,null
