cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,1.480736,-60.041407,1.5294761600E+02,1.4982854000E+01,152.9472471,14.9830594,0.5005,0.5392,0.1358,16.549,null,1.0,1.026E+00,14.513,0.206,5.3,1.406E+00,9.210,0.082,13.2,1.364E+00,6.575,0.180,6.0,1.156E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55331.475845,null,null,null,null,null,null,null
3,0.763738,-57.431988,1.5305062600E+02,1.4652853000E+01,153.0504412,14.6529672,0.5945,0.6619,0.2037,16.575,0.397,2.7,1.832E+00,14.651,0.254,4.3,1.164E+00,9.251,0.084,13.0,1.360E+00,7.609,null,null,1.174E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,0,55331.608021,null,null,null,null,null,null,null
4,1.166783,-62.311587,1.5315314900E+02,1.4323618000E+01,153.1528528,14.3237686,0.6035,0.6829,0.1863,16.987,null,null,1.390E+00,14.521,0.225,4.8,8.154E-01,9.283,0.085,12.7,1.548E+00,7.188,null,1.4,6.646E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,0,55331.740325,null,null,null,null,null,null,null
5,1.422844,-60.153379,1.5325497700E+02,1.3996177000E+01,153.2546237,13.9963737,0.6142,0.7039,0.2268,16.464,null,1.3,1.408E+00,14.788,0.272,4.0,1.333E+00,9.283,0.086,12.6,9.296E-01,7.558,0.443,2.5,1.466E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55331.872502,null,null,null,null,null,null,null
6,0.807967,-19.394234,1.5335633300E+02,1.3669543000E+01,153.3562563,13.6697547,0.5724,0.6410,0.1931,17.088,null,null,7.783E-01,15.273,0.433,2.5,9.796E-01,9.103,0.074,14.7,1.357E+00,7.692,0.469,2.3,7.133E-01,1,0,0.000,0.000,0.000,0.000,0000,UCAC,0,55332.004806,null,null,null,null,null,null,null
7,0.896727,-13.209548,1.5345711600E+02,1.3344231000E+01,153.4570575,13.3444735,0.6529,0.7345,0.1834,16.544,null,1.0,9.486E-01,14.894,0.277,3.9,1.229E+00,9.359,0.091,11.9,9.559E-01,7.422,0.411,2.6,9.830E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,0,55332.137110,null,null,null,null,null,null,null
8,0.991803,-59.482404,1.5355722900E+02,1.3020744000E+01,153.5569854,13.0208839,0.6373,0.7116,0.2145,16.350,null,1.5,4.977E-01,15.338,0.416,2.6,8.121E-01,9.351,0.092,11.7,5.028E-01,7.092,0.281,3.9,9.793E-01,1,0,0.000,0.000,0.000,0.000,0000,UCAB,0,55332.269287,null,null,null,null,null,null,null
9,0.837143,-62.881237,1.5360707600E+02,1.2859504000E+01,153.6068637,12.8596100,0.5466,0.6212,0.0844,17.038,null,0.1,7.497E-01,15.075,0.339,3.2,1.238E+00,9.196,0.078,13.9,9.452E-01,7.150,0.277,3.9,8.335E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55332.335375,null,null,null,null,null,null,null
10,1.302530,-45.986096,1.5360718300E+02,1.2859008000E+01,153.6069161,12.8592594,0.5955,0.6516,0.2006,17.041,null,null,1.071E+00,14.709,0.259,4.2,8.577E-01,9.330,0.090,12.1,7.607E-01,7.183,0.304,3.6,1.523E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55332.335502,null,null,null,null,null,null,null
11,0.657607,-8.630866,1.5365689200E+02,1.2698102000E+01,153.6568639,12.6982826,0.5941,0.6564,0.2206,16.649,null,0.9,6.281E-01,14.974,0.296,3.7,6.899E-01,9.228,0.086,12.7,9.035E-01,7.046,0.269,4.0,1.422E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55332.401591,null,null,null,null,null,null,null
