mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55246.716916	17.141	15.767	10.735	7.511	UUBU	0	2010-02-19 17:12:21.542
55246.849347	17.039	15.635	11.19	7.381	UUCC	0	2010-02-19 20:23:03.581
55247.113955	17.124	15.245	10.816	7.988	UUBU	0	2010-02-20 02:44:05.712
55247.180171	16.708	15.749	10.542	7.872	UUBU	0	2010-02-20 04:19:26.774
55247.444907	17.066	15.85	10.808	7.646	CUBU	0	2010-02-20 10:40:39.965
55247.510995	17.108	15.124	10.831	7.982	UUBU	0	2010-02-20 12:15:49.968
55247.709515	16.717	15.233	10.416	7.74	UCBU	0	2010-02-20 17:01:42.096
55248.238859	16.769	15.153	10.703	7.677	UCBU	0	2010-02-21 05:43:57.418
55248.371163	17.126	15.282	10.61	7.387	UUBU	0	2010-02-21 08:54:28.483
55248.37129	16.825	15.579	10.735	7.512	UCBC	0	2010-02-21 08:54:39.456
55248.503594	16.764	15.236	10.785	7.582	UUBC	0	2010-02-21 12:05:10.522
55249.893106	17.11	15.617	10.83	7.512	UUBU	0	2010-02-22 21:26:04.358
55250.02541	17.155	15.486	10.534	7.845	UUBU	0	2010-02-23 00:36:35.424
55250.22393	17.153	15.774	10.677	7.439	UUBU	0	2010-02-23 05:22:27.552
55250.290145	16.968	15.309	10.753	7.363	UUBU	0	2010-02-23 06:57:48.528
55250.356361	16.299	15.176	10.766	7.246	BUBU	0	2010-02-23 08:33:09.590
55250.422449	17.058	15.246	10.672	7.496	UUBU	0	2010-02-23 10:08:19.594
55250.488665	17.1	15.01	10.456	7.596	UBBU	0	2010-02-23 11:43:40.656
55250.753273	17.108	13.847	10.505	7.333	UUBU	0	2010-02-23 18:04:42.787
55250.951793	16.986	15.618	10.649	7.887	UCBU	0	2010-02-23 22:50:34.915
55251.018009	16.862	15.251	11.101	7.549	UCCU	0	2010-02-24 00:25:55.978
55251.150313	17.144	14.892	10.753	7.546	UUBU	0	2010-02-24 03:36:27.043
55251.282744	17.169	15.174	10.525	7.257	UUBU	0	2010-02-24 06:47:09.082
