mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55285.762266	16.857	13.461	8.237	6.578	CAAB	1
55285.89457	16.952	13.927	8.524	6.486	UBAB	1
55286.026874	16.47	13.377	8.259	6.641	UAAB	1
55286.159178	17.074	13.555	8.431	6.773	UAAB	1
55286.159306	16.961	13.886	8.28	6.555	CBAB	1
55286.225394	16.657	13.376	8.171	6.431	CAAB	1
55286.29161	15.79	13.386	8.237	6.648	UAAB	1
55286.357698	17.032	13.582	8.523	7.103	UAAB	1
55286.423914	16.737	13.719	8.307	6.272	UAAB	1
55286.490002	16.839	13.466	8.189	6.362	CAAB	1
55286.622306	16.486	13.868	8.501	7.446	UBAC	1
55286.622433	16.645	13.904	8.458	6.716	UBAB	1
55286.754737	16.717	13.353	8.155	6.062	UAAB	1
55286.887041	12.852	12.644	8.87	6.589	AAAB	1
