mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55285.368665	16.56	15.526	10.101	7.098	UUBB	1
55285.500969	16.909	15.42	10.038	7.312	UUBB	1
55285.633273	16.433	15.429	9.895	7.761	UUBC	1
55285.765577	17.081	15.547	10.103	7.254	UUBB	1
55285.831792	17.043	15.568	9.922	7.692	UUBC	1
55285.897881	17.035	15.646	9.933	7.112	UCBB	1
55285.898008	17.125	15.082	9.942	7.022	UUBB	1
55285.964097	17.067	15.529	10.238	7.846	UUBC	1
55286.030312	17.109	15.555	10.122	7.014	UCBB	1
55286.096401	16.987	15.396	10.12	7.565	UUBC	1
55286.228705	16.499	15.681	9.745	7.385	UUBB	1
55286.361009	16.985	15.695	9.73	7.354	UUBU	1
55286.493313	17.115	15.72	9.938	7.459	UUBU	1
55286.49344	17.192	15.617	10.17	7.388	UUBU	1
