mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg
55372.38281	16.515	14.896	9.895	7.538	CBBU	1
55372.515113	17.05	14.705	10.836	7.627	UBBU	1
55372.647417	17.034	15.256	9.782	7.858	UCBU	1
55372.779721	16.627	14.536	9.958	7.43	UBBU	1
55372.845809	12.657	12.649	11.273	7.517	AACU	1
55372.978113	16.179	15.017	10.884	7.43	BBBU	1
55373.044328	16.717	15.095	10.211	7.749	CUBC	1
55373.110417	16.542	14.553	10.221	7.648	UBBC	1
55373.176632	17.067	15.222	10.594	7.571	UBBU	1
55373.375024	16.722	15.278	10.327	7.427	UUBU	1
55373.507328	16.232	15.792	10.181	7.345	UCBU	1
55373.639631	16.69	15.202	10.416	7.688	UUBU	1
