cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.281380,-173.773394,2.3520284400E+02,4.1763770000E+00,235.2028355,4.1762993,0.6786,0.7658,0.1801,16.787,0.429,2.5,1.021E+00,14.450,0.191,5.7,1.320E+00,9.705,0.115,9.4,1.174E+00,7.402,0.332,3.3,1.294E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBB,1,55238.086849,null,null,null,null,null,null,null
3,0.323968,81.758411,2.3517280800E+02,4.1853560000E+00,235.1728973,4.1853689,0.6155,0.7576,0.1926,16.299,null,1.8,1.819E+00,14.460,0.209,5.2,8.606E-01,9.538,0.100,10.9,1.432E+00,7.268,0.314,3.5,1.455E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55238.219281,null,null,null,null,null,null,null
4,0.673840,54.873116,2.3514270600E+02,4.1942430000E+00,235.1428595,4.1943507,0.4979,0.5617,0.1644,16.996,null,null,1.286E+00,13.814,0.122,8.9,8.743E-01,9.255,0.084,13.0,1.002E+00,7.829,0.540,2.0,1.062E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.351585,null,null,null,null,null,null,null
5,0.344007,40.557692,2.3512763000E+02,4.1986390000E+00,235.1276923,4.1987116,0.4516,0.5236,0.1279,16.884,0.496,2.2,1.696E+00,13.877,0.119,9.1,1.564E+00,9.222,0.076,14.3,1.136E+00,7.280,0.291,3.7,9.285E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAB,1,55238.417674,null,null,null,null,null,null,null
6,0.272758,-40.164717,2.3511251900E+02,4.2031470000E+00,235.1124700,4.2032049,0.4644,0.5458,0.1406,16.532,0.341,3.2,1.489E+00,13.721,0.120,9.1,7.834E-01,9.287,0.081,13.4,1.075E+00,7.350,null,1.4,1.239E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAU,1,55238.483889,null,null,null,null,null,null,null
7,0.587057,8.688314,2.3509738700E+02,4.2076590000E+00,235.0974117,4.2078202,0.4968,0.5529,0.1518,16.668,null,1.0,9.131E-01,14.043,0.139,7.8,8.622E-01,9.173,0.077,14.0,6.763E-01,7.466,0.363,3.0,1.828E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.550105,null,null,null,null,null,null,null
8,0.372835,138.948014,2.3508224800E+02,4.2120670000E+00,235.0823162,4.2119889,0.5214,0.5789,0.1109,17.110,null,null,1.064E+00,13.993,0.129,8.4,6.135E-01,9.394,0.090,12.1,1.027E+00,7.639,0.421,2.6,1.019E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55238.616193,null,null,null,null,null,null,null
9,0.227198,147.286373,2.3506707100E+02,4.2165910000E+00,235.0671052,4.2165379,0.5072,0.5903,0.1333,16.878,0.485,2.2,1.009E+00,13.827,0.134,8.1,6.929E-01,9.344,0.089,12.2,8.716E-01,7.471,0.379,2.9,7.980E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55238.682409,null,null,null,null,null,null,null
10,0.233946,17.136534,2.3503666700E+02,4.2255430000E+00,235.0366862,4.2256051,0.5069,0.5628,0.1366,16.889,0.498,2.2,9.623E-01,14.222,0.156,7.0,1.274E+00,9.140,0.076,14.2,8.884E-01,7.043,null,1.7,1.419E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55238.814713,null,null,null,null,null,null,null
11,0.421621,62.322592,2.3500617200E+02,4.2345130000E+00,235.0062760,4.2345674,0.3825,0.4512,-0.0470,16.179,0.255,4.3,1.181E+00,13.634,0.093,11.7,7.659E-01,9.195,0.072,15.0,1.363E+00,7.278,null,1.6,9.577E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAU,1,55238.947018,null,null,null,null,null,null,null
