cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.618536,-175.560065,1.3269699800E+02,3.7206547000E+01,132.6969813,37.2063757,0.8754,0.9573,0.2263,16.481,null,null,6.351E-01,14.909,0.278,3.9,7.122E-01,10.092,0.161,6.8,1.663E+00,7.097,0.268,4.0,8.686E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55305.678565,null,null,null,null,null,null,null
2,0.171296,-76.385848,1.3292816400E+02,3.6992864000E+01,132.9281061,36.9928752,0.9697,1.2528,0.2351,17.097,null,null,1.395E+00,14.861,null,1.6,7.505E-01,9.885,0.138,7.9,5.689E-01,7.595,null,0.7,8.455E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55305.810742,null,null,null,null,null,null,null
3,0.416638,116.865842,1.3315634600E+02,3.6779996000E+01,133.1564749,36.7799437,0.7911,0.9013,0.2291,17.064,null,null,7.156E-01,15.114,0.370,2.9,7.819E-01,9.731,0.120,9.1,1.367E+00,7.227,0.312,3.5,7.754E-01,2,0,0.000,0.000,0.000,0.000,000d,UCBB,1,55305.943046,null,null,null,null,null,null,null
4,1.457641,29.271315,1.3338143300E+02,3.6568533000E+01,133.3816795,36.5688862,0.8597,0.9617,0.3232,16.799,null,0.5,1.332E+00,15.124,0.412,2.6,8.884E-01,9.641,0.113,9.6,9.527E-01,7.751,0.464,2.3,1.130E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55306.075350,null,null,null,null,null,null,null
5,0.966805,-29.517295,1.3360349100E+02,3.6358464000E+01,133.6033267,36.3586977,1.2827,1.4367,0.3748,16.884,null,0.4,1.027E+00,15.312,null,0.5,1.068E+00,10.054,0.177,6.1,1.026E+00,7.084,null,1.8,9.564E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55306.207654,null,null,null,null,null,null,null
6,1.100632,0.816095,1.3371332300E+02,3.6254237000E+01,133.7133284,36.2545427,0.7552,0.8386,0.1599,16.631,null,1.0,1.620E+00,15.056,0.322,3.4,1.272E+00,9.655,0.116,9.3,1.374E+00,7.348,0.309,3.5,9.391E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55306.273743,null,null,null,null,null,null,null
7,1.418671,3.594827,1.3382258100E+02,3.6149785000E+01,133.8226116,36.1501783,0.7923,0.8880,0.2717,16.312,null,1.7,1.050E+00,14.844,0.257,4.2,9.720E-01,9.718,0.124,8.8,1.009E+00,7.557,0.430,2.5,1.045E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55306.339959,null,null,null,null,null,null,null
8,0.436700,-56.981824,1.3393094900E+02,3.6046259000E+01,133.9308232,36.0463251,1.0026,1.1806,0.2753,17.100,null,null,9.219E-01,15.196,null,0.8,1.386E+00,9.931,0.144,7.6,8.693E-01,7.563,0.390,2.8,1.229E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55306.406047,null,null,null,null,null,null,null
9,0.916388,7.455980,1.3403875700E+02,3.5942508000E+01,134.0387978,35.9427604,0.9708,1.0409,0.2319,16.542,null,1.2,9.288E-01,15.601,null,null,1.082E+00,9.803,0.127,8.5,1.000E+00,7.763,0.524,2.1,9.294E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55306.472263,null,null,null,null,null,null,null
10,0.965350,-157.365899,1.3414569500E+02,3.5839681000E+01,134.1455677,35.8394335,0.8516,0.9992,0.3043,16.528,null,0.8,8.055E-01,15.241,0.407,2.7,9.664E-01,9.727,0.120,9.1,9.652E-01,7.230,null,1.6,9.735E-01,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55306.538351,null,null,null,null,null,null,null
11,0.381386,-11.804459,1.3425192900E+02,3.5737195000E+01,134.2519023,35.7372987,1.2917,1.3013,0.4720,17.019,null,null,8.538E-01,15.338,null,null,9.115E-01,9.937,0.153,7.1,4.498E-01,7.573,null,0.7,8.158E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55306.604440,null,null,null,null,null,null,null
12,1.009660,-31.668644,1.3425208500E+02,3.5736629000E+01,134.2519036,35.7368677,1.2563,1.3447,-0.3101,16.502,null,1.4,5.409E-01,15.361,null,0.1,4.860E-01,9.895,0.158,6.9,5.654E-01,7.409,null,0.5,3.596E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55306.604567,null,null,null,null,null,null,null
13,0.704175,45.582316,1.3435761900E+02,3.5634493000E+01,134.3577909,35.6346299,0.7542,0.8502,0.1697,16.369,null,1.5,7.018E-01,14.299,0.174,6.3,1.636E+00,9.762,0.128,8.5,1.088E+00,7.754,0.467,2.3,1.341E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55306.670655,null,null,null,null,null,null,null
14,0.383369,-169.774956,1.3456677600E+02,3.5430683000E+01,134.5667528,35.4305782,1.1191,1.2540,0.3706,16.989,null,0.3,8.123E-01,15.326,null,0.4,1.172E+00,9.859,0.153,7.1,6.333E-01,7.813,0.533,2.0,2.055E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55306.802960,null,null,null,null,null,null,null
16,0.437530,98.469368,1.3497685700E+02,3.5027785000E+01,134.9770038,35.0277671,1.1188,1.1977,0.3603,16.786,null,0.5,1.031E+00,14.924,null,1.2,8.809E-01,9.979,0.152,7.1,9.267E-01,7.558,0.396,2.7,6.705E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55307.067441,null,null,null,null,null,null,null
17,0.965916,73.523107,1.3497700500E+02,3.5027229000E+01,134.9773192,35.0273051,0.9443,1.0145,0.1508,16.538,null,1.1,5.545E-01,15.403,null,0.4,1.219E+00,9.793,0.133,8.2,1.186E+00,7.190,0.303,3.6,1.240E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55307.067568,null,null,null,null,null,null,null
18,0.860751,51.451470,1.3517804200E+02,3.4828122000E+01,135.1782698,34.8282710,0.9906,1.0849,0.3403,16.389,null,0.9,6.559E-01,15.466,0.492,2.2,8.958E-01,9.798,0.133,8.2,1.253E+00,7.768,null,null,6.404E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55307.199745,null,null,null,null,null,null,null
19,1.024091,21.320929,1.3537667300E+02,3.4629829000E+01,135.3767987,34.6300940,0.6704,0.7305,0.1475,16.606,null,0.8,6.485E-01,14.726,0.258,4.2,9.698E-01,9.590,0.106,10.3,1.094E+00,7.166,0.276,3.9,1.615E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55307.332049,null,null,null,null,null,null,null
20,0.415896,-43.643928,1.3624014400E+02,3.3754634000E+01,136.2400481,33.7547176,1.0920,1.1856,0.2556,16.899,null,null,8.047E-01,14.917,0.419,2.6,1.205E+00,10.272,0.213,5.1,5.819E-01,7.084,0.262,4.1,8.236E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55307.927354,null,null,null,null,null,null,null
48,4.093661,-125.776796,1.5364091200E+02,1.2995481000E+01,153.6399652,12.9948162,2.3229,2.6208,0.4093,17.057,null,null,1.596E+00,15.128,null,1.0,2.101E+00,11.111,0.439,2.5,9.078E-01,7.389,null,1.1,1.045E+00,1,0,0.000,0.000,0.000,0.000,0000,UUCU,0,55332.666198,null,null,null,null,null,null,null
