cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
15,0.489020,-124.071232,6.3837438000E+01,-4.6710349000E+01,63.8372739,-46.7104251,1.0098,1.0600,-0.2603,17.212,null,null,9.401E-01,14.976,0.352,3.1,8.626E-01,10.082,0.142,7.6,1.263E+00,7.500,null,1.0,1.091E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55410.898353,null,null,null,null,null,null,null
16,0.938584,174.459948,6.3702110000E+01,-4.6698517000E+01,63.7021467,-46.6987765,1.2513,1.4097,-0.4682,16.192,null,1.9,7.155E-01,15.109,null,1.6,9.981E-01,10.301,0.183,5.9,6.691E-01,7.537,null,0.9,9.239E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55410.964441,null,null,null,null,null,null,null
17,0.989858,-156.159863,6.2473712000E+01,-4.6583539000E+01,62.4735503,-46.5837905,0.9264,0.9770,-0.3485,16.963,null,0.4,9.066E-01,14.796,0.250,4.3,1.370E+00,10.068,0.148,7.3,1.018E+00,7.641,0.406,2.7,1.860E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55411.559744,null,null,null,null,null,null,null
18,0.655832,-151.042630,6.2336347000E+01,-4.6569963000E+01,62.3362187,-46.5701224,0.8710,0.9148,-0.2999,16.608,null,1.2,8.639E-01,15.046,0.309,3.5,7.774E-01,10.022,0.130,8.3,9.160E-01,7.468,0.321,3.4,1.705E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55411.625833,null,null,null,null,null,null,null
19,1.088583,64.348842,6.2198469000E+01,-4.6556032000E+01,62.1988654,-46.5559011,0.9571,1.0827,-0.3693,16.932,null,0.3,7.522E-01,15.385,0.393,2.8,5.431E-01,9.949,0.131,8.3,1.688E+00,7.687,null,0.6,1.296E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55411.692048,null,null,null,null,null,null,null
20,0.311397,15.875124,6.2060702000E+01,-4.6542099000E+01,62.0607364,-46.5420158,1.0562,1.1629,-0.3232,16.981,null,0.5,7.636E-01,15.428,0.385,2.8,7.947E-01,10.066,0.149,7.3,9.204E-01,7.831,0.467,2.3,7.123E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55411.758136,null,null,null,null,null,null,null
21,0.444189,-176.099320,6.1922730000E+01,-4.6527985000E+01,61.9227178,-46.5281081,0.8797,1.0097,-0.1531,17.153,null,null,1.740E+00,15.306,0.362,3.0,6.610E-01,9.864,0.119,9.2,3.554E-01,7.381,null,1.4,1.047E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55411.824225,null,null,null,null,null,null,null
22,0.510340,113.048173,6.1922418000E+01,-4.6527807000E+01,61.9226076,-46.5278625,0.9020,0.9121,-0.2584,16.431,null,2.0,1.325E+00,15.044,0.292,3.7,7.771E-01,9.909,0.126,8.6,1.800E+00,7.161,null,1.3,7.775E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55411.824352,null,null,null,null,null,null,null
23,1.003409,130.820643,6.1784249000E+01,-4.6513515000E+01,61.7845555,-46.5136972,0.8560,1.0001,-0.2958,17.012,null,0.3,9.093E-01,15.050,0.305,3.6,7.389E-01,9.881,0.132,8.2,9.690E-01,7.732,0.461,2.4,6.838E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55411.890440,null,null,null,null,null,null,null
24,0.526565,42.057549,6.1506996000E+01,-4.6484211000E+01,61.5071383,-46.4841024,0.8722,0.8642,-0.1449,16.369,null,2.0,1.192E+00,14.798,0.226,4.8,1.156E+00,9.987,0.131,8.3,1.541E+00,7.469,null,1.0,1.075E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55412.022744,null,null,null,null,null,null,null
