mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55245.911121	12.028	11.698	9.301	7.243	AAAB	0	2010-02-18 21:52:00.854
55246.043425	15.737	13.63	8.709	7.684	BAAC	0	2010-02-19 01:02:31.920
55246.175729	17.101	13.786	8.707	6.902	UBAB	0	2010-02-19 04:13:02.986
55246.241945	16.944	13.703	8.598	7.226	UAAB	0	2010-02-19 05:48:24.048
55246.308033	17.06	13.886	8.721	6.834	UBAB	0	2010-02-19 07:23:34.051
55246.374249	16.674	14.143	8.585	6.994	UBAB	0	2010-02-19 08:58:55.114
55246.440337	16.595	13.714	8.767	7.258	BBAB	0	2010-02-19 10:34:05.117
55246.506553	16.929	13.693	8.745	6.771	UAAB	0	2010-02-19 12:09:26.179
55246.572642	16.342	13.452	8.676	6.884	UAAB	0	2010-02-19 13:44:36.269
55246.638857	16.382	13.749	8.729	7.346	UAAB	0	2010-02-19 15:19:57.245
55246.705073	16.94	13.763	8.73	6.84	UAAB	0	2010-02-19 16:55:18.307
55246.771161	17.078	13.866	8.684	7.333	UBAC	0	2010-02-19 18:30:28.310
55246.903466	16.994	13.855	8.732	7.14	UBAB	0	2010-02-19 21:40:59.462
55247.03577	15.603	13.476	8.731	6.806	BAAB	0	2010-02-20 00:51:30.528
55408.933151	16.386	15.524	10.551	7.748	UUUU	0	2010-07-31 22:23:44.246
55409.925366	12.461	15.402	11.238	7.487	AUUU	0	2010-08-01 22:12:31.622
