mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55285.762266	16.857	13.461	8.237	6.578	CAAB	1	2010-03-30 18:17:39.782
55285.89457	16.952	13.927	8.524	6.486	UBAB	1	2010-03-30 21:28:10.848
55286.026874	16.47	13.377	8.259	6.641	UAAB	1	2010-03-31 00:38:41.914
55286.159178	17.074	13.555	8.431	6.773	UAAB	1	2010-03-31 03:49:12.979
55286.159306	16.961	13.886	8.28	6.555	CBAB	1	2010-03-31 03:49:24.038
55286.225394	16.657	13.376	8.171	6.431	CAAB	1	2010-03-31 05:24:34.042
55286.29161	15.79	13.386	8.237	6.648	UAAB	1	2010-03-31 06:59:55.104
55286.357698	17.032	13.582	8.523	7.103	UAAB	1	2010-03-31 08:35:05.107
55286.423914	16.737	13.719	8.307	6.272	UAAB	1	2010-03-31 10:10:26.170
55286.490002	16.839	13.466	8.189	6.362	CAAB	1	2010-03-31 11:45:36.173
55286.622306	16.486	13.868	8.501	7.446	UBAC	1	2010-03-31 14:56:07.238
55286.622433	16.645	13.904	8.458	6.716	UBAB	1	2010-03-31 14:56:18.211
55286.754737	16.717	13.353	8.155	6.062	UAAB	1	2010-03-31 18:06:49.277
55286.887041	12.852	12.644	8.87	6.589	AAAB	1	2010-03-31 21:17:20.342
55328.437826	14.244	10.856	5.301	3.398	AAAA	0	2010-05-12 10:30:28.166
55328.57013	14.83	11.283	5.437	3.494	AAAA	0	2010-05-12 13:40:59.232
55328.636346	14.805	10.928	5.266	3.254	AAAA	0	2010-05-12 15:16:20.294
