mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55315.543323	14.232	11.272	6.491	4.765	AAAA	0	2010-04-29 13:02:23.107
55315.609539	14.017	11.115			AAXX	0	2010-04-29 14:37:44.170
55372.38281	16.515	14.896	9.895	7.538	CBBU	1	2010-06-25 09:11:14.784
55372.515113	17.05	14.705	10.836	7.627	UBBU	1	2010-06-25 12:21:45.763
55372.647417	17.034	15.256	9.782	7.858	UCBU	1	2010-06-25 15:32:16.829
55372.779721	16.627	14.536	9.958	7.43	UBBU	1	2010-06-25 18:42:47.894
55372.845809	12.657	12.649	11.273	7.517	AACU	1	2010-06-25 20:17:57.898
55372.978113	16.179	15.017	10.884	7.43	BBBU	1	2010-06-25 23:28:28.963
55373.044328	16.717	15.095	10.211	7.749	CUBC	1	2010-06-26 01:03:49.939
55373.110417	16.542	14.553	10.221	7.648	UBBC	1	2010-06-26 02:39:00.029
55373.176632	17.067	15.222	10.594	7.571	UBBU	1	2010-06-26 04:14:21.005
55373.375024	16.722	15.278	10.327	7.427	UUBU	1	2010-06-26 09:00:02.074
55373.507328	16.232	15.792	10.181	7.345	UCBU	1	2010-06-26 12:10:33.139
55373.639631	16.69	15.202	10.416	7.688	UUBU	1	2010-06-26 15:21:04.118
