mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55328.110949	15.794	12.753	7.661	5.825	BAAA	1	2010-05-12 02:39:45.994
55328.243253	16.199	12.886	7.633	5.899	BAAA	1	2010-05-12 05:50:17.059
55328.375558	16.067	12.765	7.69	6.15	BAAA	1	2010-05-12 09:00:48.211
55328.441646	16.613	12.743	7.579	5.866	CAAA	1	2010-05-12 10:35:58.214
55328.507862	15.821	12.683	7.653	5.984	BAAA	1	2010-05-12 12:11:19.277
55328.57395	    16.188	12.763			BAXX	1	2010-05-12 13:46:29.280
55328.640166	16.356	12.699	7.584	5.965	BAAA	1	2010-05-12 15:21:50.342
55328.706254	16.093	12.741	7.668	6.014	BAAA	1	2010-05-12 16:57:00.346
55328.838558	15.583	12.722	7.579	5.887	BAAA	1	2010-05-12 20:07:31.411
55364.594842	17.192	14.861	9.616	7.214	UBAB	0	2010-06-17 14:16:34.349
55364.661057	16.291	14.798	9.597	7.109	UBAB	0	2010-06-17 15:51:55.325
55364.727145	16.781	15.113	9.359	7.378	UBAB	0	2010-06-17 17:27:05.328
55364.793361	16.87	15.223	9.644	7.057	UUAB	1	2010-06-17 19:02:26.390
55364.859449	17.055	15.626	9.425	7.258	UCAB	0	2010-06-17 20:37:36.394
55364.925665	17.196	15.065	9.607	7.195	UUAB	1	2010-06-17 22:12:57.456
55364.991753	16.225	14.765	10.095	7.102	BBUB	1	2010-06-17 23:48:07.459
55365.256361	17.165	15.121	9.412	7.565	UUAC	1	2010-06-18 06:09:09.590
55365.322449	16.858	14.508	9.601	7.523	UBAB	1	2010-06-18 07:44:19.594
55365.587056	16.911	15.386	9.638	7.015	UCAB	1	2010-06-18 14:05:21.638
