mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55331.475845	16.549	14.513	9.21	6.575	UBAB	0	2010-05-15 11:25:13.008
55331.608021	16.575	14.651	9.251	7.609	CBAU	0	2010-05-15 14:35:33.014
55331.740325	16.987	14.521	9.283	7.188	UBAU	0	2010-05-15 17:46:04.080
55331.872502	16.464	14.788	9.283	7.558	UBAC	0	2010-05-15 20:56:24.173
55332.004806	17.088	15.273	9.103	7.692	UCAC	0	2010-05-16 00:06:55.238
55332.13711	16.544	14.894	9.359	7.422	UBAC	0	2010-05-16 03:17:26.304
55332.269287	16.35	15.338	9.351	7.092	UCAB	0	2010-05-16 06:27:46.397
55332.335375	17.038	15.075	9.196	7.15	UBAB	0	2010-05-16 08:02:56.400
55332.335502	17.041	14.709	9.33	7.183	UBAB	0	2010-05-16 08:03:07.373
55332.401591	16.649	14.974	9.228	7.046	UBAB	0	2010-05-16 09:38:17.462
55332.467679	16.607	14.95	9.251	7.026	UBAB	0	2010-05-16 11:13:27.466
55332.533767	16.817	14.565	9.265	7.219	UBAU	0	2010-05-16 12:48:37.469
55332.533895	17.058	14.755	9.209	7.105	UBAU	0	2010-05-16 12:48:48.528
55332.599983	16.834	14.645	9.173	7.79	UBAC	0	2010-05-16 14:23:58.531
55332.666071	16.975	15.183	9.205	7.024	UCAB	0	2010-05-16 15:59:08.534
55332.732159	17.096	14.615	9.571	7.202	UBBB	0	2010-05-16 17:34:18.538
55332.798375	16.615	14.676	9.272	7.241	UBAB	0	2010-05-16 19:09:39.600
55332.864463	16.749	14.749	9.192	7.65	CBAC	0	2010-05-16 20:44:49.603
55332.996767	17.105	14.874	9.202	7.286	UBAB	0	2010-05-16 23:55:20.669
55333.128944	16.591	15.171	9.356	7.068	BCAB	0	2010-05-17 03:05:40.762
55333.261248	16.708	15.17	9.436	6.962	UCAB	0	2010-05-17 06:16:11.827
55333.393425	16.869	14.733	9.071	7.747	UBAC	0	2010-05-17 09:26:31.920
55333.525729	16.658	15.022	9.355	7.697	UUAU	0	2010-05-17 12:37:02.986
55333.658033	17.066	15.133	9.511	7.613	UBAC	0	2010-05-17 15:47:34.051
55333.790209	16.78	15.391	9.265	7.092	UCAB	0	2010-05-17 18:57:54.058
55380.352865	17.022	15.553	10.647	7.724	UUBU	1	2010-07-03 08:28:07.536
55380.485168	17.061	15.731	10.552	7.672	UUBU	1	2010-07-03 11:38:38.515
55381.014256	16.469	15.207	11.231	7.728	BUCU	0	2010-07-04 00:20:31.718
55381.411167	15.733	14.804	10.337	7.934	BBBC	1	2010-07-04 09:52:04.829
55381.609559	16.936	15.762	10.267	7.77	UUBU	1	2010-07-04 14:37:45.898
