mjd	w1mpro	w2mpro	w3mpro	w4mpro	ph_qual	sso_flg	date
55341.57704	16.938	15.699	10.464	7.738	UUBU	1	2010-05-25 13:50:56.256
55341.643255	17.077	15.072	10.626	7.329	UUBU	1	2010-05-25 15:26:17.232
55341.709343	16.94	14.996	10.324	7.692	UUBU	1	2010-05-25 17:01:27.235
55341.775559	16.09	15.296	10.523	7.287	UUBU	1	2010-05-25 18:36:48.298
55342.040167	16.388	15.545	10.367	7.331	UCBB	1	2010-05-26 00:57:50.429
55342.238559	17.244	15.863	10.461	7.925	UUBU	1	2010-05-26 05:43:31.498
55342.304775	17.144	15.549	10.609	7.927	UUBU	1	2010-05-26 07:18:52.560
55342.569383	17.072	15.808	10.557	7.596	UUBU	1	2010-05-26 13:39:54.691
55342.635471	17.148	15.674	10.208	7.142	UUBU	1	2010-05-26 15:15:04.694
55342.635598	17.158	15.886	10.191	7.956	UUBU	1	2010-05-26 15:15:15.667
55342.701686	17.017	15.3	10.14	7.963	UCBU	1	2010-05-26 16:50:25.670
55342.767775	17.077	15.369	10.511	7.725	UCBU	1	2010-05-26 18:25:35.760
55342.767902	16.839	15.807	10.751	7.087	CUBU	1	2010-05-26 18:25:46.733
55342.83399	16.337	15.432	10.399	7.579	UCBU	1	2010-05-26 20:00:56.736
55342.900206	16.817	15.177	10.9	7.968	CUBU	1	2010-05-26 21:36:17.798
55342.966294	17.23	15.078	10.448	7.823	UUBU	1	2010-05-26 23:11:27.802
55343.03251	17.17	15.327	10.42	7.887	UCBC	1	2010-05-27 00:46:48.864
55343.230902	17.055	15.843	10.715	7.827	UUBC	1	2010-05-27 05:32:29.933
55413.823939	16.502	15.142	9.275	7.436	UBAB	1	2010-08-05 19:46:28.330
55413.824066	16.451	15.488	9.356	7.567	BCAC	1	2010-08-05 19:46:39.302
55413.95637	15.945	14.882	9.443	7.103	BBAB	1	2010-08-05 22:57:10.368
55414.088674	16.644	14.96	9.396	7.211	UBAU	1	2010-08-06 02:07:41.434
55414.220978	17.065	15.655	9.615	7.089	UUAB	1	2010-08-06 05:18:12.499
55414.287193	15.839	15.355	9.353	7.181	BCAU	1	2010-08-06 06:53:33.475
55414.353281	16.975	15.025	9.472	7.23	UUAB	1	2010-08-06 08:28:43.478
55414.419497	16.372	14.729	9.349	7.118	CBAB	1	2010-08-06 10:04:04.541
