cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,2.493486,47.346594,2.6399821700E+02,5.2698204000E+01,263.9990576,52.6986733,1.1488,1.3362,0.1707,16.719,null,0.8,4.997E-01,15.034,null,1.8,6.676E-01,10.322,0.165,6.6,8.959E-01,7.395,null,1.5,1.136E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.456067,null,null,null,null,null,null,null
2,2.723128,80.725689,2.6399820500E+02,5.2698742000E+01,263.9994369,52.6988639,0.8268,0.8866,0.1172,17.235,null,null,1.325E+00,15.479,null,0.2,1.336E+00,10.173,0.145,7.5,1.219E+00,6.827,0.188,5.8,6.881E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBB,0,55258.456195,null,null,null,null,null,null,null
3,3.413704,84.395318,2.6386200400E+02,5.2718949000E+01,263.8635620,52.7190416,1.0562,1.2717,0.3580,17.140,null,null,2.018E+00,15.710,null,null,9.321E-01,10.093,0.145,7.5,1.697E+00,7.735,null,0.4,7.265E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.522283,null,null,null,null,null,null,null
4,3.056281,52.662565,2.6372488200E+02,5.2739663000E+01,263.7259969,52.7401779,1.0032,1.1093,0.1795,17.179,null,null,7.183E-01,15.445,0.422,2.6,7.454E-01,10.078,0.143,7.6,1.147E+00,7.535,null,null,9.149E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55258.588499,null,null,null,null,null,null,null
5,3.330011,38.679862,2.6358686600E+02,5.2759801000E+01,263.5878213,52.7605231,0.9456,1.1158,0.2977,17.212,null,null,1.395E+00,14.779,0.273,4.0,1.493E+00,10.068,0.151,7.2,7.341E-01,7.727,0.445,2.4,5.962E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBC,0,55258.654587,null,null,null,null,null,null,null
7,2.460158,60.760429,2.6330804200E+02,5.2800502000E+01,263.3090283,52.8008358,0.7736,0.9197,0.2856,16.938,null,null,8.745E-01,15.356,0.356,3.0,1.268E+00,9.833,0.123,8.9,8.369E-01,7.363,0.313,3.5,6.709E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,0,55258.786891,null,null,null,null,null,null,null
9,2.369790,81.921703,2.6316721000E+02,5.2821063000E+01,263.1682885,52.8211555,0.9335,1.0464,0.2215,17.065,null,null,6.789E-01,15.245,null,1.0,7.121E-01,9.949,0.132,8.2,9.315E-01,7.206,null,2.0,1.008E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.853107,null,null,null,null,null,null,null
10,3.202496,70.256612,2.6302542300E+02,5.2841575000E+01,263.0268092,52.8418755,1.2551,1.3977,-0.3222,17.160,null,null,2.072E+00,15.057,null,1.7,1.021E+00,10.180,0.164,6.6,1.283E+00,7.911,null,null,9.349E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.919323,null,null,null,null,null,null,null
15,1.764585,5.128972,1.5049073600E+02,-3.6625656000E+01,150.4907906,-36.6251678,0.0852,0.0779,0.0101,10.886,0.021,50.8,6.665E-01,10.910,0.024,46.1,1.177E+00,10.349,0.197,5.5,7.875E-01,7.936,null,null,1.253E+00,1,0,0.000,0.000,0.000,0.000,0000,AABU,0,55352.304340,716008931,11.264,0.024,11.003,0.022,10.931,0.021
18,4.355964,-124.653009,1.5056699700E+02,-3.6653880000E+01,150.5657563,-36.6545680,1.1837,1.2107,-0.2045,15.977,0.209,5.2,8.110E-01,15.600,null,0.5,6.576E-01,10.975,null,1.3,1.350E+00,7.866,0.520,2.1,1.237E+00,2,0,0.000,0.000,0.000,0.000,0000,BUUC,0,55352.502860,null,null,null,null,null,null,null
20,2.679697,-138.107578,1.5061786700E+02,-3.6672471000E+01,150.6172473,-36.6730251,0.1462,0.1414,0.0281,12.721,0.031,35.6,2.053E+00,12.769,0.057,19.2,1.030E+00,10.799,null,1.8,1.075E+00,7.680,null,0.6,5.123E-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55352.635036,716043029,13.336,0.028,12.863,0.022,12.718,0.030
21,2.304165,-129.776944,1.5061791600E+02,-3.6672631000E+01,150.6173027,-36.6730405,0.1349,0.1437,-0.0329,12.668,0.032,33.9,2.073E+00,12.540,0.045,24.2,1.346E+00,11.475,null,0.1,1.486E+00,7.842,null,null,8.056E-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55352.635163,716043029,13.336,0.028,12.863,0.022,12.718,0.030
22,3.016377,154.159104,1.5064337900E+02,-3.6681927000E+01,150.6438344,-36.6826811,1.6793,1.6797,0.5551,16.245,0.266,4.1,8.655E-01,15.332,null,0.8,6.923E-01,11.509,null,null,6.516E-01,7.952,null,null,1.335E+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,1,55352.701252,716043002,17.212,0.202,16.332,0.208,15.580,0.204
28,2.954071,-116.708081,1.5077107900E+02,-3.6728703000E+01,150.7701644,-36.7290718,0.1671,0.1880,0.0768,13.099,0.039,27.9,5.116E+00,13.101,0.061,17.7,1.422E+00,10.971,null,1.2,1.127E+00,7.478,null,1.1,4.249E-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55353.031947,716047659,15.032,0.076,14.290,0.089,13.811,0.069
