cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.472689,-50.453972,1.0882391800E+02,4.4477476000E+01,108.8237761,44.4775596,0.9519,1.0775,0.1967,16.560,null,1.3,7.741E-01,15.526,null,null,1.490E+00,10.101,0.156,6.9,7.842E-01,7.098,0.287,3.8,9.059E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55285.368665,null,null,null,null,null,null,null
2,1.221162,-15.609993,1.0884410100E+02,4.4465796000E+01,108.8439731,44.4661227,1.0394,1.1278,0.2516,16.909,null,null,5.793E-01,15.420,null,0.4,9.023E-01,10.038,0.155,7.0,9.339E-01,7.312,0.313,3.5,1.201E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55285.500969,null,null,null,null,null,null,null
3,1.811954,41.921520,1.0886438000E+02,4.4454110000E+01,108.8648511,44.4544845,1.0469,1.4014,-0.2777,16.433,null,null,8.697E-01,15.429,null,null,8.991E-01,9.895,0.151,7.2,9.056E-01,7.761,0.494,2.2,7.785E-01,1,0,0.000,0.000,0.000,0.000,D000,UUBC,1,55285.633273,null,null,null,null,null,null,null
4,1.369592,-61.299362,1.0888475400E+02,4.4442417000E+01,108.8842866,44.4425997,1.0435,1.2128,0.2506,17.081,null,null,1.420E+00,15.547,null,null,7.333E-01,10.103,0.161,6.7,1.431E+00,7.254,0.293,3.7,1.230E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55285.765577,null,null,null,null,null,null,null
5,1.193269,169.775597,1.0889498700E+02,4.4436558000E+01,108.8950694,44.4362318,0.9715,1.1021,0.1913,17.043,null,0.0,1.063E+00,15.568,null,0.4,5.744E-01,9.922,0.140,7.8,6.132E-01,7.692,0.445,2.4,9.493E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55285.831792,null,null,null,null,null,null,null
6,1.711640,-17.156054,1.0890522400E+02,4.4430719000E+01,108.9050276,44.4311733,0.8454,1.0749,-0.0545,17.035,null,null,1.137E+00,15.646,0.503,2.2,1.286E+00,9.933,0.139,7.8,6.618E-01,7.112,0.285,3.8,1.287E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55285.897881,null,null,null,null,null,null,null
7,0.465371,-67.052776,1.0890524300E+02,4.4430698000E+01,108.9050763,44.4307484,0.8414,0.9639,0.1712,17.125,null,null,8.165E-01,15.082,null,1.5,1.268E+00,9.942,0.138,7.9,1.028E+00,7.022,0.254,4.3,1.144E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55285.898008,null,null,null,null,null,null,null
8,0.495360,179.970262,1.0891550500E+02,4.4424857000E+01,108.9155051,44.4247194,1.2698,1.4508,0.2887,17.067,null,null,7.252E-01,15.529,null,null,1.670E+00,10.238,0.188,5.8,1.433E+00,7.846,0.508,2.1,1.273E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55285.964097,null,null,null,null,null,null,null
9,1.025025,24.544785,1.0892580800E+02,4.4418994000E+01,108.9259736,44.4192530,0.9804,1.0616,0.1168,17.109,null,null,1.578E+00,15.555,0.497,2.2,1.055E+00,10.122,0.168,6.5,7.749E-01,7.014,0.252,4.3,1.568E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55286.030312,null,null,null,null,null,null,null
10,0.493740,21.734488,1.0893611800E+02,4.4413150000E+01,108.9361891,44.4132774,1.1113,1.3000,0.1795,16.987,null,null,9.835E-01,15.396,null,null,2.899E+00,10.120,0.175,6.2,7.921E-01,7.565,0.408,2.7,1.082E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55286.096401,null,null,null,null,null,null,null
12,0.482102,65.233801,1.0895682600E+02,4.4401438000E+01,108.9569962,44.4014941,0.8611,1.0238,0.1905,16.499,null,0.9,1.506E+00,15.681,null,null,1.210E+00,9.745,0.125,8.7,1.315E+00,7.385,0.350,3.1,7.670E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBB,1,55286.228705,null,null,null,null,null,null,null
13,1.600952,-20.220846,1.0897762800E+02,4.4389719000E+01,108.9774129,44.3901363,0.8170,0.9929,0.2143,16.985,null,0.1,1.489E+00,15.695,null,null,5.472E-01,9.730,0.109,9.9,7.547E-01,7.354,null,1.3,1.267E+00,1,0,0.000,0.000,0.000,0.000,00ll,UUBU,1,55286.361009,null,null,null,null,null,null,null
14,0.981941,-81.673292,1.0899852600E+02,4.4377995000E+01,108.9981484,44.3780345,0.9911,1.2348,0.2242,17.115,null,null,6.473E-01,15.720,null,null,1.542E+00,9.938,0.137,7.9,1.417E+00,7.459,null,1.0,1.009E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55286.493313,null,null,null,null,null,null,null
15,1.857869,-24.741867,1.0899854500E+02,4.4377974000E+01,108.9982428,44.3784427,1.1418,1.3959,0.3305,17.192,null,null,8.904E-01,15.617,null,0.2,5.755E-01,10.170,0.165,6.6,1.402E+00,7.388,null,1.1,1.135E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55286.493440,null,null,null,null,null,null,null
