cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.574996,156.886311,2.0865918600E+02,1.9217900000E-01,208.6592487,0.1920321,0.6142,0.6346,0.2271,16.982,0.524,2.1,7.627E-01,14.937,null,2.0,9.223E-01,9.394,0.089,12.2,7.516E-01,6.975,0.241,4.5,9.382E-01,1,0,0.000,0.000,0.000,0.000,0000,CUAB,1,55391.011146,null,null,null,null,null,null,null
2,0.525107,81.603218,2.0895223500E+02,1.6476300000E-01,208.9523793,0.1647843,0.6510,0.7270,0.2004,17.021,null,null,7.497E-01,15.240,0.423,2.6,5.296E-01,9.378,0.092,11.8,1.613E+00,7.467,0.374,2.9,9.972E-01,2,0,0.000,0.000,0.000,0.000,0000,UCAC,1,55391.143450,null,null,null,null,null,null,null
3,0.356206,112.521928,2.0924368800E+02,1.3744600000E-01,209.2437794,0.1374081,0.6740,0.7590,0.1776,16.186,null,1.6,8.967E-01,14.848,0.269,4.0,7.040E-01,9.444,0.094,11.6,1.316E+00,7.669,0.459,2.4,1.177E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55391.275754,null,null,null,null,null,null,null
4,0.535881,64.450562,2.0953354900E+02,1.1022900000E-01,209.5336833,0.1102932,0.7383,0.8063,0.2322,16.682,null,0.8,7.562E-01,14.864,0.283,3.8,4.737E-01,9.489,0.105,10.4,9.973E-01,7.185,null,1.6,8.519E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55391.408058,null,null,null,null,null,null,null
5,0.314204,100.563213,2.0967773600E+02,9.6744000000E-02,209.6778218,0.0967280,0.7351,0.8459,0.2177,17.068,null,null,6.012E-01,15.078,0.351,3.1,1.836E+00,9.535,0.101,10.7,5.858E-01,7.211,null,1.6,9.160E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55391.474146,null,null,null,null,null,null,null
6,0.292850,-13.797071,2.0982182000E+02,8.3118000000E-02,209.8218006,0.0831970,0.6556,0.7207,0.2198,17.144,null,null,9.428E-01,14.690,0.239,4.5,8.160E-01,9.442,0.097,11.2,1.407E+00,7.614,0.452,2.4,1.223E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55391.540361,null,null,null,null,null,null,null
7,0.706294,-47.912914,2.0996521400E+02,6.9683000000E-02,209.9650684,0.0698145,0.6248,0.7174,0.2147,16.748,0.404,2.7,6.155E-01,15.251,0.382,2.8,1.070E+00,9.460,0.093,11.7,5.069E-01,7.043,0.275,4.0,8.057E-01,1,0,0.000,0.000,0.000,0.000,0000,CCAB,1,55391.606449,null,null,null,null,null,null,null
8,0.930490,64.763470,2.1010850800E+02,5.6106000000E-02,210.1087418,0.0562162,0.7107,0.7971,0.2142,17.153,null,null,5.921E-01,15.248,0.408,2.7,7.240E-01,9.646,0.109,9.9,1.093E+00,7.330,0.377,2.9,2.346E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55391.672665,null,null,null,null,null,null,null
9,0.240036,17.184855,2.1025111300E+02,4.2720000000E-02,210.2511327,0.0427837,0.6506,0.7261,0.2187,16.793,null,0.5,9.471E-01,14.725,0.228,4.8,6.126E-01,9.460,0.097,11.2,1.261E+00,7.105,0.286,3.8,7.885E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55391.738753,null,null,null,null,null,null,null
10,0.780998,2.086884,2.1053543600E+02,1.5857000000E-02,210.5354439,0.0160738,0.8764,0.9794,0.3384,17.025,null,null,1.009E+00,14.878,null,1.8,9.004E-01,9.600,0.116,9.4,9.715E-01,7.236,null,1.6,9.252E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55391.871057,null,null,null,null,null,null,null
11,4.460153,-103.199476,2.1081818500E+02,-1.0902000000E-02,210.8169788,-0.0111849,0.6184,0.6917,0.2716,15.239,0.135,8.0,1.508E+00,14.762,0.259,4.2,1.084E+00,9.920,0.148,7.3,4.338E+00,7.722,null,0.2,1.395E+00,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55392.003361,259522284,15.907,0.075,15.136,0.076,15.189,0.186
