cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,0.276298,-127.197657,5.2834521000E+01,-6.8376484000E+01,52.8343551,-68.3765304,1.8100,1.4901,-0.2508,16.938,null,0.4,7.800E-01,15.699,null,null,9.645E-01,10.464,0.199,5.5,1.078E+00,7.738,null,0.2,4.138E-01,3,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55341.577040,null,null,null,null,null,null,null
3,1.814445,19.972527,5.2891084000E+01,-6.8392953000E+01,52.8915515,-68.3924793,1.6545,1.4209,-0.3186,17.077,null,null,1.159E+00,15.072,null,1.5,1.215E+00,10.626,0.219,4.9,1.135E+00,7.329,null,1.8,1.064E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55341.643255,null,null,null,null,null,null,null
4,0.444510,49.616378,5.2947961000E+01,-6.8409416000E+01,52.9482166,-68.4093360,1.4617,1.2627,-0.3744,16.940,null,null,1.355E+00,14.996,null,1.3,6.513E-01,10.324,0.168,6.5,7.202E-01,7.692,null,0.7,1.342E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55341.709343,null,null,null,null,null,null,null
5,1.218717,-38.673480,5.3004706000E+01,-6.8425905000E+01,53.0041307,-68.4256407,1.4882,1.3146,-0.2866,16.090,null,1.7,9.835E-01,15.296,null,1.2,1.098E+00,10.523,0.204,5.3,6.294E-01,7.287,null,1.9,1.302E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55341.775559,null,null,null,null,null,null,null
9,1.184122,-81.767663,5.3233102000E+01,-6.8491928000E+01,53.2322141,-68.4918809,1.1586,1.0274,-0.1340,16.388,null,1.1,1.070E+00,15.545,0.437,2.5,1.143E+00,10.367,0.185,5.9,6.783E-01,7.331,0.287,3.8,1.387E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55342.040167,null,null,null,null,null,null,null
10,1.416048,140.956891,5.3405522000E+01,-6.8541543000E+01,53.4061993,-68.5418485,1.9179,1.5733,-0.5679,17.244,null,null,1.262E+00,15.863,null,null,7.803E-01,10.461,0.206,5.3,6.773E-01,7.925,null,0.0,9.736E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.238559,null,null,null,null,null,null,null
11,1.008064,-16.847164,5.3463036000E+01,-6.8558112000E+01,53.4628140,-68.5578440,1.8562,1.6634,-0.3164,17.144,null,null,2.191E+00,15.549,null,0.4,1.495E+00,10.609,0.225,4.8,7.745E-01,7.927,null,0.2,1.367E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.304775,null,null,null,null,null,null,null
13,1.230784,-47.857022,5.3694545000E+01,-6.8624462000E+01,53.6938495,-68.6242326,1.9316,1.6922,-0.5487,17.072,null,null,7.028E-01,15.808,null,null,6.258E-01,10.557,0.225,4.8,1.027E+00,7.596,null,0.8,1.866E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.569383,null,null,null,null,null,null,null
14,1.661716,-29.662634,5.3752784000E+01,-6.8641068000E+01,53.7521568,-68.6406669,1.3585,1.2239,-0.4535,17.148,null,null,1.716E+00,15.674,null,0.5,8.631E-01,10.208,0.159,6.8,1.168E+00,7.142,null,1.5,7.272E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.635471,null,null,null,null,null,null,null
15,1.485888,175.201582,5.3752559000E+01,-6.8641083000E+01,53.7526538,-68.6414943,1.3209,1.2327,0.1693,17.158,null,null,1.290E+00,15.886,null,null,6.142E-01,10.191,0.156,7.0,1.412E+00,7.956,null,null,1.284E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55342.635598,null,null,null,null,null,null,null
