cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,1.937587,-68.094265,7.3568332000E+01,-2.6002873000E+01,73.5677764,-26.0026722,1.7691,1.9326,0.2276,17.141,null,null,6.798E-01,15.767,null,null,1.373E+00,10.735,0.258,4.2,6.903E-01,7.511,null,1.2,9.194E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55246.716916,null,null,null,null,null,null,null
3,2.937233,-152.804223,7.3581588000E+01,-2.5948189000E+01,73.5811733,-25.9489147,1.7108,1.9072,0.4514,17.039,null,null,5.920E-01,15.635,null,null,1.844E+00,11.190,0.400,2.7,7.245E-01,7.381,0.434,2.5,1.229E+00,1,0,0.000,0.000,0.000,0.000,0000,UUCC,0,55246.849347,null,null,null,null,null,null,null
5,2.599217,-66.793933,7.3608653000E+01,-2.5838683000E+01,73.6079157,-25.8383985,1.9678,2.3163,-0.4335,17.124,null,0.0,5.351E-01,15.245,null,1.2,1.388E+00,10.816,0.292,3.7,1.365E+00,7.988,null,null,1.097E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55247.113955,null,null,null,null,null,null,null
6,2.377643,-174.485694,7.3615552000E+01,-2.5811253000E+01,73.6154815,-25.8119104,1.3808,1.6873,-0.3909,16.708,null,1.2,9.224E-01,15.749,null,null,9.240E-01,10.542,0.210,5.2,1.152E+00,7.872,null,0.2,8.390E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55247.180171,null,null,null,null,null,null,null
11,2.579201,2.782642,7.3643624000E+01,-2.5701406000E+01,73.6436626,-25.7006904,2.0098,2.0105,-0.5040,17.066,0.512,2.1,3.530E-01,15.850,null,null,7.249E-01,10.808,0.287,3.8,2.008E+00,7.646,null,0.4,1.083E+00,1,0,0.000,0.000,0.000,0.000,0000,CUBU,0,55247.444907,null,null,null,null,null,null,null
12,3.639571,-84.733589,7.3650749000E+01,-2.5673926000E+01,73.6496320,-25.6738332,2.0763,2.4990,0.1655,17.108,null,null,6.495E-01,15.124,null,1.6,1.080E+00,10.831,0.294,3.7,1.066E+00,7.982,null,null,1.372E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55247.510995,null,null,null,null,null,null,null
15,3.667625,-12.791714,7.3672461000E+01,-2.5591337000E+01,73.6722109,-25.5903435,1.2598,1.4713,-0.2763,16.717,null,0.6,8.692E-01,15.233,0.357,3.0,1.201E+00,10.416,0.196,5.5,1.174E+00,7.740,null,null,7.651E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55247.709515,null,null,null,null,null,null,null
20,1.058860,-54.284634,7.3732508000E+01,-2.5370434000E+01,73.7322437,-25.3702623,1.4895,1.7219,-0.4159,16.769,null,0.8,1.035E+00,15.153,0.366,3.0,1.035E+00,10.703,0.255,4.3,1.052E+00,7.677,null,0.8,8.918E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55248.238859,null,null,null,null,null,null,null
21,0.334107,-54.038890,7.3748003000E+01,-2.5315064000E+01,73.7479199,-25.3150095,1.5386,1.7152,-0.5097,17.126,null,0.1,1.188E+00,15.282,null,1.4,1.874E+00,10.610,0.221,4.9,8.951E-01,7.387,null,1.7,3.849E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55248.371163,null,null,null,null,null,null,null
22,2.704981,127.220647,7.3748025000E+01,-2.5315036000E+01,73.7486869,-25.3154905,1.2902,1.4138,-0.2383,16.825,null,0.7,1.050E+00,15.579,0.454,2.4,7.987E-01,10.735,0.242,4.5,1.122E+00,7.512,0.364,3.0,9.919E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBC,0,55248.371290,null,null,null,null,null,null,null
23,1.806428,-66.573117,7.3763715000E+01,-2.5259605000E+01,73.7632059,-25.2594055,1.4225,1.5815,-0.3409,16.764,null,0.8,5.429E-01,15.236,null,1.6,7.395E-01,10.785,0.261,4.2,7.951E-01,7.582,0.372,2.9,1.223E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,0,55248.503594,null,null,null,null,null,null,null
25,0.468721,171.895428,7.3940236000E+01,-2.4673949000E+01,73.9402562,-24.6740779,0.1388,0.1472,-0.0436,17.110,null,null,2.122E+02,15.617,null,null,4.331E+01,10.830,0.309,3.5,1.496E+00,7.512,null,0.5,9.194E-01,1,0,0.000,0.000,0.000,0.000,DD00,UUBU,0,55249.893106,null,null,null,null,null,null,null
26,0.552675,-150.638533,7.3958153000E+01,-2.4617846000E+01,73.9580702,-24.6179798,1.7554,2.0159,-0.1257,17.155,null,null,4.160E-01,15.486,null,0.5,7.391E-01,10.534,0.233,4.7,1.287E+00,7.845,null,null,1.088E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55250.025410,null,null,null,null,null,null,null
28,0.165382,-67.338348,7.3985399000E+01,-2.4533570000E+01,73.9853524,-24.5335523,1.8454,2.0106,-0.1501,17.153,null,null,7.761E-01,15.774,null,null,1.149E+00,10.677,0.255,4.3,1.387E+00,7.439,null,0.9,1.041E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55250.223930,null,null,null,null,null,null,null
