Name	Diam	type	PHA	search?
1991 VA	0.017	Apollo	Near	True
1994 CJ1	0.156	Amor	Potentially	True
1995 CR	0.13	Aten	Potentially	True
1995 HM	0.094	Amor	Near	True
1996 GQ	0.071	Amor	Near	True
1996 VB3	0.102	Apollo	Near	True
1997 UR	0.068	Amor	Near	True
1998 BY7	0.151	Apollo	Potentially	True
1998 KY26	0.024	Apollo	Near	True
1998 WB2	0.113	Apollo	Potentially	True
1999 FN19	0.091	Amor	Near	True
1999 NW2	0.068	Apollo	Near	True
1999 SF10	0.047	Apollo	Near	True
1999 SH10	0.09	Apollo	Near	True
1999 TN13	0.057	Apollo	Near	True
1999 TY2	0.071	Apollo	Near	True
1I/'Oumuamua		?	-1	False
2000 AA6	0.113	Apollo	Near	True
2000 AG6	0.033	Apollo	Near	True
2000 DO8	0.037	Apollo	Near	True
2000 EB14	0.051	Aten	Near	True
2000 HB24	0.048	Aten	Near	True
2000 KA	0.136	Apollo	Potentially	True
2000 LF3	0.142	Apollo	Potentially	True
2000 RE52	0.103	Apollo	Near	True
2000 SL10	0.124	Apollo	Potentially	True
2000 SM10	0.045	Apollo	Near	True
2000 TL1	0.059	Apollo	Near	True
2000 UK11	0.026	Aten	Near	True
2000 UO30	0.041	Apollo	Near	True
2000 WG10	0.062	Apollo	Near	True
2000 WG63	0.068	Amor	Near	True
2000 WH10	0.094	Apollo	Near	True
2000 WJ107	0.054	Apollo	Near	True
2000 WL107	0.038	Amor	Near	True
2000 WM10	0.021	Amor	Near	True
2000 WN148	0.098	Amor	Near	True
2000 WP19	0.086	Aten	Near	True
2000 WQ148	0.086	Apollo	Near	True
2000 WS28	0.057	Apollo	Near	True
2000 YA	0.054	Apollo	Near	True
2001 AV43	0.031	Apollo	Near	True
2001 BF10	0.09	Apollo	Near	True
2001 CP36	0.054	Aten	Near	True
2001 CQ36	0.086	Aten	Near	True
2001 DS8	0.082	Amor	Near	True
2001 EC16	0.103	Apollo	Near	True
2001 GR2	0.142	Apollo	Potentially	True
2001 JV1	0.15	Apollo	Potentially	True
2001 KU66	0.045	Amor	Near	True
2001 SQ3	0.142	Apollo	Potentially	True
2001 UF5	0.098	Apollo	Near	True
2001 WJ4	0.01	Apollo	Near	True
2001 WR5	0.078	Amor	Near	True
2001 WV1	0.094	Apollo	Near	True
2001 XU4	0.054	Apollo	Near	True
2002 AA29	0.027	Aten	Near	True
2002 AH29	0.149	Amor	Near	True
2002 AO11	0.086	Aten	Near	True
2002 BF25	0.097	Apollo	Near	True
2002 CX58	0.103	Apollo	Near	True
2002 EC	0.062	Amor	Near	True
2002 GD10	0.086	Amor	Near	True
2002 JR100	0.041	Aten	Near	True
2002 LY1	0.103	Aten	Near	True
2002 TH68	0.149	Amor	Near	True
2002 TP69	0.124	Amor	Near	True
2002 TZ66	0.02	Aten	Near	True
2002 UK11	0.136	Apollo	Potentially	True
2002 VO85	0.142	Amor	Near	True
2003 EM1	0.037	Aten	Near	True
2003 EZ16	0.09	Amor	Near	True
2003 SR84	0.024	Apollo	Near	True
2003 SS84	0.13	Apollo	Potentially	True
2003 WT153	0.007	Aten	Near	True
2003 XV	0.014	Apollo	Near	True
2004 BB75	0.071	Amor	Near	True
2004 BV18	0.02	Apollo	Near	True
2004 BW18	0.094	Amor	Near	True
2004 EU22	0.054	Apollo	Near	True
2004 FH	0.022	Aten	Near	True
2004 GD	0.054	Apollo	Near	True
2004 GD2	0.041	Amor	Near	True
2004 HC39	0.149	Apollo	Potentially	True
2004 HZ	0.09	Apollo	Near	True
2004 KF17	0.018	Apollo	Near	True
2004 SC56	0.086	Aten	Near	True
2004 SS	0.124	Amor	Potentially	True
2004 TB10	0.156	Apollo	Potentially	True
