cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,1.645756,-55.642145,9.5829799000E+01,-1.7542115000E+01,95.8294032,-17.5418570,1.1694,1.1883,-0.3190,16.426,null,1.3,1.318E+00,15.759,null,null,1.514E+00,10.088,0.142,7.7,1.259E+00,7.833,null,null,1.199E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.491812,null,null,null,null,null,null,null
3,0.608472,-10.101248,9.5838532000E+01,-1.7600991000E+01,95.8385009,-17.6008246,1.4945,1.5873,-0.2120,17.068,null,null,7.003E-01,15.434,null,1.0,1.003E+00,10.443,0.214,5.1,9.606E-01,7.184,null,2.0,8.664E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.624116,null,null,null,null,null,null,null
4,1.005526,-157.959357,9.5847446000E+01,-1.7659726000E+01,95.8473360,-17.6599849,1.6363,1.7597,-0.3262,17.021,null,null,2.689E-01,15.070,null,1.7,8.568E-01,10.670,0.254,4.3,1.241E+00,7.885,0.525,2.1,4.716E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55276.756420,null,null,null,null,null,null,null
6,0.490034,-172.643563,9.5861139000E+01,-1.7747485000E+01,95.8611207,-17.7476200,1.5161,1.6513,0.1670,16.978,null,null,1.820E+00,15.705,null,null,7.699E-01,10.481,0.203,5.3,1.370E+00,7.563,null,1.0,2.018E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55276.954812,null,null,null,null,null,null,null
13,3.223405,-4.913347,9.5889746000E+01,-1.7922210000E+01,95.8896654,-17.9213179,1.4812,1.7584,0.3242,17.089,null,null,9.922E-01,15.519,0.466,2.3,1.360E+00,10.566,0.236,4.6,7.586E-01,7.803,null,null,9.892E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55277.351725,null,null,null,null,null,null,null
17,1.201649,-11.914915,9.5919916000E+01,-1.8095698000E+01,95.9198435,-18.0953714,1.1568,1.3584,-0.2186,16.720,0.427,2.5,1.609E+00,15.477,0.459,2.4,1.154E+00,10.356,0.186,5.8,1.480E+00,7.600,null,1.0,9.882E-01,1,0,0.000,0.000,0.000,0.000,0000,CCBU,1,55277.748637,null,null,null,null,null,null,null
22,0.497213,-52.854187,9.6061742000E+01,-1.8805996000E+01,96.0616257,-18.8059126,1.0576,1.2844,0.3156,16.582,null,1.2,6.902E-01,15.777,null,null,9.046E-01,10.039,0.146,7.5,7.101E-01,7.560,null,1.0,8.158E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.402501,null,null,null,null,null,null,null
23,0.928880,65.841229,9.6061771000E+01,-1.8806147000E+01,96.0620197,-18.8060414,1.6206,1.8020,-0.2463,17.092,null,null,1.097E+00,15.037,null,2.0,7.802E-01,10.569,0.232,4.7,6.127E-01,7.493,null,0.4,7.387E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.402629,null,null,null,null,null,null,null
24,0.588740,-127.829261,9.6074193000E+01,-1.8862119000E+01,96.0740565,-18.8622193,1.8002,2.0312,-0.0678,17.116,null,null,1.310E+00,15.784,null,null,1.126E+00,10.739,0.283,3.8,8.190E-01,7.655,null,null,7.087E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55279.534933,null,null,null,null,null,null,null
27,0.160020,129.044187,9.6093099000E+01,-1.8945778000E+01,96.0931355,-18.9458060,1.1799,1.3952,0.0868,17.115,null,null,9.203E-01,15.379,0.435,2.5,9.570E-01,10.188,0.168,6.5,8.606E-01,7.837,null,0.1,4.446E-01,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55279.733325,null,null,null,null,null,null,null
29,4.786991,124.737816,9.6105903000E+01,-1.9001454000E+01,96.1070587,-19.0022117,0.1553,0.1603,0.0418,12.890,0.040,27.5,1.286E+01,15.742,null,null,1.080E+01,10.913,null,1.4,7.726E-01,7.700,0.427,2.5,6.503E-01,1,0,0.000,0.000,0.000,0.000,0000,AUUC,0,55279.865629,236155723,16.134,0.074,15.712,0.094,15.821,0.261
31,2.173483,-150.524510,9.6118858000E+01,-1.9057009000E+01,96.1185437,-19.0575346,1.5203,1.7305,0.2721,16.461,null,1.4,1.039E+00,15.526,0.507,2.1,8.182E-01,10.610,0.252,4.3,6.645E-01,7.405,null,1.3,7.612E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55279.997933,null,null,null,null,null,null,null
34,0.451917,-157.527451,9.6145217000E+01,-1.9167771000E+01,96.1451662,-19.1678870,1.3772,1.6440,0.4552,17.165,null,null,8.906E-01,15.473,0.415,2.6,1.383E+00,10.772,0.274,4.0,8.710E-01,6.868,null,1.9,8.460E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55280.262541,null,null,null,null,null,null,null
38,0.688089,74.338015,1.5825388100E+02,-6.5286567000E+01,158.2543212,-65.2865154,0.3782,0.3712,0.1302,15.560,0.188,5.8,5.561E+00,14.105,0.168,6.5,8.008E-01,8.835,0.052,21.0,1.202E+00,7.039,0.237,4.6,6.290E-01,2,0,0.000,0.000,0.000,0.000,0000,BBAB,1,55393.643342,null,null,null,null,null,null,null
39,4.397640,-96.369854,1.5854115800E+02,-6.5324418000E+01,158.5382500,-65.3245535,0.1339,0.1366,0.0512,12.494,0.033,33.3,8.514E-01,12.412,0.045,24.1,1.811E+00,9.275,0.069,15.6,1.234E+01,7.554,null,1.0,1.967E+00,1,0,0.000,0.000,0.000,0.000,0000,AAAU,0,55393.709431,787024171,13.006,0.024,12.611,0.022,12.557,0.032
