	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455233.464553029	16.766	0.444	13.986	0.131	9.065	0.069	7.408	0.367
1	2455233.596857029	16.905		14.457	0.203	8.912	0.065	6.98	0.246
2	2455233.729161029	17.008		14.187	0.16	9.249	0.098	7.509	0.462
3	2455233.729289029	16.763		14.395	0.195	9.002	0.069	6.764	0.207
4	2455233.861593029	16.693		14.686	0.235	9.088	0.073	7.197	0.299
5	2455233.993897029	16.336		14.117	0.172	8.903	0.066	7.409	0.378
6	2455234.126201029	16.783		14.566	0.225	9.199	0.082	7.158	0.298
7	2455234.258633029	16.246		14.051	0.179	8.92	0.067	7.192	
8	2455234.324721029	16.842		14.454	0.193	9.124	0.076	7.307	0.334
9	2455234.3909370294	16.761		14.848	0.291	9.072	0.074	7.136	0.287
10	2455234.457025029	16.674	0.44	14.476	0.222	9.277	0.099	7.098	
11	2455234.523241029	16.584		14.581	0.23	9.197	0.078	6.863	0.225
12	2455234.5894570295	16.452	0.393	14.57	0.228	9.053	0.072	7.298	0.336
13	2455234.6555450293	16.985		14.443	0.22	9.039	0.074	7.418	0.404
14	2455234.721761029	16.84	0.477	14.449	0.228	9.059	0.074	6.797	0.206
15	2455234.787977029	16.546		14.27	0.168	9.033	0.069	6.745	0.203
16	2455234.8540650294	16.548		14.315	0.181	9.138	0.083	7.596	0.499
17	2455234.986369029	16.714		14.222	0.162	9.19	0.076	7.188	
18	2455234.986497029	16.515		14.255	0.162	9.032	0.066	6.945	0.234
19	2455235.1188010294	16.373		14.324	0.194	9.059	0.071	6.888	0.232
20	2455235.2511050296	16.796		14.375	0.2	9.291	0.088	7.219	
21	2455235.3834090293	16.108	0.246	13.961	0.135	9.24	0.085	7.085	
22	2455235.5158410296	16.787		14.05	0.156	8.836	0.058	6.845	0.224
23	2455235.6481450293	16.901		14.713	0.284	9.031	0.069	7.677	0.49
24	2455251.396149033	16.259		13.496	0.131	8.458	0.052	6.935	0.368
25	2455251.5284530334	16.605	0.429	14.984		8.408	0.047	7.288	0.387
26	2455251.6607570336	16.638		13.552	0.125	8.362	0.042	6.353	0.142
27	2455251.6608840334	16.508	0.369	14.231	0.23	8.414	0.048	6.483	0.205
28	2455251.7931880336	16.2	0.287	13.56	0.155	8.432	0.052	6.296	0.143
29	2455251.9254920334	16.386		13.166	0.089	8.265	0.039	6.331	0.139
30	2455252.0577960336	16.261	0.295	13.57	0.124	8.252	0.039	6.311	0.154
31	2455252.190100034	16.741	0.433	13.678	0.124	8.328	0.042	6.292	0.127
32	2455252.190228034	16.797		13.442	0.106	8.322	0.039	6.532	0.172
33	2455252.3225320335	15.406	0.168	13.389	0.118	8.199	0.039	6.666	0.224
34	2455252.4548360338	16.11		13.425	0.141	8.321	0.053	6.36	0.176
35	2455252.5871400335	16.186		13.278	0.11	8.218	0.04	6.503	0.187
36	2455252.653356034	16.377	0.373	13.103	0.084	8.32	0.055	6.249	0.177
37	2455252.7194440337	16.318		13.75	0.144	8.161	0.042	5.948	0.099
38	2455252.7195720337	16.359		13.554	0.111	8.203	0.044	6.857	0.238
39	2455252.7856600336	16.602		12.902	0.064	8.116	0.037	6.889	0.253
40	2455252.851876034	17.027		13.475	0.093	8.229	0.039	6.42	0.179
41	2455252.917964034	16.699	0.534	13.202	0.08	8.025	0.035	6.218	0.123
42	2455252.9841800337	16.607		13.626	0.12	8.17	0.038	6.521	0.165
43	2455253.050392034	16.175		13.019	0.068	8.1	0.04	6.317	0.158
44	2455253.1164810336	16.107		13.491	0.098	8.169	0.038	6.378	0.142
45	2455253.182697034	16.453		13.26	0.088	8.139	0.037	6.101	0.128
46	2455253.248785034	16.663	0.425	13.374	0.086	8.181	0.042	6.301	0.131
47	2455253.2489120336	16.433		13.712	0.128	8.169	0.034	5.35	0.085
48	2455253.3150010337	16.452	0.362	13.114	0.076	8.03	0.034	6.197	0.141
49	2455253.447305034	16.676		13.015	0.07	8.095	0.036	6.021	0.114
50	2455253.579736034	16.399		13.107	0.072	8.103	0.036	6.636	0.198
51	2455253.712040034	16.475	0.406	13.147	0.084	8.029	0.034	6.171	0.125
52	2455253.844344034	16.119	0.245	13.179	0.087	8.093	0.035	6.168	0.117
53	2455253.976648034	16.295	0.315	13.189	0.078	8.017	0.032	6.181	0.118
54	2455254.109080034	15.389	0.142	12.971	0.072	7.971	0.032	6.398	0.16
