cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.851322,117.038338,4.9141531000E+01,2.1638240000E+01,49.1417576,21.6381325,0.4144,0.4725,-0.1455,16.766,0.444,2.4,1.338E+00,13.986,0.131,8.3,1.246E+00,9.065,0.069,15.7,1.047E+00,7.408,0.367,3.0,9.199E-01,2,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55232.963787,null,null,null,null,null,null,null
2,0.653437,25.666938,4.9210221000E+01,2.1673226000E+01,49.2103056,21.6733896,0.4463,0.5027,-0.1049,16.905,null,null,5.463E-01,14.457,0.203,5.3,8.709E-01,8.912,0.065,16.7,1.330E+00,6.980,0.246,4.4,6.064E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.096091,null,null,null,null,null,null,null
3,0.746169,122.905466,4.9279432000E+01,2.1708384000E+01,49.2796193,21.7082714,0.6115,0.7125,-0.0136,17.008,null,null,8.516E-01,14.187,0.160,6.8,9.856E-01,9.249,0.098,11.1,8.999E-01,7.509,0.462,2.3,7.735E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55233.228395,null,null,null,null,null,null,null
4,1.125758,99.869425,4.9279517000E+01,2.1708237000E+01,49.2798486,21.7081834,0.4921,0.5104,-0.1172,16.763,null,0.6,8.354E-01,14.395,0.195,5.6,1.186E+00,9.002,0.069,15.8,5.486E-01,6.764,0.207,5.2,2.316E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.228523,null,null,null,null,null,null,null
5,0.894314,96.169964,4.9349249000E+01,2.1743568000E+01,49.3495149,21.7435413,0.5262,0.5629,-0.1096,16.693,null,0.7,5.793E-01,14.686,0.235,4.6,1.059E+00,9.088,0.073,14.9,1.262E+00,7.197,0.299,3.6,1.511E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.360827,null,null,null,null,null,null,null
6,0.460380,66.301177,4.9419505000E+01,2.1779079000E+01,49.4196311,21.7791304,0.4365,0.4969,-0.1074,16.336,null,1.3,4.445E-01,14.117,0.172,6.3,1.321E+00,8.903,0.066,16.4,1.054E+00,7.409,0.378,2.9,1.682E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55233.493131,null,null,null,null,null,null,null
7,0.663633,82.362482,4.9490291000E+01,2.1814769000E+01,49.4904878,21.8147935,0.5551,0.6488,-0.1447,16.783,null,null,9.473E-01,14.566,0.225,4.8,6.340E-01,9.199,0.082,13.3,7.992E-01,7.158,0.298,3.6,8.103E-01,2,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.625435,null,null,null,null,null,null,null
8,1.298219,81.741229,4.9561695000E+01,2.1850484000E+01,49.5620795,21.8505358,0.4654,0.5448,-0.1460,16.246,null,1.9,1.628E+00,14.051,0.179,6.0,1.644E+00,8.920,0.067,16.2,1.292E+00,7.192,null,1.6,8.171E-01,1,0,0.000,0.000,0.000,0.000,Hh00,UBAU,1,55233.757867,null,null,null,null,null,null,null
9,1.483799,120.695311,4.9597511000E+01,2.1868556000E+01,49.5978929,21.8683456,0.5216,0.5647,-0.1100,16.842,null,0.1,1.526E+00,14.454,0.193,5.6,1.355E+00,9.124,0.076,14.2,1.511E+00,7.307,0.334,3.2,7.491E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.823955,null,null,null,null,null,null,null
10,0.433998,93.328711,4.9633549000E+01,2.1886525000E+01,49.6336787,21.8865180,0.5428,0.6052,-0.1858,16.761,null,null,8.035E-01,14.848,0.291,3.7,1.097E+00,9.072,0.074,14.7,1.052E+00,7.136,0.287,3.8,8.413E-01,2,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55233.890171,null,null,null,null,null,null,null
11,0.855218,139.819456,4.9669633000E+01,2.1904686000E+01,49.6697982,21.9045045,0.6788,0.7670,0.1146,16.674,0.440,2.5,6.390E-01,14.476,0.222,4.9,6.266E-01,9.277,0.099,11.0,9.212E-01,7.098,null,2.0,6.577E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55233.956259,null,null,null,null,null,null,null
13,0.552475,49.238146,4.9705940000E+01,2.1922747000E+01,49.7060653,21.9228472,0.5229,0.5979,-0.1272,16.584,null,1.0,6.342E-01,14.581,0.230,4.7,1.153E+00,9.197,0.078,13.8,1.002E+00,6.863,0.225,4.8,1.901E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55234.022475,null,null,null,null,null,null,null
14,1.198216,74.275987,4.9742384000E+01,2.1940852000E+01,49.7427294,21.9409422,0.5137,0.5484,-0.0955,16.452,0.393,2.8,1.297E+00,14.570,0.228,4.8,9.436E-01,9.053,0.072,15.0,9.747E-01,7.298,0.336,3.2,1.088E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAB,1,55234.088691,null,null,null,null,null,null,null
15,1.035302,133.264285,4.9778875000E+01,2.1959149000E+01,49.7791008,21.9589519,0.5223,0.5888,-0.1815,16.985,null,null,1.810E+00,14.443,0.220,4.9,5.558E-01,9.039,0.074,14.6,7.817E-01,7.418,0.404,2.7,1.354E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55234.154779,null,null,null,null,null,null,null
16,0.455248,110.894015,4.9815592000E+01,2.1977343000E+01,49.8157194,21.9772979,0.4796,0.5479,-0.1033,16.840,0.477,2.3,1.391E+00,14.449,0.228,4.8,1.985E+00,9.059,0.074,14.7,1.116E+00,6.797,0.206,5.3,6.888E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAB,1,55234.220995,null,null,null,null,null,null,null
17,0.583099,84.224242,4.9852447000E+01,2.1995581000E+01,49.8526208,21.9955973,0.4262,0.4816,-0.1157,16.546,null,0.9,8.659E-01,14.270,0.168,6.5,1.748E+00,9.033,0.069,15.8,7.366E-01,6.745,0.203,5.3,1.847E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55234.287211,null,null,null,null,null,null,null
18,0.491599,171.921178,4.9889349000E+01,2.2014013000E+01,49.8893697,22.0138778,0.6016,0.6228,-0.1983,16.548,null,1.0,5.853E-01,14.315,0.181,6.0,9.805E-01,9.138,0.083,13.0,1.747E+00,7.596,0.499,2.2,6.613E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55234.353299,null,null,null,null,null,null,null
19,0.982007,112.502605,4.9963657000E+01,2.2050868000E+01,49.9639289,22.0507636,0.5037,0.6086,-0.1127,16.714,null,0.7,1.186E+00,14.222,0.162,6.7,1.430E+00,9.190,0.076,14.2,1.243E+00,7.188,null,1.9,9.815E-01,1,0,0.000,0.000,0.000,0.000,00ll,UBAU,1,55234.485603,null,null,null,null,null,null,null
20,0.942807,121.157364,4.9963748000E+01,2.2050719000E+01,49.9639898,22.0505835,0.4347,0.4994,-0.1405,16.515,null,1.2,1.004E+00,14.255,0.162,6.7,9.741E-01,9.032,0.066,16.5,1.213E+00,6.945,0.234,4.6,1.319E+00,1,0,0.000,0.000,0.000,0.000,00ll,UBAB,1,55234.485731,null,null,null,null,null,null,null
