	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455346.36335103	16.666	0.427	14.961		11.166	0.465	7.584	
1	2455346.4956550295	17.0		15.038		10.774	0.377	7.505	
2	2455347.1571740294	17.069		15.58		10.958	0.443	7.347	
3	2455347.4216540293	16.999		15.216	0.41	9.989	0.167	7.322	
4	2455347.686262029	15.428	0.192	14.937		10.501	0.269	7.331	
5	2455347.6863890295	16.129	0.265	15.192	0.379	11.146		7.724	
6	2455354.0365880276	16.159	0.31	15.395	0.504	11.01		7.883	
7	2455354.168892028	16.58		14.893	0.336	10.727	0.305	7.295	
8	2455354.3011960275	16.925		14.958	0.34	10.919	0.37	7.422	
9	2455354.7643230273	16.955		15.707		10.853	0.385	7.409	0.372
10	2455355.491930027	16.594		15.259		11.044	0.452	7.566	0.471
11	2455355.888842027	15.992	0.235	14.499	0.207	10.907		7.093	
12	2455356.285625027	16.682		15.649		10.443	0.258	7.244	
13	2455356.814841027	16.392		15.628	0.524	10.353	0.231	7.391	0.362
14	2455357.211752027	17.074		15.19		10.418	0.228	7.419	
15	2455367.5308130234	17.096		15.63		10.256	0.201	7.255	
16	2455367.7954200236	16.534		15.294		10.131	0.183	7.338	
17	2455367.9277240233	16.59	0.459	14.708	0.277	10.459	0.241	7.566	
18	2455368.0600280236	15.683	0.168	15.236	0.432	11.302	0.538	7.063	0.26
19	2455368.3246350233	16.792		15.461		10.095	0.185	7.679	
20	2455368.4569390235	16.666		14.532	0.208	10.466	0.253	7.684	
21	2455368.589243023	16.288		15.229	0.374	10.569	0.277	7.587	
22	2455368.853723023	17.012		15.134		9.993	0.166	7.142	
23	2455368.9860270233	16.485		14.949		10.275	0.207	7.889	
24	2455369.118331023	16.577		15.449	0.476	10.223	0.197	7.54	0.398
25	2455369.184546023	16.288		15.346		10.348	0.215	7.38	
26	2455369.250634023	16.512	0.398	15.586		10.564	0.26	7.072	0.26
27	2455369.316850023	15.696	0.19	15.283	0.385	10.975	0.394	7.415	
28	2455369.382938023	17.036		15.385		10.374	0.227	7.742	
29	2455369.449154023	16.923		15.0		10.301	0.224	7.564	0.446
30	2455369.515242023	17.053		14.956		10.565	0.271	7.131	
31	2455369.581458023	17.011		15.674		10.498	0.258	7.657	
32	2455369.647546023	16.685		14.838		10.17	0.184	7.183	0.334
33	2455369.779850023	16.94		15.436		10.819	0.336	7.397	0.437
34	2455369.8459380227	16.324		15.64		10.459	0.248	7.47	
35	2455369.846065023	17.092		15.576	0.51	10.69	0.309	7.719	
36	2455369.912153023	16.273		15.278		10.602	0.268	7.685	
37	2455369.9782410227	16.663		15.328	0.505	10.762	0.338	7.385	
38	2455370.110545023	16.955		15.482	0.474	10.198	0.197	7.22	
39	2455370.2428490226	16.969		14.994		10.444	0.246	7.213	
40	2455370.375153023	16.315		14.783		10.193	0.198	7.507	
41	2455370.6397600225	17.034		15.374	0.468	10.305	0.214	7.757	0.492
42	2455370.7720640227	16.455	0.348	14.791		10.128	0.181	7.538	0.475
43	2455370.9043690227	16.989		14.949		10.585	0.262	7.322	0.33
44	2455371.0366720227	16.96		15.306	0.433	10.195	0.184	7.868	
