	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455243.515341032	16.507		14.468	0.182	9.708	0.109	7.257	
1	2455243.647646032	17.197		14.637	0.21	9.776	0.11	7.355	
2	2455243.7799500315	17.083		14.566	0.217	10.447	0.208	7.264	
3	2455243.9122540317	17.008		15.014		10.073	0.151	7.313	
4	2455244.0446850318	17.181		15.157	0.333	9.741	0.116	7.297	
5	2455244.1769900317	17.102		14.245	0.155	9.291	0.076	7.149	0.32
6	2455244.309294032	17.189		14.623	0.234	9.274	0.08	7.046	
7	2455244.4415980317	16.433		15.706		10.045	0.15	7.331	
8	2455244.5740290317	16.979		15.177		10.232	0.178	7.541	
9	2455244.706334032	17.084		15.318		10.191	0.172	7.73	0.469
10	2455244.838638032	16.488		15.083	0.307	9.858	0.14	7.437	0.337
11	2455244.970942032	17.099	0.521	14.325	0.168	9.583	0.097	7.771	0.463
12	2455245.103374032	16.995	0.462	14.388	0.163	9.648	0.107	7.576	0.408
13	2455245.169462032	16.899	0.435	15.016	0.284	9.701	0.106	7.43	
14	2455245.235678032	17.07	0.535	14.44	0.184	9.634	0.106	7.409	
15	2455245.301766032	16.329		14.665	0.208	9.624	0.102	7.74	0.427
16	2455245.301893032	16.597		14.623	0.205	9.783	0.115	7.269	
17	2455245.3679820322	16.951		15.269	0.372	9.8	0.122	6.94	0.227
18	2455245.434198032	16.618		15.019		10.112	0.15	7.457	0.396
19	2455245.500286032	17.035		15.19	0.377	9.911	0.128	7.844	0.48
20	2455245.5665020323	16.821		15.307	0.384	10.063	0.15	7.6	0.394
21	2455245.632718032	17.186		14.984		10.147	0.159	7.817	0.489
22	2455245.698806032	16.951		14.751	0.245	9.558	0.097	7.74	0.448
23	2455245.765022032	16.71		14.733	0.259	9.502	0.09	7.827	0.485
24	2455245.8311100323	16.392		14.897	0.267	9.308	0.08	7.395	0.329
25	2455245.897326032	15.876		15.155	0.355	10.071	0.145	7.35	0.306
26	2455245.963542032	16.936	0.484	15.178	0.328	10.075	0.155	7.785	0.492
27	2455246.029619032	17.084		14.942		9.789	0.116	7.688	
28	2455246.095834032	16.682	0.346	15.063		10.038	0.145	7.612	0.392
29	2455246.162050032	17.051		15.469	0.482	10.045	0.146	7.488	0.416
30	2455246.2281380324	16.955		14.905		9.947	0.138	7.502	0.361
31	2455246.2943540323	16.339		15.216	0.38	9.919	0.127	7.667	0.454
32	2455246.3604430323	16.949		15.1		10.007	0.15	7.52	0.364
33	2455246.360570032	16.949		15.16	0.318	9.732	0.11	7.574	
34	2455246.4266580325	16.995	0.54	14.289	0.166	9.805	0.117	7.335	
