	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455243.519034032	16.756	0.455	14.927		10.028	0.158	7.214	0.298
1	2455243.6513380315	16.467		15.584	0.521	9.559	0.113	7.542	0.397
2	2455243.6514660316	17.098		15.257		10.057	0.163	7.172	
3	2455243.7837700318	15.459	0.154	14.785	0.246	9.696	0.129	7.162	
4	2455243.8498580316	16.604		14.943		10.021	0.155	7.763	
5	2455243.9160740315	16.815	0.507	15.025		10.341	0.224	7.609	
6	2455243.982162032	16.625		14.949	0.299	9.984	0.16	7.673	
7	2455244.0483780317	17.074		15.399		10.909	0.47	7.158	
8	2455244.114467032	17.067		15.07		10.59	0.263	7.83	
9	2455244.1145940316	17.056		15.278		10.61	0.318	7.382	
