	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455226.421365027	17.128		15.587		9.757	0.115	7.633	0.419
1	2455226.553670027	16.93		15.114		9.631	0.104	7.136	0.249
2	2455226.686101027	17.157		15.633		9.701	0.113	7.348	
3	2455226.818406027	17.084		15.573		10.017	0.152	7.4	
4	2455226.884494027	17.01		15.64		9.924	0.135	7.146	
5	2455226.884621027	16.896		15.527		8.887	0.084	7.332	
6	2455226.950710027	17.069		15.657		9.751	0.142	7.339	
7	2455227.016926027	17.0		14.921		9.858	0.129	7.605	0.398
8	2455227.083014027	16.988		15.743		9.785	0.123	7.483	
9	2455227.0831420273	17.128		15.174		9.804	0.127	7.155	
10	2455227.149230027	16.485		15.181		9.805	0.13	7.768	0.538
11	2455227.215446027	17.122		15.792		9.777	0.123	7.401	0.363
12	2455227.413966027	17.086		15.34	0.415	10.012	0.152	7.188	
13	2455227.5462700273	15.965	0.252	15.582		9.973	0.151	7.127	
14	2455227.6785750273	17.051		15.202		9.97	0.147	7.373	0.336
15	2455227.8110060273	16.979	0.519	14.609	0.261	10.176	0.168	7.287	
16	2455233.567697029	14.243	0.062	13.79	0.14	11.119	0.413	7.493	
17	2455410.35711401	17.082		15.179		9.352	0.081	7.195	0.281
18	2455410.4894180098	16.913		15.033	0.373	9.753	0.121	7.42	0.364
19	2455410.62172201	17.04		15.034		9.598	0.108	7.277	0.341
20	2455410.7540260097	16.99		15.664		9.628	0.109	7.625	0.439
21	2455410.88633001	11.949	0.023	11.961	0.038	9.577	0.103	7.149	
22	2455410.9524180098	16.945		15.185		9.85	0.128	7.545	0.38
23	2455410.95254501	17.025		15.651		9.674	0.108	7.832	0.525
24	2455411.01863301	16.991		15.385		9.648	0.111	7.167	0.273
25	2455411.08472201	16.893		15.636		9.587	0.109	7.343	0.318
26	2455411.0848490098	17.102		15.418		9.738	0.118	7.446	0.389
27	2455411.1509370096	16.895		15.366		9.704	0.114	6.902	0.213
28	2455411.21702501	17.147		15.717		9.65	0.114	7.115	0.257
29	2455411.21715301	17.169		15.676		9.784	0.125	7.174	0.283
30	2455411.3493290097	17.04		15.656		9.64	0.113	7.452	
31	2455411.4155450095	17.014		15.162		9.723	0.111	7.244	0.288
32	2455411.4816340096	16.71		15.17	0.36	9.697	0.114	6.977	0.236
33	2455411.6139370096	17.031		15.587		9.709	0.115	7.615	
34	2455411.74624101	17.071		15.674		9.638	0.107	7.349	0.316
35	2455411.8785450095	17.1		15.613		9.66	0.111	7.386	0.335
36	2455412.0108490097	17.092		15.67		9.599	0.1	7.142	0.26
