	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455238.5876150304	16.787	0.429	14.45	0.191	9.705	0.115	7.402	0.332
1	2455238.7200470306	16.299		14.46	0.209	9.538	0.1	7.268	0.314
2	2455238.8523510303	16.996		13.814	0.122	9.255	0.084	7.829	0.54
3	2455238.9184400304	16.884	0.496	13.877	0.119	9.222	0.076	7.28	0.291
4	2455238.9846550305	16.532	0.341	13.721	0.12	9.287	0.081	7.35	
5	2455239.0508710304	16.668		14.043	0.139	9.173	0.077	7.466	0.363
6	2455239.1169590303	17.11		13.993	0.129	9.394	0.09	7.639	0.421
7	2455239.1831750306	16.878	0.485	13.827	0.134	9.344	0.089	7.471	0.379
8	2455239.3154790304	16.889	0.498	14.222	0.156	9.14	0.076	7.043	
9	2455239.4477840303	16.179	0.255	13.634	0.093	9.195	0.072	7.278	
