	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455241.349194031	17.106		14.386	0.179	9.93	0.122	7.301	
1	2455241.481499031	17.0		15.078	0.309	10.049	0.142	7.633	
2	2455241.746107031	16.906		14.906	0.271	10.002	0.133	7.439	
3	2455241.7462340314	15.969	0.189	14.085	0.125	9.819	0.111	7.277	
4	2455241.812323031	17.144		14.952	0.283	9.82	0.115	7.721	0.404
5	2455242.0769310314	17.129		15.147		10.143	0.152	7.74	
6	2455242.1431470313	16.549		15.369	0.475	10.062	0.154	7.849	
7	2455242.2093620314	16.429	0.301	14.792	0.228	10.13	0.158	7.391	
8	2455242.2754510315	15.468	0.148	14.801	0.24	10.319	0.186	7.79	
9	2455242.3416670314	17.138		14.724	0.239	10.1	0.156	7.931	
10	2455242.4077550313	17.185		15.164		10.225	0.174	7.218	
11	2455242.473971031	16.29	0.266	14.465	0.193	10.06	0.145	7.954	
12	2455242.5400590315	17.13		15.009	0.288	10.018	0.147	7.992	
13	2455242.5401870315	17.074		15.52	0.432	10.272	0.175	7.192	0.327
14	2455242.6062750313	16.833		15.411	0.448	10.164	0.171	7.847	
15	2455242.6724910312	16.984		15.742		10.164	0.167	7.851	
16	2455242.7385790315	16.458		14.822		9.965	0.137	7.656	0.414
17	2455242.8047950314	15.505	0.133	14.725	0.284	10.768		7.711	0.474
18	2455242.8708830313	17.198		15.066	0.309	10.241	0.173	7.399	
19	2455243.0033150315	16.843		14.955	0.25	10.165	0.166	7.898	
20	2455243.1356190317	16.626		14.987		10.17	0.163	7.9	0.516
21	2455243.2679230315	17.157		15.241	0.348	9.944	0.124	7.719	0.423
22	2455327.5470430343	15.895	0.216	15.387	0.414	11.074		7.623	
