	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455246.4118870324	12.028	0.023	11.698	0.035	9.301	0.067	7.243	0.275
1	2455246.544191032	15.737	0.209	13.63	0.091	8.709	0.045	7.684	0.442
2	2455246.6764950324	17.101		13.786	0.118	8.707	0.046	6.902	0.214
3	2455246.7427110323	16.944		13.703	0.103	8.598	0.042	7.226	0.274
4	2455246.8087990326	17.06		13.886	0.114	8.721	0.05	6.834	0.207
5	2455246.8750150325	16.674		14.143	0.163	8.585	0.042	6.994	0.224
6	2455246.9411030323	16.595	0.352	13.714	0.11	8.767	0.045	7.258	0.317
7	2455247.0073190327	16.929		13.693	0.096	8.745	0.046	6.771	0.195
8	2455247.0734080323	16.342		13.452	0.077	8.676	0.044	6.884	0.207
9	2455247.1396230324	16.382		13.749	0.106	8.729	0.047	7.346	0.298
10	2455247.2058390323	16.94		13.763	0.108	8.73	0.047	6.84	0.193
11	2455247.2719270326	17.078		13.866	0.128	8.684	0.047	7.333	0.39
12	2455247.4042320326	16.994		13.855	0.113	8.732	0.047	7.14	0.248
13	2455247.536536033	15.603	0.162	13.476	0.082	8.731	0.046	6.806	0.177
14	2455409.43391701	16.386		15.524		10.551		7.748	
15	2455410.42613201	12.461	0.079	15.402		11.238		7.487	
