	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455258.9568330348	16.719		15.034		10.322	0.165	7.395	
1	2455258.956961035	17.235		15.479		10.173	0.145	6.827	0.188
2	2455259.023049035	17.14		15.71		10.093	0.145	7.735	
3	2455259.089265035	17.179		15.445	0.422	10.078	0.143	7.535	
4	2455259.155353035	17.212		14.779	0.273	10.068	0.151	7.727	0.445
5	2455259.287657035	16.938		15.356	0.356	9.833	0.123	7.363	0.313
6	2455259.353873035	17.065		15.245		9.949	0.132	7.206	
7	2455259.420089035	17.16		15.057		10.18	0.164	7.911	
8	2455352.805106028	10.886	0.021	10.91	0.024	10.349	0.197	7.936	
9	2455353.003626028	15.977	0.209	15.6		10.975		7.866	0.52
10	2455353.135802028	12.721	0.031	12.769	0.057	10.799		7.68	
11	2455353.135929028	12.668	0.032	12.54	0.045	11.475		7.842	
12	2455353.2020180277	16.245	0.266	15.332		11.509		7.952	
13	2455353.5327130277	13.099	0.039	13.101	0.061	10.971		7.478	
14	2455354.061928028	17.128		14.634	0.284	11.501		7.856	
