	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455286.278185038	17.215		15.617	0.533	10.322	0.167	7.471	0.379
1	2455286.4104890376	17.197		15.798		10.522	0.217	7.492	
2	2455286.542793038	17.117		14.741	0.231	10.277	0.181	7.661	
3	2455286.6750970376	17.139		15.461	0.407	10.435	0.204	7.731	0.437
4	2455286.7414410375	16.946		14.995	0.26	10.388	0.179	7.93	
5	2455286.8074020375	16.432	0.343	15.029	0.277	10.489	0.206	7.962	0.542
6	2455286.8737450377	17.048		14.896	0.255	10.902	0.277	7.998	
7	2455286.9397060378	16.896		14.943	0.26	10.65	0.236	7.934	0.524
8	2455286.9398330376	17.197		15.263	0.387	10.697	0.249	7.903	0.533
9	2455287.006049038	16.534		15.417	0.403	10.461	0.208	7.916	
10	2455287.1383530376	16.63				10.672	0.252	7.384	
11	2455287.138480038	16.879		15.091	0.3	10.918	0.316	7.263	
12	2455287.2044410375	17.166		15.048		10.475	0.207	7.683	
13	2455287.2707840377	17.155		15.763		10.151	0.157	7.886	
14	2455287.3367450377	16.566		14.899		10.24	0.165	7.664	0.429
15	2455287.403088038	13.666	0.042	13.488	0.092	10.964	0.331	7.244	
16	2455287.469049038	16.611		15.141		10.696	0.258	7.725	
17	2455287.5353920376	17.03		15.58		10.121	0.152	7.583	
18	2455287.6013530376	17.041		15.343	0.418	10.501	0.203	7.566	0.38
19	2455287.667696038	16.582		15.243	0.33	10.344	0.186	7.412	
20	2455287.8000000375	16.684		14.946		10.9	0.302	7.902	0.519
21	2455287.9323040377	17.205		14.909	0.275	10.559	0.216	7.877	
22	2455288.1970400377	16.726		14.942	0.264	10.628	0.215	7.289	
23	2455386.6562760174	16.373		13.963	0.123	9.287	0.07	7.779	0.449
24	2455386.788580017	17.069		13.615	0.099	9.28	0.074	7.303	0.309
25	2455386.920883017	16.944	0.477	13.871	0.114	9.298	0.077	7.791	0.447
26	2455387.053188017	16.444	0.3	13.926	0.119	9.072	0.066	7.915	0.525
27	2455387.185491017	17.045		14.072	0.136	9.261	0.075	7.02	0.238
28	2455387.2517070174	16.897		14.155	0.137	9.398	0.079	7.496	0.36
29	2455387.3177950173	16.67	0.359	14.178	0.156	9.223	0.078	7.445	0.386
30	2455387.384011017	17.074	0.521	14.339	0.162	9.379	0.079	7.828	0.491
31	2455387.450099017	17.021	0.507	14.242	0.148	9.381	0.084	7.909	0.52
32	2455387.516314017	16.835		14.482	0.185	9.418	0.083	7.254	0.286
33	2455387.6486180173	17.109		14.366	0.173	9.465	0.088	7.746	0.464
34	2455387.714706017	16.516		14.662	0.207	9.509	0.089	7.684	0.42
35	2455387.780922017	16.978	0.488	14.456	0.186	9.634	0.103	7.536	0.43
36	2455387.847010017	17.061		15.337	0.406	9.89	0.125	7.697	0.435
37	2455388.0455290168	16.763		15.073	0.313	9.918	0.131	7.745	0.479
38	2455388.177833017	17.175		15.507	0.464	10.102	0.157	7.311	0.324
39	2455388.3101370167	16.376		15.148		10.358	0.197	7.226	
40	2455388.4424400167	17.12	0.533	15.058	0.276	10.234	0.165	7.227	0.283
