	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455306.179331037	16.481		14.909	0.278	10.092	0.161	7.097	0.268
1	2455306.311508037	17.097		14.861		9.885	0.138	7.595	
2	2455306.443812037	17.064		15.114	0.37	9.731	0.12	7.227	0.312
3	2455306.576116037	16.799		15.124	0.412	9.641	0.113	7.751	0.464
4	2455306.7084200373	16.884		15.312		10.054	0.177	7.084	
5	2455306.774509037	16.631		15.056	0.322	9.655	0.116	7.348	0.309
6	2455306.8407250373	16.312		14.844	0.257	9.718	0.124	7.557	0.43
7	2455306.906813037	17.1		15.196		9.931	0.144	7.563	0.39
8	2455306.973029037	16.542		15.601		9.803	0.127	7.763	0.524
9	2455307.039117037	16.528		15.241	0.407	9.727	0.12	7.23	
10	2455307.105206037	17.019		15.338		9.937	0.153	7.573	
11	2455307.105333037	16.502		15.361		9.895	0.158	7.409	
12	2455307.171421037	16.369		14.299	0.174	9.762	0.128	7.754	0.467
13	2455307.303726037	16.989		15.326		9.859	0.153	7.813	0.533
14	2455307.568207037	16.786		14.924		9.979	0.152	7.558	0.396
15	2455307.568334037	16.538		15.403		9.793	0.133	7.19	0.303
16	2455307.700511037	16.389		15.466	0.492	9.798	0.133	7.768	
17	2455307.832815037	16.606		14.726	0.258	9.59	0.106	7.166	0.276
18	2455308.428120037	16.899		14.917	0.419	10.272	0.213	7.084	0.262
19	2455333.166964033	17.057		15.128		11.111	0.439	7.389	
