	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455319.4708840353	17.003		14.35	0.184	9.026	0.068	6.702	0.186
1	2455319.6031890353	16.875		15.502	0.496	9.269	0.08	6.942	0.229
2	2455319.7354930355	14.827	0.093	14.127	0.175	9.682	0.121	7.351	0.344
3	2455319.8677970353	16.975		15.173		9.121	0.073	6.974	0.235
4	2455320.0001010355	17.052	0.529	15.392	0.418	9.166	0.071	6.895	
5	2455320.0002290355	17.028		15.5	0.486	9.202	0.076	7.212	0.333
6	2455320.0663170354	16.847	0.496	15.373	0.504	9.12	0.07	6.814	0.206
7	2455320.1324060354	17.085		15.159	0.413	9.294	0.082	7.005	0.251
8	2455320.1325330352	16.591		14.773		9.366	0.086	7.592	0.434
9	2455320.1986210356	17.048		15.543	0.519	9.191	0.077	7.084	0.254
10	2455320.2648370354	16.911		15.231		9.332	0.09	6.986	0.289
11	2455320.3309260355	16.772		15.509	0.51	9.23	0.079	6.71	0.187
12	2455320.397141035	16.549		15.342		9.272	0.08	7.024	0.286
13	2455320.4632300353	17.097		15.238		9.195	0.083	7.184	0.31
14	2455320.5955340355	16.935		15.333	0.455	9.31	0.082	6.565	0.165
15	2455320.727838035	16.75		14.829		9.219	0.078	6.826	0.201
16	2455320.8601420354	16.445	0.368	14.882		9.261	0.079	7.114	0.266
17	2455320.9924470354	17.098		15.026		9.092	0.068	7.076	0.248
