	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455263.6325460356	16.749		15.614		10.379	0.227	7.457	
1	2455263.764850036	16.763		15.106		10.679	0.294	7.801	
2	2455359.241134026	17.104		15.088		10.189	0.153	7.136	0.241
3	2455359.373437026	16.531	0.324	15.092	0.326	10.024	0.137	7.202	
4	2455359.5057410263	17.197		15.185	0.337	10.066	0.146	7.297	
5	2455359.571957026	17.081		15.1	0.319	10.156	0.147	7.55	
6	2455359.638045026	16.799		14.677	0.209	10.223	0.166	7.677	0.462
7	2455359.704261026	17.044		15.172		10.291	0.175	7.678	
8	2455359.770349026	16.68		14.964	0.262	9.806	0.117	7.419	0.359
9	2455359.836565026	16.932		15.166		10.207	0.156	7.66	0.401
10	2455359.902653026	17.207		15.606		10.119	0.159	7.401	
11	2455359.968868026	17.215		15.414	0.446	10.081	0.143	7.68	
12	2455360.034956026	16.639		15.211		10.181	0.168	7.603	
13	2455360.101172026	17.259		14.936	0.246				
14	2455360.167260026	16.728		15.719	0.505	10.209	0.164	6.842	0.191
15	2455360.233476026	17.256		15.39	0.407	10.137	0.154	7.323	
16	2455360.3656520257	17.078		15.26		10.006	0.143	7.468	
17	2455360.3657800257	17.086	0.537	15.173	0.336	10.113	0.157	7.606	
18	2455360.497956026	16.682		15.042		10.408	0.193	7.724	
19	2455360.498084026	16.781		15.004	0.263	10.127	0.147	7.252	
