	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455304.0373780373	14.477	0.072	11.376	0.033	6.246	0.015	4.18	0.043
1	2455304.103466037	15.08	0.097	11.872	0.042	6.573	0.014	4.379	0.033
2	2455304.1695550373	14.472	0.068	11.298	0.028	6.225	0.018	4.135	0.03
3	2455304.235643037	14.369	0.063	11.214	0.026	6.136	0.016		
4	2455361.7752800253	16.877	0.504	14.904	0.312	10.008	0.158	7.66	
5	2455361.9075840255	16.99		15.413		10.263	0.203	7.482	0.372
6	2455362.0398880253	16.295		14.667	0.238	10.054	0.178	7.182	
7	2455362.1721920255	16.549		14.534	0.21	10.038	0.171	7.688	0.479
8	2455362.2382800253	17.06		14.663	0.232	9.951	0.153	7.21	
9	2455362.238407025	16.413		14.44	0.199	9.709	0.12	7.609	0.44
10	2455362.3044950254	17.078		15.155	0.353	10.109	0.183	7.578	0.426
11	2455362.370584025	16.399	0.338	14.436	0.213	9.885	0.158	7.207	
12	2455362.436799025	16.504	0.338	14.709	0.251	9.968	0.155	7.655	0.47
13	2455362.502887025	16.973		14.82		10.278	0.2	7.28	
14	2455362.635191025	16.74		15.619		9.989	0.161	7.148	
15	2455362.767495025	17.14		15.045	0.388	9.923	0.158	6.977	0.257
16	2455362.899799025	16.957		14.773	0.279	9.708	0.123	7.607	0.426
