	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455385.590714018	16.757		15.639		10.663	0.311	7.263	
1	2455385.855322018	17.009		15.523		9.416	0.1	7.083	0.275
2	2455385.9876250178	16.951		15.489		9.854	0.137	7.248	0.307
3	2455386.1860180176	16.941		15.169		9.727	0.125	7.216	
4	2455386.2522340175	16.983		15.257		9.697	0.127	6.78	0.219
5	2455386.3845380177	16.715		15.254	0.474	9.611	0.119	6.541	0.178
6	2455386.4506260175	16.775		15.23		10.095	0.182	7.397	
7	2455386.5168420174	16.717		15.193		9.847	0.141	6.829	0.225
8	2455386.5829300173	16.378		15.247	0.477	9.574	0.119	7.333	0.373
9	2455386.7152340175	16.973		15.145		9.472	0.104	7.137	0.331
10	2455386.8475370174	16.671		15.54		10.366	0.229	7.135	
11	2455386.979841017	17.048		15.182		10.272	0.206	7.074	
12	2455387.1121450174	16.597		15.409		9.551	0.107	6.938	0.273
