	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455391.5119120157	16.982	0.524	14.937		9.394	0.089	6.975	0.241
1	2455391.644216016	17.021		15.24	0.423	9.378	0.092	7.467	0.374
2	2455391.7765200157	16.186		14.848	0.269	9.444	0.094	7.669	0.459
3	2455391.908824016	16.682		14.864	0.283	9.489	0.105	7.185	
4	2455391.9749120157	17.068		15.078	0.351	9.535	0.101	7.211	
5	2455392.041127016	17.144		14.69	0.239	9.442	0.097	7.614	0.452
6	2455392.1072150157	16.748	0.404	15.251	0.382	9.46	0.093	7.043	0.275
7	2455392.1734310156	17.153		15.248	0.408	9.646	0.109	7.33	0.377
8	2455392.2395190154	16.793		14.725	0.228	9.46	0.097	7.105	0.286
9	2455392.3718230156	17.025		14.878		9.6	0.116	7.236	
10	2455392.5041270154	15.239	0.135	14.762	0.259	9.92	0.148	7.722	
