	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455342.077806031	16.938		15.699		10.464	0.199	7.738	
1	2455342.144021031	17.077		15.072		10.626	0.219	7.329	
2	2455342.210109031	16.94		14.996		10.324	0.168	7.692	
3	2455342.2763250307	16.09		15.296		10.523	0.204	7.287	
4	2455342.5409330307	16.388		15.545	0.437	10.367	0.185	7.331	0.287
5	2455342.7393250307	17.244		15.863		10.461	0.206	7.925	
6	2455342.8055410306	17.144		15.549		10.609	0.225	7.927	
7	2455343.0701490305	17.072		15.808		10.557	0.225	7.596	
8	2455343.136237031	17.148		15.674		10.208	0.159	7.142	
9	2455343.1363640307	17.158		15.886		10.191	0.156	7.956	
10	2455343.2024520305	17.017		15.3	0.365	10.14	0.158	7.963	
11	2455343.2685410306	17.077		15.369	0.368	10.511	0.212	7.725	
12	2455343.2686680304	16.839	0.459	15.807		10.751	0.261	7.087	
13	2455343.3347560307	16.337		15.432	0.415	10.399	0.192	7.579	
14	2455343.4009720306	16.817	0.409	15.177		10.9	0.294	7.968	
15	2455343.4670600304	17.23		15.078		10.448	0.199	7.823	
16	2455343.5332760303	17.17		15.327	0.389	10.42	0.182	7.887	0.521
17	2455343.7316680304	17.055		15.843		10.715	0.25	7.827	0.493
18	2455414.324705009	16.502		15.142	0.316	9.275	0.079	7.436	0.352
19	2455414.3248320087	16.451	0.299	15.488	0.492	9.356	0.081	7.567	0.436
20	2455414.457136009	15.945	0.21	14.882	0.272	9.443	0.092	7.103	0.297
21	2455414.5894400086	16.644		14.96	0.308	9.396	0.098	7.211	
22	2455414.721744009	17.065		15.655		9.615	0.109	7.089	0.276
23	2455414.787959009	15.839	0.189	15.355	0.449	9.353	0.079	7.181	
24	2455414.854047009	16.975		15.025		9.472	0.099	7.23	0.288
25	2455414.9202630087	16.372	0.387	14.729	0.27	9.349	0.084	7.118	0.261
