cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,0.198914,-143.997674,2.0945360000E+02,-3.7058947000E+01,209.4535593,-37.0589917,0.8037,0.8901,0.2195,17.128,null,null,1.275E+00,15.587,null,null,9.493E-01,9.757,0.115,9.4,1.180E+00,7.633,0.419,2.6,1.882E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55225.920599,null,null,null,null,null,null,null
3,0.522129,88.933369,2.0948580600E+02,-3.7094834000E+01,209.4859878,-37.0948313,0.7118,0.8055,0.2287,16.930,null,0.2,7.073E-01,15.114,null,1.3,1.589E+00,9.631,0.104,10.5,8.100E-01,7.136,0.249,4.4,5.921E-01,1,0,0.000,0.000,0.000,0.000,0000,UUAB,1,55226.052904,null,null,null,null,null,null,null
4,0.591996,56.400703,2.0951798000E+02,-3.7130738000E+01,209.5181518,-37.1306470,0.7832,0.8782,0.2868,17.157,null,null,8.888E-01,15.633,null,null,6.802E+00,9.701,0.113,9.6,1.503E+00,7.348,null,1.4,1.484E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.185335,null,null,null,null,null,null,null
5,0.191764,-153.812075,2.0955005400E+02,-3.7166616000E+01,209.5500245,-37.1666638,1.1679,1.2570,0.4245,17.084,null,null,1.082E+00,15.573,null,null,6.481E-01,10.017,0.152,7.2,7.309E-01,7.400,null,1.0,1.729E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.317640,null,null,null,null,null,null,null
6,0.164451,-158.837322,2.0956604900E+02,-3.7184543000E+01,209.5660283,-37.1845856,0.8974,1.0254,0.1972,17.010,null,null,3.170E+00,15.640,null,null,1.040E+00,9.924,0.135,8.0,8.879E-01,7.146,null,2.0,1.197E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.383728,null,null,null,null,null,null,null
7,4.220177,110.180462,2.0956608200E+02,-3.7184564000E+01,209.5674631,-37.1849684,0.4540,0.6233,0.1141,16.896,null,0.1,1.277E+00,15.527,null,null,1.059E+00,8.887,0.084,12.9,7.392E+00,7.332,null,0.9,1.657E+00,2,0,0.000,0.000,0.000,0.000,0000,UUAU,1,55226.383855,null,null,null,null,null,null,null
8,1.134804,-26.583160,2.0958206100E+02,-3.7202490000E+01,209.5818839,-37.2022081,0.9402,1.1114,0.4592,17.069,null,null,5.727E-01,15.657,null,null,1.365E+00,9.751,0.142,7.7,5.035E-01,7.339,null,1.1,1.045E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.449944,null,null,null,null,null,null,null
9,1.392218,106.602702,2.0959805600E+02,-3.7220437000E+01,209.5985214,-37.2205475,0.9362,1.0022,0.2828,17.000,null,null,1.109E+00,14.921,null,1.8,6.718E+00,9.858,0.129,8.4,9.066E-01,7.605,0.398,2.7,1.361E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55226.516160,null,null,null,null,null,null,null
10,0.974260,160.816495,2.0961400000E+02,-3.7238361000E+01,209.6141117,-37.2386166,1.0968,1.1033,0.4329,16.988,null,null,1.054E+00,15.743,null,null,8.145E-01,9.785,0.123,8.9,1.023E+00,7.483,null,0.9,6.709E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.582248,null,null,null,null,null,null,null
11,0.600359,-39.273215,2.0961403400E+02,-3.7238382000E+01,209.6139014,-37.2382529,1.0062,1.0885,-0.2200,17.128,null,null,8.831E-01,15.174,null,1.1,9.903E-01,9.804,0.127,8.6,1.102E+00,7.155,null,1.8,8.178E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55226.582376,null,null,null,null,null,null,null
12,1.222659,-145.920554,2.0962996200E+02,-3.7256304000E+01,209.6297229,-37.2565853,0.9740,1.1048,0.4166,16.485,null,1.4,1.066E+00,15.181,null,1.0,1.111E+00,9.805,0.130,8.4,1.998E+00,7.768,0.538,2.0,8.771E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55226.648464,null,null,null,null,null,null,null
13,0.218268,1.805062,2.0964590700E+02,-3.7274247000E+01,209.6459094,-37.2741864,0.8856,0.9337,0.2491,17.122,null,null,1.093E+00,15.792,null,null,1.072E+00,9.777,0.123,8.8,1.085E+00,7.401,0.363,3.0,8.874E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55226.714680,null,null,null,null,null,null,null
15,0.348763,120.383700,2.0969360600E+02,-3.7328048000E+01,209.6937111,-37.3280970,1.0142,1.1368,0.3262,17.086,null,null,4.266E+00,15.340,0.415,2.6,1.119E+00,10.012,0.152,7.1,4.398E-01,7.188,null,1.7,1.015E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55226.913200,null,null,null,null,null,null,null
