cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
7,4.376021,-172.697193,1.6105523700E+02,-7.8674744000E+01,161.0544501,-78.6759497,0.0955,0.0986,0.0245,12.028,0.023,46.4,1.636E+00,11.698,0.035,31.1,1.488E+00,9.301,0.067,16.3,2.794E+01,7.243,0.275,4.0,1.888E+00,1,0,0.000,0.000,0.000,0.000,0000,AAAB,0,55245.911121,761427433,12.945,0.024,12.449,0.022,12.213,0.029
8,0.967630,-95.144847,1.6126386200E+02,-7.8619724000E+01,161.2625053,-78.6197481,0.3206,0.2841,0.0910,15.737,0.209,5.2,9.838E+00,13.630,0.091,11.9,1.287E+00,8.709,0.045,24.0,1.647E+00,7.684,0.442,2.5,8.367E-01,2,0,0.000,0.000,0.000,0.000,0000,BAAC,0,55246.043425,null,null,null,null,null,null,null
9,0.774130,-123.953300,1.6146899500E+02,-7.8564879000E+01,161.4680953,-78.5649991,0.3511,0.3207,-0.0244,17.101,null,null,1.429E+00,13.786,0.118,9.2,7.973E-01,8.707,0.046,23.9,1.085E+00,6.902,0.214,5.1,1.077E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.175729,null,null,null,null,null,null,null
10,0.886900,-139.847416,1.6157083000E+02,-7.8537470000E+01,161.5700306,-78.5376583,0.3157,0.2698,0.0425,16.944,null,0.3,1.674E+00,13.703,0.103,10.6,1.335E+00,8.598,0.042,25.9,9.239E-01,7.226,0.274,4.0,1.083E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.241945,null,null,null,null,null,null,null
11,1.084836,-150.202111,1.6167072200E+02,-7.8510206000E+01,161.6699702,-78.5104675,0.3801,0.3201,-0.0325,17.060,null,0.1,8.948E-01,13.886,0.114,9.5,1.389E+00,8.721,0.050,21.9,9.891E-01,6.834,0.207,5.2,7.864E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.308033,null,null,null,null,null,null,null
12,1.079461,-141.266161,1.6177087500E+02,-7.8482884000E+01,161.7699353,-78.4831179,0.3342,0.2783,0.0784,16.674,null,0.1,4.493E-01,14.143,0.163,6.6,7.941E-01,8.585,0.042,25.8,1.463E+00,6.994,0.224,4.8,1.772E+00,2,0,0.000,0.000,0.000,0.000,0000,UBAB,0,55246.374249,null,null,null,null,null,null,null
13,1.065814,-160.805205,1.6186910200E+02,-7.8455706000E+01,161.8686156,-78.4559856,0.3518,0.3031,0.0821,16.595,0.352,3.1,8.509E-01,13.714,0.110,9.9,9.794E-01,8.767,0.045,24.3,1.325E+00,7.258,0.317,3.4,1.126E+00,1,0,0.000,0.000,0.000,0.000,0000,BBAB,0,55246.440337,null,null,null,null,null,null,null
14,1.210107,-149.794334,1.6196758800E+02,-7.8428470000E+01,161.9667449,-78.4287605,0.3491,0.2953,0.0756,16.929,null,0.4,1.889E+00,13.693,0.096,11.3,8.939E-01,8.745,0.046,23.6,1.216E+00,6.771,0.195,5.6,6.910E-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.506553,null,null,null,null,null,null,null
15,1.206257,-141.191298,1.6206419400E+02,-7.8401379000E+01,162.0631495,-78.4016401,0.3180,0.2828,-0.0647,16.342,null,1.9,1.494E+00,13.452,0.077,14.1,7.914E-01,8.676,0.044,24.4,1.301E+00,6.884,0.207,5.2,7.524E-01,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.572642,null,null,null,null,null,null,null
17,1.085670,-145.321064,1.6216106600E+02,-7.8374232000E+01,162.1602145,-78.3744800,0.3516,0.3030,0.0587,16.382,null,1.9,6.943E-01,13.749,0.106,10.3,8.929E-01,8.729,0.047,23.1,1.072E+00,7.346,0.298,3.6,1.364E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,0,55246.638857,null,null,null,null,null,null,null
