cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
6,1.816168,1.946158,2.6857682900E+02,6.5234841000E+01,268.5768699,65.2353452,1.6621,1.6700,0.4771,16.823,null,null,5.385E-01,15.791,null,0.0,7.822E-01,10.704,0.264,4.1,5.776E-01,7.596,0.375,2.9,1.060E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55264.805380,null,null,null,null,null,null,null
13,0.529026,64.786487,2.6873264300E+02,6.5110762000E+01,268.7329589,65.1108246,1.5907,1.6414,-0.4178,16.699,null,1.0,7.984E-01,15.235,null,1.3,1.034E+00,10.662,0.235,4.6,7.712E-01,7.910,0.516,2.1,1.309E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55265.400812,null,null,null,null,null,null,null
15,4.112309,169.898126,2.6874985800E+02,6.5097042000E+01,268.7503338,65.0959174,1.2534,1.3875,-0.1255,16.137,0.224,4.8,5.270E-01,15.501,null,0.7,7.001E-01,11.269,0.434,2.5,1.499E+00,7.431,null,1.0,1.468E+00,2,0,0.000,0.000,0.000,0.000,0000,BUCU,1,55265.467155,null,null,null,null,null,null,null
16,4.606721,62.487381,2.6876665900E+02,6.5082987000E+01,268.7693529,65.0835781,1.3056,1.4197,0.0577,16.375,0.276,3.9,6.089E-01,15.823,0.524,2.1,5.291E-01,11.259,0.405,2.7,1.339E+00,7.578,null,0.7,1.197E+00,1,0,0.000,0.000,0.000,0.000,0000,BCCU,1,55265.533116,null,null,null,null,null,null,null
17,2.820241,-19.026563,2.6878376400E+02,6.5069233000E+01,268.7831581,65.0699736,0.4333,0.4724,0.0485,14.882,0.084,13.0,1.201E+00,14.503,0.184,5.9,6.816E-01,10.964,0.333,3.3,1.161E+00,7.496,null,1.1,1.675E+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55265.599459,687197826,15.704,0.059,15.298,0.082,14.729,0.104
18,0.492308,6.765652,2.6880046000E+02,6.5055143000E+01,268.8004982,65.0552788,1.2878,1.5154,-0.2186,17.200,null,null,5.951E-01,15.894,null,null,8.521E-01,10.395,0.187,5.8,9.023E-01,7.272,null,1.3,9.027E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55265.665420,null,null,null,null,null,null,null
25,2.459850,-13.250580,2.6890070400E+02,6.4971292000E+01,268.9003338,64.9719571,1.2955,1.2985,-0.1555,16.371,0.277,3.9,1.830E+00,15.044,null,1.5,1.000E+00,11.410,null,0.2,8.859E-01,7.375,0.317,3.4,9.818E-01,1,0,0.000,0.000,0.000,0.000,0000,BUUB,1,55266.062460,null,null,null,null,null,null,null
26,2.399563,21.910050,2.6891726200E+02,6.4957287000E+01,268.9178496,64.9579054,0.4463,0.5237,0.1779,14.878,0.085,12.8,7.966E-01,14.903,0.256,4.2,1.042E+00,10.821,0.286,3.8,1.538E+00,7.475,null,0.9,1.641E+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55266.128675,687198062,15.834,0.064,15.106,0.077,15.006,0.135
27,1.725133,23.874359,2.6891737900E+02,6.4957395000E+01,268.9178372,64.9578332,0.4378,0.4963,0.1123,14.819,0.084,13.0,8.536E-01,15.115,0.297,3.7,5.678E-01,10.657,0.233,4.7,8.469E-01,7.959,null,null,1.217E+00,1,0,0.000,0.000,0.000,0.000,0000,ABBU,1,55266.128803,687198062,15.834,0.064,15.106,0.077,15.006,0.135
28,2.700454,-170.907176,2.6893365300E+02,6.4943159000E+01,268.9333731,64.9424183,1.9851,2.1958,0.1034,16.770,null,0.7,8.924E-01,15.709,null,null,1.069E+00,10.747,0.268,4.1,1.223E+00,7.620,null,0.5,1.073E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55266.194764,null,null,null,null,null,null,null
