cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,0.853859,43.093457,2.6621206900E+02,7.0000851000E+01,266.2125428,70.0010242,1.0526,1.1754,-0.3087,17.215,null,null,1.354E+00,15.617,0.533,2.0,7.575E-01,10.322,0.167,6.5,7.695E-01,7.471,0.379,2.9,1.244E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55285.777419,null,null,null,null,null,null,null
2,1.998205,34.268718,2.6638199600E+02,7.0001778000E+01,266.3829099,70.0022367,1.3451,1.4900,-0.1885,17.197,null,null,1.013E+00,15.798,null,null,9.016E-01,10.522,0.217,5.0,9.386E-01,7.492,null,1.0,1.178E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55285.909723,null,null,null,null,null,null,null
3,1.940144,99.343122,2.6655190600E+02,7.0002517000E+01,266.5534610,70.0024295,1.0558,1.1651,-0.3677,17.117,null,null,8.102E-01,14.741,0.231,4.7,1.149E+00,10.277,0.181,6.0,1.070E+00,7.661,null,0.6,1.193E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55286.042027,null,null,null,null,null,null,null
4,1.798670,15.864371,2.6672179900E+02,7.0003070000E+01,266.7221984,70.0035506,1.2106,1.3762,-0.3464,17.139,null,null,7.104E-01,15.461,0.407,2.7,8.002E-01,10.435,0.204,5.3,1.146E+00,7.731,0.437,2.5,1.109E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55286.174331,null,null,null,null,null,null,null
5,2.905096,37.582422,2.6680693600E+02,7.0003440000E+01,266.8083753,70.0040795,1.0321,1.1786,-0.2951,16.946,null,0.4,8.551E-01,14.995,0.260,4.2,7.171E-01,10.388,0.179,6.1,7.614E-01,7.930,null,null,1.044E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55286.240675,null,null,null,null,null,null,null
6,1.320170,40.608149,2.6689167700E+02,7.0003437000E+01,266.8923750,70.0037154,1.0022,1.1687,-0.3799,16.432,0.343,3.2,4.215E-01,15.029,0.277,3.9,4.560E-01,10.489,0.206,5.3,5.424E-01,7.962,0.542,2.0,8.143E-01,2,0,0.000,0.000,0.000,0.000,0000,BBBC,1,55286.306636,null,null,null,null,null,null,null
7,2.007404,82.973963,2.6697680700E+02,7.0003714000E+01,266.9784254,70.0037822,1.2828,1.3877,-0.2209,17.048,null,null,9.151E-01,14.896,0.255,4.3,9.757E-01,10.902,0.277,3.9,1.133E+00,7.998,null,null,1.002E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55286.372979,null,null,null,null,null,null,null
8,0.908792,86.843231,2.6706154100E+02,7.0003616000E+01,267.0622781,70.0036299,1.1641,1.4105,-0.4033,16.896,null,null,1.046E+00,14.943,0.260,4.2,9.439E-01,10.650,0.236,4.6,4.391E-01,7.934,0.524,2.1,1.253E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55286.438940,null,null,null,null,null,null,null
9,0.926368,96.268889,2.6706167100E+02,7.0003725000E+01,267.0624190,70.0036969,1.3480,1.5796,-0.4424,17.197,null,null,4.217E-01,15.263,0.387,2.8,7.887E-01,10.697,0.249,4.4,8.143E-01,7.903,0.533,2.0,1.519E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55286.439067,null,null,null,null,null,null,null
10,1.438864,-65.301870,2.6714666400E+02,7.0003798000E+01,267.1456021,70.0039650,1.3382,1.5669,-0.3567,16.534,null,1.6,7.754E-01,15.417,0.403,2.7,7.070E-01,10.461,0.208,5.2,1.417E+00,7.916,null,0.2,4.299E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55286.505283,null,null,null,null,null,null,null
12,1.547542,-168.142443,2.6731650500E+02,7.0003697000E+01,267.3162467,70.0032763,1.8777,2.1593,-0.1409,16.630,null,1.2,8.851E-01,null,null,null,null,10.672,0.252,4.3,1.347E+00,7.384,null,0.7,7.895E-01,1,0,0.000,null,0.000,0.000,0000,UXBU,1,55286.637587,null,null,null,null,null,null,null
