cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,2.272900,-23.972175,1.8371242900E+02,7.0257154000E+01,183.7116696,70.2577309,0.0896,0.0851,0.0107,14.232,0.061,17.9,9.415E-01,11.272,0.026,42.3,1.390E+00,6.491,0.016,66.7,5.804E-01,4.765,0.041,26.5,6.910E-01,1,0,0.000,0.000,0.000,0.000,0000,AAAA,0,55315.543323,null,null,null,null,null,null,null
2,2.369566,-25.172733,1.8407646700E+02,7.0609605000E+01,184.0756237,70.6102007,0.1433,0.1471,0.0167,14.017,0.052,21.1,1.920E+00,11.115,0.028,38.6,7.690E-01,null,null,null,null,null,null,null,null,1,0,0.000,0.000,null,null,0000,AAXX,0,55315.609539,null,null,null,null,null,null,null
3,0.465417,107.511109,3.5034706700E+02,3.0641566000E+01,350.3472103,30.6415271,0.8130,0.8235,-0.2711,16.515,0.363,3.0,6.472E-01,14.896,0.272,4.0,1.438E+00,9.895,0.125,8.7,4.883E-01,7.538,null,0.7,9.891E-01,2,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55372.382810,null,null,null,null,null,null,null
4,1.833645,92.633018,3.5036246500E+02,3.0611963000E+01,350.3630562,30.6119396,1.3870,1.4346,-0.4237,17.050,null,null,9.173E-01,14.705,0.234,4.6,4.942E-01,10.836,0.296,3.7,1.429E+00,7.627,null,0.6,8.025E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55372.515113,null,null,null,null,null,null,null
5,2.027277,119.324691,3.5037769200E+02,3.0582401000E+01,350.3782623,30.5821252,0.8914,1.0066,-0.3517,17.034,null,null,7.635E-01,15.256,0.365,3.0,7.934E-01,9.782,0.122,8.9,1.092E+00,7.858,null,null,1.175E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55372.647417,null,null,null,null,null,null,null
6,0.198307,-171.640195,3.5039274800E+02,3.0552879000E+01,350.3927387,30.5528245,0.8090,0.9064,-0.3124,16.627,null,1.0,6.866E-01,14.536,0.185,5.9,8.641E-01,9.958,0.137,7.9,5.575E-01,7.430,null,1.1,6.761E-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55372.779721,null,null,null,null,null,null,null
7,4.424643,-171.139410,3.5040020300E+02,3.0538099000E+01,350.3999832,30.5368846,0.1339,0.1290,-0.0407,12.657,0.027,39.8,8.920E+00,12.649,0.048,22.6,1.887E+00,11.273,0.447,2.4,1.327E+00,7.517,null,1.0,1.322E+00,1,0,0.000,0.000,0.000,0.000,0000,AACU,1,55372.845809,329996527,13.332,0.025,12.969,0.026,12.959,0.033
9,1.111595,-3.182992,3.5041500100E+02,3.0508629000E+01,350.4149811,30.5089373,1.1630,1.1640,-0.2874,16.179,0.252,4.3,9.346E-01,15.017,0.309,3.5,4.914E-01,10.884,0.302,3.6,8.245E-01,7.430,null,1.3,2.329E+00,2,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55372.978113,null,null,null,null,null,null,null
10,0.915741,-122.053883,3.5042234200E+02,3.0493939000E+01,350.4220918,30.4938040,1.1262,1.1810,-0.2991,16.717,0.393,2.8,1.399E+00,15.095,null,1.7,1.030E+00,10.211,0.176,6.2,1.067E+00,7.749,0.472,2.3,6.867E-01,1,0,0.000,0.000,0.000,0.000,0000,CUBC,1,55373.044328,null,null,null,null,null,null,null
11,0.056283,57.500756,3.5042962500E+02,3.0479194000E+01,350.4296403,30.4792024,0.9273,1.0055,-0.3322,16.542,null,0.9,9.066E-01,14.553,0.201,5.4,8.562E-01,10.221,0.170,6.4,9.911E-01,7.648,0.432,2.5,9.489E-01,1,0,0.000,0.000,0.000,0.000,D000,UBBC,1,55373.110417,null,null,null,null,null,null,null
12,1.014507,160.171705,3.5043688000E+02,3.0464522000E+01,350.4369909,30.4642569,1.3803,1.4865,-0.4776,17.067,null,null,9.612E-01,15.222,0.325,3.3,5.918E-01,10.594,0.228,4.8,1.049E+00,7.571,null,0.7,1.716E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55373.176632,null,null,null,null,null,null,null
14,1.617327,76.601768,3.5045835400E+02,3.0420426000E+01,350.4588608,30.4205301,1.3740,1.6033,-0.4912,16.722,null,0.9,1.089E+00,15.278,null,1.0,1.823E+00,10.327,0.197,5.5,4.948E-01,7.427,null,0.8,1.644E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55373.375024,null,null,null,null,null,null,null
15,1.317355,139.341809,3.5047245700E+02,3.0391089000E+01,350.4727334,30.3908114,1.1655,1.2630,-0.4219,16.232,null,1.7,2.050E+00,15.792,0.543,2.0,8.541E-01,10.181,0.174,6.3,9.526E-01,7.345,null,1.5,1.286E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55373.507328,null,null,null,null,null,null,null
16,2.978607,150.807312,3.5048638500E+02,3.0361782000E+01,350.4868527,30.3610597,1.3609,1.4390,-0.5117,16.690,null,0.7,1.794E+00,15.202,null,1.6,9.000E-01,10.416,0.187,5.8,1.006E+00,7.688,null,0.3,1.174E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55373.639631,null,null,null,null,null,null,null
