	tdbjd	w1mpro	w1sigmpro	w2mpro	w2sigmpro	w3mpro	w3sigmpro	w4mpro	w4sigmpro
0	2455270.8792140367	15.857		15.441		9.673	0.167	7.464	
1	2455271.276126037	14.548	0.202	14.701		10.721	0.324	7.477	
2	2455272.0039890367	11.886	0.03	11.914	0.036	11.186		7.812	
3	2455414.096261009	16.262		14.957	0.277	9.677	0.117	7.224	
4	2455414.228564009	17.072		14.565	0.237	9.821	0.134	7.81	
5	2455414.360868009	16.29		14.93	0.306	9.866	0.147	7.189	
6	2455414.426957009	16.464		14.746	0.257	9.745	0.122	7.415	0.353
7	2455414.493172009	16.528		14.482	0.228	10.126	0.168	7.344	0.344
8	2455414.559260009	17.099		15.341	0.463	9.958	0.152	7.799	
9	2455414.6254760087	17.078		14.656	0.265	9.849	0.129	7.923	
10	2455414.6915640086	17.082		15.369	0.395	9.993	0.149	7.722	
11	2455414.823868009	16.733	0.413	15.219	0.375	9.896	0.136	7.227	
12	2455414.823996009	16.748		14.798	0.252	10.076	0.159	7.545	0.469
