	name	nums
0	2003MA3	8
1	2010CO1	32
2	2010DG77	16
3	2010EX11	15
4	2010FC81	17
5	2010FH81	41
6	2010GS7	14
7	2010JN71	19
8	2010KX7	30
9	2010PW58	26
10	2010XP69	5
11	2019DD2	23
12	1994CB	21
13	1996GQ	55
14	2002LT24	45
15	2008NP3	8
16	2009UX17	130
17	2010AJ30	10
18	2010BH115	37
19	2010CA55	46
20	2010CC55	10
21	2010CN141	23
22	2010DH77	23
23	2010FA81	148
24	2010GP67	32
25	2010HW81	7
26	2010HX107	20
27	2010HZ104	16
28	2010JX16	18
29	2010KP10	4
30	2010KU7	32
31	2010LH14	5
32	2010LJ68	20
33	2010LK68	8
34	2010LL68	14
35	2010LV108	17
36	2010NS36	13
37	2010NY65	11
38	2010OH126	11
39	2010PU66	10
40	2014FD7	18
41	2015TF	6
42	2016UH101	13
