Name	Diam	Class	H	time
2019 NC1	0.137	S*	21.68	2021
2020 MV	0.062	S*	23.4	2020
2020 QU4	0.142	S*	21.6	2020
2020 BJ4	0.124	S*	21.89	2020
2020 BN11	0.09	S*	22.6	2020
2020 HL7	0.075	S*	23.0	2020
2020 HV1	0.094	S*	22.5	2020
2020 KZ7	0.094	S*	22.5	2020
2020 OT7	0.045	S*	24.09	2020
2020 HE2	0.156	S*	21.4	2020
2020 RK2	0.041	S*	24.29	2020
2020 UF2	0.13	S*	21.8	2020
2020 WT5	0.104	S*	22.28	2020
2020 SP4	0.124	S*	21.9	2020
2015 RH2	0.102	S*	22.32	2019
2019 CL2	0.065	S*	23.3	2019
2019 ER1	0.057	S*	23.6	2019
2019 JR7	0.113	S*	22.1	2019
2019 JU5	0.047	S*	24.0	2019
2019 KC	0.098	S*	22.4	2019
2019 QD6	0.142	S*	21.6	2019
2019 ND7	0.156	S*	21.4	2019
2019 WH1	0.149	S*	21.5	2019
2019 WV4	0.062	S*	23.4	2019
2004 TB10	0.156	S*	21.4	2019
2018 TD4	0.118	S*	22.0	2019
2007 TE66	0.144	S*	21.57	2019
2018 XZ2	0.142	S*	21.6	2019
2019 FD	0.065	S*	23.3	2019
2005 GR33	0.108	S*	22.2	2018
1999 LK1	0.113	S*	22.1	2018
1999 FN19	0.091	S*	22.58	2018
2018 EC9	0.045	S*	24.1	2018
2018 LN2	0.068	S*	23.2	2018
2018 EB	0.13	S*	21.8	2018
2018 CZ2	0.156	S*	21.4	2018
1993 VD	0.149	S*	21.5	2018
2018 WD1	0.025	S*	25.4	2018
2018 UQ2	0.124	S*	21.9	2018
2018 JW1	0.098	S*	22.4	2018
2018 AE3	0.156	S*	21.4	2018
2018 QT1	0.103	S*	22.3	2018
2018 AE4	0.034	S*	24.7	2018
2018 NT1	0.124	S*	21.9	2018
2018 ML8	0.124	S*	21.9	2018
2015 DP155	0.142	S*	21.6	2018
2018 EE	0.13	S*	21.8	2018
2017 XO2	0.098	S*	22.4	2017
2017 WK14	0.13	S*	21.8	2017
2016 YC8	0.036	S*	24.6	2017
2017 DT34	0.008	S*	27.8	2017
2017 DW34	0.068	S*	23.2	2017
2017 VT14	0.073	S*	23.05	2017
2017 DC36	0.109	S*	22.17	2017
2017 CX31	0.028	S*	25.1	2017
2017 UQ4	0.047	S*	24.0	2017
2017 UC3	0.086	S*	22.7	2017
2017 ST14	0.059	S*	23.5	2017
2017 BQ6	0.156	S*	21.4	2017
2017 BM3	0.075	S*	23.0	2017
2017 AP19	0.057	S*	23.6	2017
2017 RN17	0.136	S*	21.7	2017
2017 EK	0.043	S*	24.2	2017
2017 KR27	0.059	S*	23.5	2017
2008 WL	0.136	S*	21.7	2017
2017 MB5	0.086	S*	22.7	2017
2017 PL26	0.108	S*	22.2	2017
2017 HP49	0.078	S*	22.9	2017
2017 FL127	0.078	S*	22.9	2017
2017 KO31	0.065	S*	23.3	2017
2017 ER13	0.142	S*	21.6	2017
2017 EL4	0.025	S*	25.4	2017
2008 CM20	0.149	S*	21.5	2017
2016 LB	0.082	S*	22.8	2016
2016 LD9	0.098	S*	22.4	2016
2016 KD	0.103	S*	22.3	2016
2016 JW28	0.024	S*	25.5	2016
2016 AK8	0.13	S*	21.8	2016
2016 JC6	0.158	S*	21.37	2016
2016 EZ26	0.09	S*	22.6	2016
2016 CU30	0.142	S*	21.6	2016
2016 AD166	0.057	S*	23.6	2016
2016 HN3	0.142	S*	21.6	2016
2016 EE1	0.037	S*	24.5	2016
2009 UG	0.065	S*	23.3	2016
2015 YB1	0.156	S*	21.4	2016
2016 FC13	0.113	S*	22.1	2016
2016 CL136	0.158	S*	21.37	2016
2016 EV1	0.049	S*	23.9	2016
2016 FO12	0.09	S*	22.6	2016
2016 AZ8	0.153	S*	21.44	2016
2016 GP220	0.117	S*	22.02	2016
2016 CK246	0.124	S*	21.9	2016
2016 LF2	0.098	S*	22.4	2016
2008 PR9	0.096	S*	22.46	2016
2009 DL46	0.118	S*	22.0	2016
2016 BJ15	0.065	S*	23.3	2016
2016 CB31	0.03	S*	25.0	2016
2015 YK	0.02	S*	25.9	2016
2016 DO2	0.054	S*	23.7	2016
2016 TM56	0.012	S*	26.9	2016
2016 YF8	0.098	S*	22.4	2016
