cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
2,0.527585,154.980972,6.7438252000E+01,-1.1278958000E+01,67.4383152,-11.2790908,0.7320,0.7288,-0.2095,16.507,null,1.2,1.145E+00,14.468,0.182,6.0,9.102E-01,9.708,0.109,10.0,1.327E+00,7.257,null,1.2,7.966E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55243.014575,null,null,null,null,null,null,null
3,0.331178,51.791893,6.7528162000E+01,-1.1241819000E+01,67.5282357,-11.2417621,0.6880,0.7986,-0.1886,17.197,null,null,2.928E+00,14.637,0.210,5.2,1.212E+00,9.776,0.110,9.8,1.126E+00,7.355,null,0.9,1.014E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55243.146880,null,null,null,null,null,null,null
4,1.136338,1.763048,6.7618181000E+01,-1.1204636000E+01,67.6181909,-11.2043205,1.0122,1.1656,-0.3071,17.083,null,null,7.176E-01,14.566,0.217,5.0,5.846E-01,10.447,0.208,5.2,1.003E+00,7.264,null,1.7,1.009E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55243.279184,null,null,null,null,null,null,null
5,0.475322,34.124728,6.7708310000E+01,-1.1167408000E+01,67.7083855,-11.1672987,1.1251,1.2770,-0.1193,17.008,null,null,1.275E+00,15.014,null,1.7,1.221E+00,10.073,0.151,7.2,1.066E+00,7.313,null,1.4,1.704E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55243.411488,null,null,null,null,null,null,null
6,1.164420,-38.452934,6.7798651000E+01,-1.1130181000E+01,67.7984460,-11.1299277,0.8403,0.8846,-0.2554,17.181,null,null,1.438E+00,15.157,0.333,3.3,7.469E-01,9.741,0.116,9.4,1.272E+00,7.297,null,1.5,1.455E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55243.543919,null,null,null,null,null,null,null
7,0.387093,-3.715192,6.7888999000E+01,-1.1092863000E+01,67.8889919,-11.0927557,0.4931,0.5606,-0.1060,17.102,null,null,7.694E-01,14.245,0.155,7.0,7.241E-01,9.291,0.076,14.2,1.482E+00,7.149,0.320,3.4,6.954E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55243.676224,null,null,null,null,null,null,null
8,0.416767,33.264261,6.7979457000E+01,-1.1055501000E+01,67.9795217,-11.0554042,0.5579,0.6511,-0.0945,17.189,null,null,8.725E-01,14.623,0.234,4.6,7.970E-01,9.274,0.080,13.5,8.426E-01,7.046,null,1.9,7.937E-01,2,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55243.808528,null,null,null,null,null,null,null
9,0.930351,-96.086221,6.8070025000E+01,-1.1018096000E+01,68.0697632,-11.0181234,0.8497,0.9546,-0.1086,16.433,null,1.7,8.393E-01,15.706,null,null,1.564E+01,10.045,0.150,7.2,8.761E-01,7.331,null,1.6,1.744E+00,1,0,0.000,0.000,0.000,0.000,0H00,UUBU,1,55243.940832,null,null,null,null,null,null,null
10,1.011029,105.997820,6.8160805000E+01,-1.0980691000E+01,68.1610800,-10.9807684,1.3644,1.5817,-0.3108,16.979,null,0.2,6.610E-01,15.177,null,1.3,6.237E-01,10.232,0.178,6.1,1.044E+00,7.541,null,0.7,1.587E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55244.073263,null,null,null,null,null,null,null
11,0.964172,161.645304,6.8251592000E+01,-1.0943198000E+01,68.2516779,-10.9434522,1.1575,1.3174,-0.1014,17.084,null,null,5.674E-01,15.318,null,0.7,3.767E-01,10.191,0.172,6.3,8.112E-01,7.730,0.469,2.3,9.566E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55244.205568,null,null,null,null,null,null,null
12,0.871871,51.941396,6.8342489000E+01,-1.0905662000E+01,68.3426832,-10.9055127,0.8612,0.9808,-0.1984,16.488,null,1.2,1.039E+00,15.083,0.307,3.5,6.369E-01,9.858,0.140,7.8,2.662E-01,7.437,0.337,3.2,1.051E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55244.337872,null,null,null,null,null,null,null
13,0.164590,26.262990,6.8433495000E+01,-1.0868083000E+01,68.4335156,-10.8680420,0.6118,0.7250,-0.1903,17.099,0.521,2.1,9.018E-01,14.325,0.168,6.4,1.239E+00,9.583,0.097,11.2,1.322E+00,7.771,0.463,2.3,6.747E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55244.470176,null,null,null,null,null,null,null
14,0.354296,-90.174664,6.8524713000E+01,-1.0830506000E+01,68.5246128,-10.8305063,0.6229,0.7111,-0.1508,16.995,0.462,2.4,1.722E+00,14.388,0.163,6.7,1.458E+00,9.648,0.107,10.2,9.277E-01,7.576,0.408,2.7,9.456E-01,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55244.602608,null,null,null,null,null,null,null
15,1.231975,-68.881443,6.8570261000E+01,-1.0811656000E+01,68.5699360,-10.8115327,0.6899,0.8018,-0.1690,16.899,0.435,2.5,1.649E+00,15.016,0.284,3.8,7.206E-01,9.701,0.106,10.3,7.299E-01,7.430,null,1.2,1.215E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55244.668696,null,null,null,null,null,null,null
16,0.377212,-49.822783,6.8615939000E+01,-1.0792842000E+01,68.6158575,-10.7927744,0.6623,0.7741,-0.0419,17.070,0.535,2.0,1.116E+00,14.440,0.184,5.9,9.708E-01,9.634,0.106,10.2,1.566E+00,7.409,null,1.1,1.148E+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55244.734912,null,null,null,null,null,null,null
17,1.026721,-166.311865,6.8661541000E+01,-1.0773974000E+01,68.6614723,-10.7742511,0.6754,0.7624,0.1424,16.329,null,1.9,1.212E+00,14.665,0.208,5.2,1.520E+00,9.624,0.102,10.6,1.166E+00,7.740,0.427,2.5,1.047E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55244.801000,null,null,null,null,null,null,null
18,0.719193,69.274175,6.8661644000E+01,-1.0774020000E+01,68.6618342,-10.7739493,0.8176,0.8027,-0.1537,16.597,null,1.1,4.458E-01,14.623,0.205,5.3,1.262E+00,9.783,0.115,9.5,1.046E+00,7.269,null,1.6,1.140E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55244.801127,null,null,null,null,null,null,null
19,0.687316,21.365713,6.8707273000E+01,-1.0755139000E+01,68.7073438,-10.7549612,0.7455,0.8611,-0.1273,16.951,null,null,1.389E+00,15.269,0.372,2.9,9.837E-01,9.800,0.122,8.9,1.672E+00,6.940,0.227,4.8,1.414E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBB,1,55244.867216,null,null,null,null,null,null,null
20,0.408983,-108.740662,6.8753033000E+01,-1.0736294000E+01,68.7529235,-10.7363305,0.9950,1.1102,-0.2247,16.618,null,1.3,1.277E+00,15.019,null,1.6,6.070E-01,10.112,0.150,7.3,9.435E-01,7.457,0.396,2.7,7.842E-01,3,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55244.933432,null,null,null,null,null,null,null
21,0.842039,-171.958800,6.8798717000E+01,-1.0717391000E+01,68.7986837,-10.7176226,0.8981,1.0656,-0.2438,17.035,null,0.1,4.543E-01,15.190,0.377,2.9,1.036E+00,9.911,0.128,8.5,1.795E+00,7.844,0.480,2.3,1.207E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55244.999520,null,null,null,null,null,null,null
22,0.412452,142.177028,6.8844531000E+01,-1.0698523000E+01,68.8446025,-10.6986135,0.9417,1.0603,-0.1726,16.821,null,null,5.916E-01,15.307,0.384,2.8,7.136E-01,10.063,0.150,7.3,5.020E-01,7.600,0.394,2.8,1.546E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55245.065736,null,null,null,null,null,null,null
23,0.584056,171.851784,6.8890373000E+01,-1.0679646000E+01,68.8903964,-10.6798066,1.1162,1.2895,-0.2266,17.186,null,null,7.622E-01,14.984,null,1.5,1.209E+00,10.147,0.159,6.8,9.386E-01,7.817,0.489,2.2,1.079E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55245.131952,null,null,null,null,null,null,null
24,0.541965,77.571757,6.8936138000E+01,-1.0660713000E+01,68.9362876,-10.6606806,0.6717,0.7446,-0.0946,16.951,null,null,1.815E+00,14.751,0.245,4.4,1.065E+00,9.558,0.097,11.2,1.117E+00,7.740,0.448,2.4,8.236E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55245.198040,null,null,null,null,null,null,null
25,0.820201,131.209528,6.8982035000E+01,-1.0641816000E+01,68.9822094,-10.6419661,0.6487,0.7468,-0.1485,16.710,null,0.9,8.846E-01,14.733,0.259,4.2,8.597E-01,9.502,0.090,12.0,9.472E-01,7.827,0.485,2.2,9.929E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55245.264256,null,null,null,null,null,null,null
26,0.262154,64.369275,6.9027855000E+01,-1.0622862000E+01,69.0279218,-10.6228305,0.5947,0.6680,0.1659,16.392,null,1.9,1.019E+00,14.897,0.267,4.1,3.345E-01,9.308,0.080,13.6,1.326E+00,7.395,0.329,3.3,9.849E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55245.330344,null,null,null,null,null,null,null
27,0.853475,-45.319804,6.9073806000E+01,-1.0603945000E+01,69.0736345,-10.6037783,0.8790,1.0022,-0.1939,15.876,null,1.7,9.829E-01,15.155,0.355,3.1,1.024E+00,10.071,0.145,7.5,1.056E+00,7.350,0.306,3.5,1.319E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBB,1,55245.396560,null,null,null,null,null,null,null
28,0.313328,-13.586670,6.9119785000E+01,-1.0585016000E+01,69.1197642,-10.5849314,0.9577,1.0553,-0.1571,16.936,0.484,2.2,1.357E+00,15.178,0.328,3.3,1.116E+00,10.075,0.155,7.0,9.519E-01,7.785,0.492,2.2,1.656E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBC,1,55245.462776,null,null,null,null,null,null,null
29,1.069458,-15.331213,6.9165677000E+01,-1.0566027000E+01,69.1655971,-10.5657405,0.8465,1.0474,-0.2623,17.084,null,null,7.232E-01,14.942,null,1.9,6.507E-01,9.789,0.116,9.4,8.242E-01,7.688,null,0.5,1.226E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55245.528853,null,null,null,null,null,null,null
