cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
11,4.669801,9.221956,1.1312946000E+02,7.0561550000E+01,113.1300847,70.5628304,1.3671,1.4053,-0.3603,16.164,0.237,4.6,6.969E-01,14.941,null,2.0,8.911E-01,11.356,null,0.4,9.580E-01,7.967,null,null,1.463E+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,1,55283.256384,525938505,17.137,0.174,16.176,0.146,16.261,0.277
14,1.246549,-40.880598,3.2238250100E+02,7.1944436000E+01,322.3817698,71.9446978,0.3255,0.2959,-0.0883,15.161,0.126,8.6,9.107E+00,13.583,0.085,12.8,7.995E+00,8.746,0.055,19.9,2.552E+00,6.844,0.209,5.2,1.565E+00,2,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55407.962838,null,null,null,null,null,null,null
15,0.284694,173.673264,3.2258013100E+02,7.1798993000E+01,322.5801589,71.7989144,0.3742,0.3267,-0.0963,16.011,0.210,5.2,1.466E+00,13.907,0.111,9.7,9.824E-01,8.820,0.053,20.4,1.309E+00,6.921,0.229,4.8,1.160E+00,1,0,0.000,0.000,0.000,0.000,g000,BBAB,1,55408.095142,null,null,null,null,null,null,null
16,0.120938,-4.282458,3.2267910500E+02,7.1725434000E+01,322.6790970,71.7254675,0.2917,0.2606,-0.0340,17.033,null,0.1,1.711E+00,13.932,0.122,8.9,1.206E+00,8.462,0.038,28.9,1.290E+00,6.546,0.170,6.4,1.361E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.161230,null,null,null,null,null,null,null
17,0.367379,145.201878,3.2277744600E+02,7.1651219000E+01,322.7776310,71.6511352,0.2616,0.2273,-0.0514,15.139,0.110,9.9,2.403E+00,13.442,0.092,11.7,8.668E-01,8.332,0.037,29.7,1.265E+00,6.657,0.182,6.0,3.776E-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55408.227446,1100200369,16.069,0.105,15.466,0.140,15.543,0.227
18,0.330749,158.361009,3.2287626100E+02,7.1576478000E+01,322.8763682,71.5763926,0.2580,0.2169,-0.0711,17.110,null,0.0,7.382E-01,13.688,0.104,10.5,5.125E-01,8.328,0.033,33.1,1.326E+00,6.549,0.146,7.5,1.235E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55408.293534,null,null,null,null,null,null,null
19,0.323528,169.626790,3.2297444300E+02,7.1501066000E+01,322.9744940,71.5009776,0.2655,0.2421,-0.0443,17.018,null,0.3,9.203E-01,13.669,0.100,10.8,1.054E+00,8.383,0.036,29.9,6.608E-01,6.428,0.132,8.2,1.127E+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55408.359750,null,null,null,null,null,null,null
20,0.255464,165.174893,3.2307310400E+02,7.1425116000E+01,323.0731610,71.4250474,0.2835,0.2374,-0.0670,16.656,0.413,2.6,1.217E+00,13.744,0.103,10.6,8.811E-01,8.409,0.036,29.9,1.711E+00,6.953,0.209,5.2,7.537E-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55408.425838,null,null,null,null,null,null,null
21,0.279336,-118.311533,3.2317113900E+02,7.1348480000E+01,323.1709254,71.3484432,0.3031,0.2503,-0.0692,16.687,null,1.0,1.045E+00,14.052,0.123,8.8,6.070E-01,8.549,0.041,26.8,8.050E-01,6.965,0.244,4.4,4.576E-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.492053,null,null,null,null,null,null,null
22,0.056717,132.284726,3.2326963900E+02,7.1271292000E+01,323.2696753,71.2712814,0.3183,0.2972,-0.0807,16.934,null,null,1.159E+00,14.192,0.142,7.6,8.462E-01,8.603,0.040,27.1,1.328E+00,6.981,0.282,3.8,1.439E+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.558142,null,null,null,null,null,null,null
