cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
1,1.178236,66.367335,8.5118451000E+01,2.4761959000E+01,85.1187812,24.7620902,1.6380,1.8467,0.4211,16.909,null,null,1.799E+00,15.106,null,0.9,1.217E+00,10.102,0.209,5.2,4.891E-01,7.851,null,null,7.786E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55265.648866,null,null,null,null,null,null,null
2,0.562820,-20.644101,8.5118549000E+01,2.4761524000E+01,85.1184883,24.7616703,1.0472,1.0512,-0.2263,16.233,null,1.9,2.233E+00,14.478,0.236,4.6,5.332E-01,10.129,0.180,6.0,1.662E+00,7.013,null,1.9,1.143E+00,2,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55265.648994,null,null,null,null,null,null,null
3,0.057168,-46.653960,8.5203964000E+01,2.4590285000E+01,85.2039513,24.5902959,0.8936,1.0074,0.1163,16.790,null,null,1.218E+00,14.805,0.278,3.9,1.216E+00,9.800,0.143,7.6,1.961E+00,7.234,null,1.4,1.264E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55265.781170,null,null,null,null,null,null,null
4,1.819641,154.680382,8.5289889000E+01,2.4417582000E+01,85.2901264,24.4171251,0.5447,0.6075,-0.1036,15.061,0.119,9.1,1.359E+00,14.353,0.197,5.5,9.371E-01,10.128,0.192,5.7,1.729E+00,7.109,null,1.9,7.116E-01,1,0,0.000,0.000,0.000,0.000,0000,BBBU,0,55265.913474,148224928,15.991,0.069,15.515,0.104,15.347,0.142
5,0.674802,-169.489543,8.5376223000E+01,2.4243850000E+01,85.3761855,24.2436657,1.1480,1.3648,-0.2020,16.836,0.482,2.3,1.708E+00,14.786,null,1.6,1.271E+00,9.950,0.176,6.2,6.846E-01,7.131,null,1.1,1.196E+00,2,0,0.000,0.000,0.000,0.000,0000,CUBU,0,55266.045778,null,null,null,null,null,null,null
6,0.583265,158.650598,8.5462974000E+01,2.4069075000E+01,85.4630386,24.0689241,1.1104,1.3348,0.1107,16.927,null,null,1.951E+00,15.326,0.529,2.1,1.031E+00,9.833,0.159,6.8,1.443E+00,7.628,null,0.3,1.260E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55266.178082,null,null,null,null,null,null,null
7,0.582134,9.470295,8.5550139000E+01,2.3893248000E+01,85.5501681,23.8934075,0.8691,1.0673,0.1060,16.816,0.497,2.2,1.245E+00,14.578,0.290,3.7,5.557E-01,9.645,0.137,7.9,1.690E+00,7.133,null,1.3,8.316E-01,1,0,0.000,0.000,0.000,0.000,0000,CBBU,0,55266.310386,null,null,null,null,null,null,null
9,4.963865,-99.264851,8.5593927000E+01,2.3804717000E+01,85.5924396,23.8044950,0.2037,0.1947,-0.0404,13.350,0.039,28.0,4.570E+00,13.115,0.070,15.4,2.210E+00,null,null,null,null,7.646,null,0.2,6.249E-01,1,0,0.000,0.000,null,0.000,0000,AAXU,0,55266.376602,113160580,14.414,0.032,13.723,0.031,13.480,0.040
10,0.818662,33.696130,8.5637718000E+01,2.3716368000E+01,85.6378558,23.7165572,0.9080,1.0441,-0.1242,16.419,null,1.2,1.628E+00,14.914,0.313,3.5,9.002E-01,9.707,0.132,8.2,1.774E+00,7.139,null,1.9,1.128E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55266.442690,null,null,null,null,null,null,null
11,0.946362,4.117024,8.5681614000E+01,2.3627752000E+01,85.6816346,23.6280142,1.3312,1.5323,0.0750,16.808,null,0.2,1.915E+00,14.837,0.302,3.6,9.026E-01,10.253,0.255,4.3,5.346E-01,7.303,null,1.3,1.200E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,0,55266.508779,null,null,null,null,null,null,null
