cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
6,2.685618,-179.792872,2.5725173400E+02,2.7675630000E+00,257.2517313,2.7668170,0.2686,0.2727,-0.0838,13.923,0.049,22.3,7.213E-01,13.767,0.115,9.4,1.605E+00,10.729,null,1.6,1.667E+00,7.272,null,1.4,1.078E+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55260.185564,1147612605,14.857,0.039,14.270,0.044,14.041,0.069
13,3.277474,-20.883864,2.5783713800E+02,2.7036460000E+00,257.8368131,2.7044966,0.1026,0.0997,0.0234,11.382,0.024,45.7,1.971E+00,11.412,0.033,32.6,1.232E+00,11.028,null,0.1,6.008E-01,7.680,null,null,9.418E-01,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55260.979516,1144949544,11.866,0.022,11.573,0.027,11.484,0.020
21,3.583700,-100.979745,2.5827843500E+02,2.6552590000E+00,258.2774567,2.6550694,0.6985,0.7599,-0.2642,15.200,0.129,8.4,6.826E-01,14.957,null,1.2,1.350E+00,11.495,null,null,1.253E+00,7.416,null,null,1.067E+00,1,0,0.000,0.000,0.000,0.083,0000,BUUU,0,55261.574947,1139460155,16.006,0.081,15.254,0.128,15.487,0.206
22,4.003678,-104.757905,2.5827853500E+02,2.6552870000E+00,258.2774584,2.6550037,0.5971,0.6338,-0.1519,15.136,0.115,9.4,1.107E+00,14.571,0.246,4.4,1.196E+00,11.106,null,0.8,1.770E+00,7.410,0.353,3.1,1.578E+00,1,0,0.000,0.000,0.000,0.000,00ll,BBUB,0,55261.575075,1139460155,16.006,0.081,15.254,0.128,15.487,0.206
32,2.510953,-16.748163,2.5872183100E+02,2.6064980000E+00,258.7216298,2.6071659,1.3679,1.5197,-0.2382,16.372,0.295,3.7,1.192E+00,15.439,null,null,8.101E-01,10.771,0.313,3.5,5.460E-01,7.843,null,null,1.200E+00,1,0,0.000,0.000,0.000,0.000,D000,BUBU,0,55262.170506,null,null,null,null,null,null,null
34,4.639337,138.878301,2.5882060600E+02,2.5955960000E+00,258.8214544,2.5946252,1.2469,1.4571,-0.3197,16.032,0.216,5.0,6.259E-01,15.084,null,0.6,5.793E-01,10.939,null,1.0,9.383E-01,7.837,null,0.1,1.088E+00,1,0,0.000,0.000,0.000,0.000,D000,BUUU,0,55262.302810,null,null,null,null,null,null,null
38,2.903660,141.840184,2.6548833900E+02,1.8284700000E+00,265.4888376,1.8278358,1.1934,1.2311,-0.3905,16.072,0.259,4.2,1.306E+00,15.213,0.400,2.7,6.108E-01,10.785,0.289,3.8,1.145E+00,7.605,null,0.7,9.799E-01,1,0,0.000,0.000,0.000,0.000,0000,BCBU,0,55270.903971,null,null,null,null,null,null,null
49,3.299173,-52.175510,2.6667224000E+02,1.6838010000E+00,266.6715158,1.6843630,1.3282,1.4596,-0.3388,15.885,0.260,4.2,8.442E-01,15.215,0.378,2.9,1.097E+00,11.024,null,0.9,6.135E-01,7.894,null,null,1.739E+00,1,0,0.000,0.000,0.000,0.000,D000,BCUU,0,55272.359570,null,null,null,null,null,null,null
51,1.733302,136.181446,2.6688945100E+02,1.6569060000E+00,266.8897845,1.6565586,0.5355,0.5682,-0.1098,14.952,0.094,11.5,1.414E+00,14.514,0.223,4.9,6.242E-01,11.301,null,null,1.078E+00,7.876,null,null,1.012E+00,1,0,0.000,0.000,0.000,0.000,000d,ABUU,0,55272.624178,1140822346,15.858,0.077,15.330,0.089,14.946,0.108
78,2.806886,-65.478381,2.6837283700E+02,1.4704450000E+00,268.3721274,1.4707686,0.8837,0.9407,-0.2651,15.398,0.151,7.2,9.364E-01,14.851,null,1.8,9.189E-01,11.238,null,null,9.817E-01,7.821,null,null,6.489E-01,1,0,0.000,0.000,0.000,0.000,0000,BUUU,0,55274.410602,1174586786,15.912,0.095,15.417,0.140,15.298,0.172
85,2.681062,-164.171284,2.6870657100E+02,1.4277490000E+00,268.7063678,1.4270325,0.3090,0.4129,-0.1140,14.267,0.063,17.2,2.603E+00,14.401,0.197,5.5,1.349E+00,11.087,null,0.8,1.137E+00,7.777,null,0.4,1.664E+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55274.807514,1130049383,15.312,null,14.670,0.076,14.312,null
93,3.823426,-39.280141,2.6909797100E+02,1.3773510000E+00,269.0972984,1.3781731,0.1044,0.0981,0.0259,11.675,0.024,44.4,2.851E+00,11.678,0.035,31.2,2.054E+00,10.538,0.253,4.3,8.239E-01,7.937,null,null,6.766E-01,1,0,0.000,0.000,0.000,0.000,0000,AABU,0,55275.270642,1105711867,12.114,0.024,11.835,0.032,11.749,0.028
94,4.304326,-43.853266,2.6909808400E+02,1.3773820000E+00,269.0972554,1.3782442,0.1054,0.1084,-0.0356,11.648,0.026,42.1,1.078E+00,11.672,0.034,31.8,1.520E+00,11.219,0.451,2.4,1.789E+00,7.134,0.279,3.9,1.361E+00,1,0,0.000,0.000,0.000,0.000,0000,AACB,0,55275.270769,1105711867,12.114,0.024,11.835,0.032,11.749,0.028
104,1.407309,-168.971702,2.6960451300E+02,1.3116060000E+00,269.6044382,1.3112223,0.1513,0.1617,-0.0155,13.004,0.032,33.8,7.055E-01,13.094,0.069,15.8,1.616E+00,11.236,null,null,8.291E-01,7.652,null,0.4,1.194E+00,1,0,0.000,0.000,0.000,0.000,0000,AAUU,0,55275.866201,1130213904,13.558,0.027,13.165,0.026,13.126,0.036
106,3.747940,-35.620276,2.6971753900E+02,1.2968330000E+00,269.7169325,1.2976793,0.3294,0.3715,-0.0589,14.124,0.061,17.8,1.776E+00,14.299,0.194,5.6,1.453E+00,11.312,null,0.1,7.722E-01,7.836,null,null,1.398E+00,1,0,0.000,0.000,0.000,0.000,0000,ABUU,0,55275.998505,1130256132,15.217,0.055,14.565,0.062,14.313,0.091
126,4.804954,71.160580,2.7190171200E+02,1.0051090000E+00,271.9029754,1.0055400,0.9898,1.1442,-0.2687,15.637,0.187,5.8,4.594E-01,15.470,null,null,8.889E-01,11.272,0.475,2.3,9.388E-01,7.874,null,null,1.094E+00,1,0,0.000,0.000,0.000,0.000,0000,BUCU,0,55278.512664,null,null,null,null,null,null,null
127,4.307505,26.587322,2.7201864400E+02,9.8913600000E-01,272.0191796,0.9902060,0.5950,0.6345,-0.1368,15.018,0.113,9.6,6.669E-01,14.467,0.211,5.2,9.936E-01,11.397,null,0.0,8.704E-01,7.799,null,null,1.073E+00,2,0,0.000,0.000,0.000,0.000,0000,BBUU,0,55278.644968,505535277,15.721,0.075,15.133,0.066,15.185,0.127
