,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,11,4.666248,9.229040,1.1312946000e+02,7.0561551000e+01,113.1300847,70.5628304,07h32m31.22s,70d33m46.19s,1.3671,1.4053,-0.3603,16.164,0.237,4.6,6.969e-01,14.941,null,2.0,8.911e-01,11.356,null,0.4,9.580e-01,7.967,null,null,1.463e+00,1,0,0.000,0.000,0.000,0.000,0000,BUUU,1,55283.256384,525938505,17.137,0.174,16.176,0.146,16.261,0.277
1,14,1.250002,-40.811268,3.2238250200e+02,7.1944435000e+01,322.3817698,71.9446978,21h29m31.62s,71d56m40.91s,0.3255,0.2959,-0.0883,15.161,0.126,8.6,9.107e+00,13.583,0.085,12.8,7.995e+00,8.746,0.055,19.9,2.552e+00,6.844,0.209,5.2,1.565e+00,2,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55407.962838,null,null,null,null,null,null,null
2,15,0.280993,173.820261,3.2258013200e+02,7.1798992000e+01,322.5801589,71.7989144,21h30m19.24s,71d47m56.09s,0.3742,0.3267,-0.0963,16.011,0.210,5.2,1.466e+00,13.907,0.111,9.7,9.824e-01,8.820,0.053,20.4,1.309e+00,6.921,0.229,4.8,1.160e+00,1,0,0.000,0.000,0.000,0.000,g000,BBAB,1,55408.095142,null,null,null,null,null,null,null
3,16,0.121127,-5.347482,3.2267910700e+02,7.1725434000e+01,322.6790970,71.7254675,21h30m42.98s,71d43m31.68s,0.2917,0.2606,-0.0340,17.033,null,0.1,1.711e+00,13.932,0.122,8.9,1.206e+00,8.462,0.038,28.9,1.290e+00,6.546,0.170,6.4,1.361e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.161230,null,null,null,null,null,null,null
4,17,0.366733,145.347272,3.2277744700e+02,7.1651219000e+01,322.7776310,71.6511352,21h31m06.63s,71d39m04.09s,0.2616,0.2273,-0.0514,15.139,0.110,9.9,2.403e+00,13.442,0.092,11.7,8.668e-01,8.332,0.037,29.7,1.265e+00,6.657,0.182,6.0,3.776e-01,1,0,0.000,0.000,0.000,0.000,0000,BAAB,1,55408.227446,1100200369,16.069,0.105,15.466,0.140,15.543,0.227
5,18,0.326565,158.499194,3.2287626300e+02,7.1576477000e+01,322.8763682,71.5763926,21h31m30.33s,71d34m35.01s,0.2580,0.2169,-0.0711,17.110,null,0.0,7.382e-01,13.688,0.104,10.5,5.125e-01,8.328,0.033,33.1,1.326e+00,6.549,0.146,7.5,1.235e+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55408.293534,null,null,null,null,null,null,null
6,19,0.323324,169.825897,3.2297444400e+02,7.1501066000e+01,322.9744940,71.5009776,21h31m53.88s,71d30m03.52s,0.2655,0.2421,-0.0443,17.018,null,0.3,9.203e-01,13.669,0.100,10.8,1.054e+00,8.383,0.036,29.9,6.608e-01,6.428,0.132,8.2,1.127e+00,1,0,0.000,0.000,0.000,0.000,0000,UAAB,1,55408.359750,null,null,null,null,null,null,null
7,20,0.255173,165.423813,3.2307310500e+02,7.1425116000e+01,323.0731610,71.4250474,21h32m17.56s,71d25m30.17s,0.2835,0.2374,-0.0670,16.656,0.413,2.6,1.217e+00,13.744,0.103,10.6,8.811e-01,8.409,0.036,29.9,1.711e+00,6.953,0.209,5.2,7.537e-01,1,0,0.000,0.000,0.000,0.000,0000,CAAB,1,55408.425838,null,null,null,null,null,null,null
8,21,0.279689,-117.438518,3.2317114100e+02,7.1348479000e+01,323.1709254,71.3484432,21h32m41.02s,71d20m54.40s,0.3031,0.2503,-0.0692,16.687,null,1.0,1.045e+00,14.052,0.123,8.8,6.070e-01,8.549,0.041,26.8,8.050e-01,6.965,0.244,4.4,4.576e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.492053,null,null,null,null,null,null,null
9,22,0.052596,131.077762,3.2326964100e+02,7.1271291000e+01,323.2696753,71.2712814,21h33m04.72s,71d16m16.61s,0.3183,0.2972,-0.0807,16.934,null,null,1.159e+00,14.192,0.142,7.6,8.462e-01,8.603,0.040,27.1,1.328e+00,6.981,0.282,3.8,1.439e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55408.558142,null,null,null,null,null,null,null
