,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.795777,-33.513866,2.6399925900e+02,5.2698489000e+01,263.9990576,52.6986733,17h35m59.77s,52d41m55.22s,1.1488,1.3362,0.1707,16.719,null,0.8,4.997e-01,15.034,null,1.8,6.676e-01,10.322,0.165,6.6,8.959e-01,7.395,null,1.5,1.136e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.456067,null,null,null,null,null,null,null
1,2,0.717348,144.936300,2.6399924800e+02,5.2699027000e+01,263.9994369,52.6988639,17h35m59.86s,52d41m55.91s,0.8268,0.8866,0.1172,17.235,null,null,1.325e+00,15.479,null,0.2,1.336e+00,10.173,0.145,7.5,1.219e+00,6.827,0.188,5.8,6.881e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBB,0,55258.456195,null,null,null,null,null,null,null
2,3,1.319527,122.030388,2.6386304900e+02,5.2719236000e+01,263.8635620,52.7190416,17h35m27.25s,52d43m08.55s,1.0562,1.2717,0.3580,17.140,null,null,2.018e+00,15.710,null,null,9.321e-01,10.093,0.145,7.5,1.697e+00,7.735,null,0.4,7.265e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.522283,null,null,null,null,null,null,null
3,4,0.826596,10.313684,2.6372592900e+02,5.2739952000e+01,263.7259969,52.7401779,17h34m54.24s,52d44m24.64s,1.0032,1.1093,0.1795,17.179,null,null,7.183e-01,15.445,0.422,2.6,7.454e-01,10.078,0.143,7.6,1.147e+00,7.535,null,null,9.149e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,0,55258.588499,null,null,null,null,null,null,null
4,5,1.565327,-7.493069,2.6358791500e+02,5.2760092000e+01,263.5878213,52.7605231,17h34m21.08s,52d45m37.88s,0.9456,1.1158,0.2977,17.212,null,null,1.395e+00,14.779,0.273,4.0,1.493e+00,10.068,0.151,7.2,7.341e-01,7.727,0.445,2.4,5.962e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBC,0,55258.654587,null,null,null,null,null,null,null
5,7,0.198980,-46.851840,2.6330909500e+02,5.2800798000e+01,263.3090283,52.8008358,17h33m14.17s,52d48m03.01s,0.7736,0.9197,0.2856,16.938,null,null,8.745e-01,15.356,0.356,3.0,1.268e+00,9.833,0.123,8.9,8.369e-01,7.363,0.313,3.5,6.709e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBB,0,55258.786891,null,null,null,null,null,null,null
6,9,0.737973,176.027566,2.6316826500e+02,5.2821360000e+01,263.1682885,52.8211555,17h32m40.39s,52d49m16.16s,0.9335,1.0464,0.2215,17.065,null,null,6.789e-01,15.245,null,1.0,7.121e-01,9.949,0.132,8.2,9.315e-01,7.206,null,2.0,1.008e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.853107,null,null,null,null,null,null,null
7,10,0.715835,89.855796,2.6302648000e+02,5.2841875000e+01,263.0268092,52.8418755,17h32m06.43s,52d50m30.75s,1.2551,1.3977,-0.3222,17.160,null,null,2.072e+00,15.057,null,1.7,1.021e+00,10.180,0.164,6.6,1.283e+00,7.911,null,null,9.349e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55258.919323,null,null,null,null,null,null,null
8,15,2.151056,20.078681,1.5049053500e+02,-3.6625729000e+01,150.4907906,-36.6251678,10h01m57.79s,-36d37m30.60s,0.0852,0.0779,0.0101,10.886,0.021,50.8,6.665e-01,10.910,0.024,46.1,1.177e+00,10.349,0.197,5.5,7.875e-01,7.936,null,null,1.253e+00,1,0,0.000,0.000,0.000,0.000,0000,AABU,0,55352.304340,716008931,11.264,0.024,11.003,0.022,10.931,0.021
9,18,3.735199,-126.420560,1.5056679700e+02,-3.6653952000e+01,150.5657563,-36.6545680,10h02m15.78s,-36d39m16.44s,1.1837,1.2107,-0.2045,15.977,0.209,5.2,8.110e-01,15.600,null,0.5,6.576e-01,10.975,null,1.3,1.350e+00,7.866,0.520,2.1,1.237e+00,2,0,0.000,0.000,0.000,0.000,0000,BUUC,0,55352.502860,null,null,null,null,null,null,null
