,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,1.243335,-135.090572,3.1100238000e+01,1.2758339000e+01,31.0999880,12.7580944,02h04m24.00s,12d45m29.14s,1.3814,1.5557,-0.4830,16.983,null,null,9.178e-01,14.721,null,1.9,1.071e+00,10.255,0.202,5.4,7.032e-01,7.673,null,null,8.385e-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55214.700777,null,null,null,null,null,null,null
1,2,2.256179,-62.827760,3.1132355000e+01,1.2817765000e+01,31.1317832,12.8180512,02h04m31.63s,12d49m04.98s,1.6849,1.8714,-0.6060,16.995,null,null,1.487e+00,15.421,0.506,2.1,7.885e-01,10.567,0.289,3.8,5.961e-01,7.023,null,1.9,1.101e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55214.833082,null,null,null,null,null,null,null
2,3,1.175220,133.327607,3.1164729000e+01,1.2877312000e+01,31.1649726,12.8770880,02h04m39.59s,12d52m37.52s,1.2165,1.4235,-0.3300,16.925,null,null,9.008e-01,14.806,0.272,4.0,1.330e+00,10.566,0.270,4.0,8.940e-01,7.654,0.451,2.4,9.882e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55214.965386,null,null,null,null,null,null,null
3,4,0.433151,-15.219042,3.1164767000e+01,1.2877309000e+01,31.1647346,12.8774251,02h04m39.54s,12d52m38.73s,1.3333,1.3952,-0.4257,16.772,null,0.4,5.633e-01,14.883,null,1.8,1.079e+00,10.053,0.177,6.1,1.068e+00,7.728,null,null,2.097e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55214.965514,null,null,null,null,null,null,null
4,5,1.688398,-112.926624,3.1197399000e+01,1.2936977000e+01,31.1969558,12.9367943,02h04m47.27s,12d56m12.46s,1.1559,1.3063,-0.3627,16.359,null,1.7,9.482e-01,15.178,0.394,2.8,1.388e+00,10.149,0.187,5.8,8.127e-01,7.625,0.473,2.3,1.080e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55215.097818,null,null,null,null,null,null,null
5,6,2.802350,-170.299193,3.1213792000e+01,1.2966858000e+01,31.2136574,12.9660907,02h04m51.28s,12d57m57.93s,1.3309,1.6387,-0.1363,16.933,null,0.0,1.346e+00,14.761,0.299,3.6,1.144e+00,10.321,0.222,4.9,1.014e+00,7.853,null,null,9.535e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55215.163907,null,null,null,null,null,null,null
6,7,4.016367,121.866255,3.1213831000e+01,1.2966855000e+01,31.2148033,12.9662660,02h04m51.55s,12d57m58.56s,1.2432,1.2129,-0.1686,16.247,0.285,3.8,8.884e-01,15.393,0.469,2.3,1.157e+00,10.421,0.239,4.5,1.115e+00,7.185,null,1.6,8.243e-01,1,0,0.000,0.000,0.000,0.000,0000,BCBU,1,55215.164034,null,null,null,null,null,null,null
7,8,1.169719,-39.698541,3.1230289000e+01,1.2996765000e+01,31.2300760,12.9970150,02h04m55.22s,12d59m49.25s,1.4379,1.6057,-0.4803,17.019,null,null,5.712e-01,15.252,null,0.5,1.340e+00,10.290,0.216,5.0,8.593e-01,7.716,0.478,2.3,1.566e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55215.230123,null,null,null,null,null,null,null
8,10,1.490561,-23.811731,3.1263436000e+01,1.3056672000e+01,31.2632644,13.0570508,02h05m03.18s,13d03m25.38s,1.4234,1.6162,-0.5562,16.955,null,null,7.080e-01,15.244,0.382,2.8,6.054e-01,10.442,0.235,4.6,8.618e-01,7.279,null,1.5,9.313e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55215.362428,null,null,null,null,null,null,null
9,11,0.755992,160.375608,3.1263475000e+01,1.3056669000e+01,31.2635474,13.0564712,02h05m03.25s,13d03m23.30s,1.3423,1.4982,-0.4112,17.080,null,null,7.022e-01,15.384,0.442,2.5,1.408e+00,10.453,0.233,4.7,7.949e-01,7.629,0.462,2.4,1.528e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55215.362555,null,null,null,null,null,null,null
10,12,3.033013,8.704276,3.1280125000e+01,1.3086670000e+01,31.2802559,13.0875028,02h05m07.26s,13d05m15.01s,1.3268,1.5584,-0.5098,16.992,null,null,1.469e+00,15.367,null,0.2,1.309e+00,10.049,0.174,6.2,4.808e-01,7.566,null,0.3,1.231e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55215.428644,null,null,null,null,null,null,null
11,13,2.524006,123.414709,3.1296879000e+01,1.3116698000e+01,31.2974799,13.1163119,02h05m11.40s,13d06m58.72s,0.9814,0.9754,-0.2498,16.016,0.281,3.9,7.290e-01,14.614,0.233,4.7,6.861e-01,10.344,0.220,4.9,7.549e-01,7.436,null,0.9,6.313e-01,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55215.494860,null,null,null,null,null,null,null
12,14,0.935312,23.643620,3.1313658000e+01,1.3146759000e+01,31.3137650,13.1469970,02h05m15.30s,13d08m49.19s,1.4238,1.7261,-0.3681,16.792,0.465,2.3,1.350e+00,15.553,0.541,2.0,6.996e-01,10.527,0.273,4.0,6.558e-01,7.269,null,1.4,1.207e+00,2,0,0.000,0.000,0.000,0.000,0000,CCBU,1,55215.560949,null,null,null,null,null,null,null
13,15,1.550623,163.692544,3.1313698000e+01,1.3146756000e+01,31.3138222,13.1463426,02h05m15.32s,13d08m46.83s,1.6980,1.9409,-0.6670,16.171,null,1.8,7.366e-01,15.504,0.492,2.2,1.075e+00,10.697,0.312,3.5,8.718e-01,7.329,null,0.8,6.418e-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55215.561076,null,null,null,null,null,null,null
14,16,4.865459,-15.350522,3.1347489000e+01,1.3206965000e+01,31.3471215,13.2082683,02h05m23.31s,13d12m29.77s,1.4556,1.6196,-0.4427,16.897,null,null,1.078e+00,15.074,null,1.2,1.210e+00,10.157,0.192,5.7,5.610e-01,7.824,null,null,6.531e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55215.693381,null,null,null,null,null,null,null
15,17,1.763835,118.568379,3.1381537000e+01,1.3267293000e+01,31.3819791,13.2670587,02h05m31.67s,13d16m01.41s,1.1663,1.2387,-0.3706,16.511,null,1.1,1.332e+00,14.519,0.221,4.9,9.318e-01,10.275,0.218,5.0,6.704e-01,7.245,null,0.7,8.477e-01,2,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55215.825685,null,null,null,null,null,null,null
16,18,0.483898,54.529219,3.1415843000e+01,1.3327742000e+01,31.4159555,13.3278200,02h05m39.83s,13d19m40.15s,1.3549,1.4118,-0.4896,16.727,null,null,5.102e-01,15.143,0.361,3.0,1.264e+00,10.276,0.205,5.3,1.190e+00,7.539,null,0.7,1.241e+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55215.957990,null,null,null,null,null,null,null
17,19,1.155407,-67.947712,3.1415883000e+01,1.3327739000e+01,31.4155773,13.3278595,02h05m39.74s,13d19m40.29s,1.1924,1.3280,-0.3503,16.371,null,1.4,8.327e-01,14.738,0.257,4.2,1.252e+00,10.485,0.244,4.5,1.015e+00,7.231,null,1.4,9.452e-01,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55215.958117,null,null,null,null,null,null,null
18,22,0.385736,-126.476936,9.3470660000e+01,4.9141115000e+01,93.4705283,49.1410513,06h13m52.93s,49d08m27.78s,0.8489,0.9154,-0.0984,16.892,null,0.2,1.356e+00,14.270,0.219,5.0,6.750e-01,9.843,0.133,8.2,1.340e+00,7.582,0.401,2.7,1.184e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55278.819548,null,null,null,null,null,null,null
19,23,0.110228,-144.412133,1.0784124700e+02,4.9789043000e+01,107.8412194,49.7890181,07h11m21.89s,49d47m20.47s,0.5210,0.5903,0.0517,16.547,0.359,3.0,2.466e+00,14.118,0.149,7.3,1.445e+00,9.397,0.086,12.6,1.190e+00,7.470,null,0.9,1.193e+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55285.038859,null,null,null,null,null,null,null
20,24,0.583831,23.960335,1.0815327200e+02,4.9782691000e+01,108.1533740,49.7828392,07h12m36.81s,49d46m58.22s,0.5234,0.5910,-0.0702,16.779,0.431,2.5,1.239e+00,13.923,0.132,8.2,7.781e-01,9.409,0.089,12.1,8.589e-01,7.800,0.502,2.2,1.285e+00,1,0,0.000,0.000,0.000,0.000,0000,CBAC,1,55285.171164,null,null,null,null,null,null,null
21,25,0.463481,-26.418146,1.0846531600e+02,4.9775475000e+01,108.4652273,49.7755903,07h13m51.65s,49d46m32.13s,0.5265,0.6358,0.0968,17.049,0.531,2.0,1.283e+00,14.735,0.279,3.9,7.709e-01,9.213,0.075,14.5,1.290e+00,7.273,null,1.7,1.084e+00,1,0,0.000,0.000,0.000,0.000,0000,CBAU,1,55285.303468,null,null,null,null,null,null,null
