,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.417700,145.481369,3.5424241500e+02,-7.8500184000e+01,354.2427448,-78.5002796,23h36m58.26s,-78d30m01.01s,0.0882,0.0844,-0.0136,14.477,0.072,15.0,2.612e+00,11.376,0.033,32.5,3.173e+00,6.246,0.015,72.4,4.894e+00,4.180,0.043,25.2,3.858e-01,1,0,0.000,0.000,0.000,0.000,0000,AAAA,0,55303.536612,null,null,null,null,null,null,null
1,2,0.132431,-134.099931,3.5390529700e+02,-7.8089403000e+01,353.9051690,-78.0894286,23h35m37.24s,-78d05m21.94s,0.0877,0.0801,-0.0215,15.080,0.097,11.2,9.614e-01,11.872,0.042,25.8,1.810e+00,6.573,0.014,77.0,2.363e+00,4.379,0.033,33.0,5.876e-01,1,0,0.000,0.000,0.000,0.000,0000,AAAA,0,55303.602700,null,null,null,null,null,null,null
2,3,0.254622,29.596864,3.5359068600e+02,-7.7678815000e+01,353.5908497,-77.6787535,23h34m21.80s,-77d40m43.51s,0.0850,0.0861,-0.0272,14.472,0.068,15.9,1.140e+00,11.298,0.028,39.2,9.258e-01,6.225,0.018,59.4,1.087e+00,4.135,0.030,36.8,1.353e+00,1,0,0.000,0.000,0.000,0.000,0000,AAAA,0,55303.668789,null,null,null,null,null,null,null
3,4,0.153559,59.576644,3.5329645500e+02,-7.7268515000e+01,353.2966219,-77.2684934,23h33m11.19s,-77d16m06.58s,0.0463,0.0439,-0.0139,14.369,0.063,17.1,1.255e+00,11.214,0.026,42.3,5.068e+00,6.136,0.016,66.7,8.060e+00,null,null,null,null,1,0,0.000,0.000,0.000,null,0000,AAAX,0,55303.734877,null,null,null,null,null,null,null
4,5,0.589955,143.071278,3.5109914500e+02,3.0503830000e+00,351.0992436,3.0502520,23h24m23.82s,03d03m00.91s,1.0646,1.1365,-0.4069,16.877,0.504,2.2,1.521e+00,14.904,0.312,3.5,9.888e-01,10.008,0.158,6.9,1.187e+00,7.660,null,0.5,8.067e-01,1,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55361.274514,null,null,null,null,null,null,null
5,6,0.794223,143.699155,3.5110642900e+02,3.0797050000e+00,351.1065598,3.0795272,23h24m25.57s,03d04m46.30s,1.3049,1.4376,-0.4188,16.990,null,null,6.548e-01,15.413,null,0.3,1.241e+00,10.263,0.203,5.3,1.115e+00,7.482,0.372,2.9,1.170e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55361.406818,null,null,null,null,null,null,null
6,7,0.920794,108.155715,3.5111356900e+02,3.1088810000e+00,351.1138124,3.1088013,23h24m27.31s,03d06m31.68s,1.0458,1.1347,-0.3409,16.295,null,1.8,8.915e-01,14.667,0.238,4.6,6.837e-01,10.054,0.178,6.1,1.328e+00,7.182,null,1.7,1.537e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55361.539122,null,null,null,null,null,null,null
7,8,1.574288,-118.192936,3.5112056200e+02,3.1379150000e+00,351.1201760,3.1377084,23h24m28.84s,03d08m15.75s,0.9110,1.0028,-0.2598,16.549,null,1.0,6.335e-01,14.534,0.210,5.2,7.651e-01,10.038,0.171,6.3,1.421e+00,7.688,0.479,2.3,1.236e+00,1,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55361.671426,null,null,null,null,null,null,null
8,9,0.549703,-83.041147,3.5112399500e+02,3.1523210000e+00,351.1238432,3.1523395,23h24m29.72s,03d09m08.42s,0.9910,1.0231,-0.3785,17.060,null,null,1.324e+00,14.663,0.232,4.7,6.356e-01,9.951,0.153,7.1,1.392e+00,7.210,null,1.4,1.524e+00,1,0,0.000,0.000,0.000,0.045,0000,UBBU,1,55361.737514,null,null,null,null,null,null,null
9,10,0.482866,-76.461301,3.5112401300e+02,3.1524370000e+00,351.1238824,3.1524684,23h24m29.73s,03d09m08.89s,0.7229,0.8380,-0.2610,16.413,null,1.3,7.065e-01,14.440,0.199,5.5,1.073e+00,9.709,0.120,9.0,1.304e+00,7.609,0.440,2.5,1.477e+00,2,0,0.000,0.000,0.000,0.000,0000,UBBC,1,55361.737641,null,null,null,null,null,null,null
