,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
0,1,0.559446,162.124793,2.0865920100e+02,1.9218000000e-01,208.6592487,0.1920321,13h54m38.22s,00d11m31.32s,0.6142,0.6346,0.2271,16.982,0.524,2.1,7.627e-01,14.937,null,2.0,9.223e-01,9.394,0.089,12.2,7.516e-01,6.975,0.241,4.5,9.382e-01,1,0,0.000,0.000,0.000,0.000,0000,CUAB,1,55391.011146,null,null,null,null,null,null,null
1,2,0.467624,81.008992,2.0895225100e+02,1.6476400000e-01,208.9523793,0.1647843,13h55m48.57s,00d09m53.22s,0.6510,0.7270,0.2004,17.021,null,null,7.497e-01,15.240,0.423,2.6,5.296e-01,9.378,0.092,11.8,1.613e+00,7.467,0.374,2.9,9.972e-01,2,0,0.000,0.000,0.000,0.000,0000,UCAC,1,55391.143450,null,null,null,null,null,null,null
2,3,0.302240,117.602862,2.0924370500e+02,1.3744700000e-01,209.2437794,0.1374081,13h56m58.51s,00d08m14.67s,0.6740,0.7590,0.1776,16.186,null,1.6,8.967e-01,14.848,0.269,4.0,7.040e-01,9.444,0.094,11.6,1.316e+00,7.669,0.459,2.4,1.177e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55391.275754,null,null,null,null,null,null,null
3,4,0.476506,61.479317,2.0953356700e+02,1.1023000000e-01,209.5336833,0.1102932,13h58m08.08s,00d06m37.06s,0.7383,0.8063,0.2322,16.682,null,0.8,7.562e-01,14.864,0.283,3.8,4.737e-01,9.489,0.105,10.4,9.973e-01,7.185,null,1.6,8.519e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55391.408058,null,null,null,null,null,null,null
4,5,0.250784,103.278214,2.0967775400e+02,9.6744000000e-02,209.6778218,0.0967280,13h58m42.68s,00d05m48.22s,0.7351,0.8459,0.2177,17.068,null,null,6.012e-01,15.078,0.351,3.1,1.836e+00,9.535,0.101,10.7,5.858e-01,7.211,null,1.6,9.160e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAU,1,55391.474146,null,null,null,null,null,null,null
5,6,0.314661,-25.333681,2.0982183800e+02,8.3118000000e-02,209.8218006,0.0831970,13h59m17.23s,00d04m59.51s,0.6556,0.7207,0.2198,17.144,null,null,9.428e-01,14.690,0.239,4.5,8.160e-01,9.442,0.097,11.2,1.407e+00,7.614,0.452,2.4,1.223e+00,1,0,0.000,0.000,0.000,0.000,0000,UBAC,1,55391.540361,null,null,null,null,null,null,null
6,7,0.756200,-51.591504,2.0996523300e+02,6.9684000000e-02,209.9650684,0.0698145,13h59m51.62s,00d04m11.33s,0.6248,0.7174,0.2147,16.748,0.404,2.7,6.155e-01,15.251,0.382,2.8,1.070e+00,9.460,0.093,11.7,5.069e-01,7.043,0.275,4.0,8.057e-01,1,0,0.000,0.000,0.000,0.000,0000,CCAB,1,55391.606449,null,null,null,null,null,null,null
7,8,0.865906,62.731826,2.1010852800e+02,5.6106000000e-02,210.1087418,0.0562162,14h00m26.10s,00d03m22.38s,0.7107,0.7971,0.2142,17.153,null,null,5.921e-01,15.248,0.408,2.7,7.240e-01,9.646,0.109,9.9,1.093e+00,7.330,0.377,2.9,2.346e+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55391.672665,null,null,null,null,null,null,null
8,9,0.229323,-0.269837,2.1025113300e+02,4.2720000000e-02,210.2511327,0.0427837,14h01m00.27s,00d02m34.02s,0.6506,0.7261,0.2187,16.793,null,0.5,9.471e-01,14.725,0.228,4.8,6.126e-01,9.460,0.097,11.2,1.261e+00,7.105,0.286,3.8,7.885e-01,1,0,0.000,0.000,0.000,0.000,0000,UBAB,1,55391.738753,null,null,null,null,null,null,null
9,10,0.781904,-3.457856,2.1053545700e+02,1.5857000000e-02,210.5354439,0.0160738,14h02m08.51s,00d00m57.87s,0.8764,0.9794,0.3384,17.025,null,null,1.009e+00,14.878,null,1.8,9.004e-01,9.600,0.116,9.4,9.715e-01,7.236,null,1.6,9.252e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55391.871057,null,null,null,null,null,null,null
10,11,4.537296,-102.971106,2.1081820700e+02,-1.0902000000e-02,210.8169788,-0.0111849,14h03m16.07s,-00d00m40.27s,0.6184,0.6917,0.2716,15.239,0.135,8.0,1.508e+00,14.762,0.259,4.2,1.084e+00,9.920,0.148,7.3,4.338e+00,7.722,null,0.2,1.395e+00,1,0,0.000,0.000,0.000,0.000,0000,BBBU,1,55392.003361,259522284,15.907,0.075,15.136,0.076,15.189,0.186
